country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Albania,1850,ALB,501490,,,,,,,,,,,,,,,,,,,,,,,,,,,1.269,,,,,,,,,0.546,2.789,1.269,2.53,0.6,1.196,0.045,0.09,,,,,,,,,,,,,,,,0.048,,,,,0.048,,,,,,,,1.399,0.274,,
Albania,1851,ALB,505313,,,,,,,,,,,,,,,,,,,,,,,,,,,2.592,,,,,,,,,0.548,2.812,1.323,2.618,0.606,1.199,0.046,0.091,,,,,,,,,,,,,,,,0.047,,,,,0.047,,,0.031,0,0,0,0,1.421,0.277,,
Albania,1852,ALB,509659,,,,,,,,,,,,,,,,,,,,,,,,,,,3.964,,,,,,,,,0.549,2.841,1.372,2.693,0.612,1.201,0.047,0.092,,,,,,,,,,,,,,,,0.048,,,,,0.048,,,0.031,0,0,0,0,1.448,0.28,,
Albania,1853,ALB,514536,,,,,,,,,,,,,,,,,,,,,,,,,,,5.375,,,,,,,,,0.549,2.851,1.41,2.741,0.618,1.202,0.048,0.092,,,,,,,,,,,,,,,,0.048,,,,,0.049,,,0.031,0,0,0,0,1.467,0.283,,
Albania,1854,ALB,519460,,,,,,,,,,,,,,,,,,,,,,,,,,,6.813,,,,,,,,,0.55,2.848,1.439,2.77,0.625,1.203,0.048,0.093,,,,,,,,,,,,,,,,0.048,,,,,0.049,,,0.031,0,0,0,0,1.48,0.286,,
Albania,1855,ALB,524430,,,,,,,,,,,,,,,,,,,,,,,,,,,8.276,,,,,,,,,0.55,2.842,1.462,2.788,0.631,1.203,0.049,0.093,,,,,,,,,,,,,,,,0.049,,,,,0.051,,,0.031,0,0,0,0,1.49,0.289,,
Albania,1856,ALB,529449,,,,,,,,,,,,,,,,,,,,,,,,,,,9.763,,,,,,,,,0.551,2.843,1.487,2.809,0.637,1.204,0.049,0.093,,,,,,,,,,,,,,,,0.049,,,,,0.05,,,0.031,0,0,0,0,1.505,0.291,,
Albania,1857,ALB,534515,,,,,,,,,,,,,,,,,,,,,,,,,,,11.285,,,,,,,,,0.551,2.867,1.523,2.849,0.644,1.204,0.05,0.094,,,,,,,,,,,,,,,,0.049,,,,,0.052,,,0.032,0,0,0,0,1.532,0.294,,
Albania,1858,ALB,539629,,,,,,,,,,,,,,,,,,,,,,,,,,,12.828,,,,,,,,,0.551,2.862,1.542,2.858,0.65,1.205,0.05,0.093,,,,,,,,,,,,,,,,0.05,,,,,0.052,,,0.032,0,0,0,0,1.545,0.297,,
Albania,1859,ALB,544793,,,,,,,,,,,,,,,,,,,,,,,,,,,14.381,,,,,,,,,0.552,2.842,1.553,2.852,0.656,1.205,0.051,0.093,,,,,,,,,,,,,,,,0.05,,,,,0.051,,,0.032,0,0,0,0,1.548,0.301,,
Albania,1860,ALB,550006,,,,,,,,,,,,,,,,,,,,,,,,,,,15.931,,,,,,,,,0.552,2.812,1.55,2.818,0.663,1.205,0.051,0.093,,,,,,,,,,,,,,,,0.05,,,,,0.056,,,0.032,0,0,0,0,1.547,0.304,,
Albania,1861,ALB,555269,,,,,,,,,,,,,,,,,,,,,,,,,,,17.495,,,,,,,,,0.552,2.805,1.564,2.817,0.669,1.205,0.051,0.092,,,,,,,,,,,,,,,,0.051,,,,,0.057,,,0.032,0,0,0,0,1.557,0.307,,
Albania,1862,ALB,560582,,,,,,,,,,,,,,,,,,,,,,,,,,,19.048,,,,,,,,,0.552,2.753,1.552,2.769,0.676,1.206,0.051,0.092,,,,,,,,,,,,,,,,0.051,,,,,0.057,,,0.033,0,0,0,0,1.543,0.31,,
Albania,1863,ALB,565946,,,,,,,,,,,,,,,,,,,,,,,,,,,20.617,,,,,,,,,0.553,2.755,1.57,2.773,0.682,1.206,0.052,0.091,,,,,,,,,,,,,,,,0.052,,,,,0.058,,,0.033,0,0,0,0,1.559,0.313,,
Albania,1864,ALB,571361,,,,,,,,,,,,,,,,,,,,,,,,,,,22.179,,,,,,,,,0.553,2.714,1.562,2.734,0.689,1.206,0.052,0.091,,,,,,,,,,,,,,,,0.052,,,,,0.06,,,0.033,0,0,0,0,1.551,0.316,,
Albania,1865,ALB,576828,,,,,,,,,,,,,,,,,,,,,,,,,,,23.77,,,,,,,,,0.553,2.736,1.591,2.758,0.695,1.206,0.052,0.09,,,,,,,,,,,,,,,,0.053,,,,,0.062,,,0.033,0,0,0,0,1.578,0.319,,
Albania,1866,ALB,582348,,,,,,,,,,,,,,,,,,,,,,,,,,,25.383,,,,,,,,,0.553,2.747,1.613,2.77,0.702,1.205,0.052,0.09,,,,,,,,,,,,,,,,0.053,,,,,0.062,,,0.033,0,0,0,0,1.6,0.322,,
Albania,1867,ALB,587920,,,,,,,,,,,,,,,,,,,,,,,,,,,27.01,,,,,,,,,0.554,2.744,1.627,2.768,0.709,1.205,0.052,0.089,,,,,,,,,,,,,,,,0.054,,,,,0.063,,,0.034,0,0,0,0,1.613,0.325,,
Albania,1868,ALB,593546,,,,,,,,,,,,,,,,,,,,,,,,,,,28.633,,,,,,,,,0.554,2.711,1.623,2.735,0.715,1.205,0.053,0.089,,,,,,,,,,,,,,,,0.054,,,,,0.064,,,0.034,0,0,0,0,1.609,0.329,,
Albania,1869,ALB,599215,,,,,,,,,,,,,,,,,,,,,,,,,,,30.279,,,,,,,,,0.554,2.724,1.646,2.747,0.722,1.205,0.053,0.088,,,,,,,,,,,,,,,,0.055,,,,,0.064,,,0.034,0,0,0,0,1.632,0.332,,
Albania,1870,ALB,604928,428732992,,,,,,,,,,,,,,,,,,,,,,,,,,31.999,,,,,,,,,0.554,2.791,1.72,2.843,0.729,1.205,0.053,0.088,,,,,,,,,,,,,,,,0.055,,,,,0.061,,,0.034,0,0,0,0,1.688,0.335,,
Albania,1871,ALB,610685,,,,,,,,,,,,,,,,,,,,,,,,,,,33.744,,,,,,,,,0.555,2.791,1.745,2.858,0.736,1.205,0.054,0.088,,,,,,,,,,,,,,,,0.055,,,,,0.061,,,0.034,0,0,0,0,1.705,0.339,,
Albania,1872,ALB,616487,,,,,,,,,,,,,,,,,,,,,,,,,,,35.529,,,,,,,,,0.555,2.822,1.785,2.895,0.744,1.206,0.055,0.09,,,,,,,,,,,,,,,,0.055,,,,,0.058,,,0.034,0,0,0,0,1.74,0.342,,
Albania,1873,ALB,622333,,,,,,,,,,,,,,,,,,,,,,,,,,,37.352,,,,,,,,,0.556,2.852,1.823,2.929,0.751,1.207,0.058,0.093,,,,,,,,,,,,,,,,0.056,,,,,0.061,,,0.034,0,0,0,0,1.775,0.346,,
Albania,1874,ALB,628235,,,,,,,,,,,,,,,,,,,,,,,,,,,39.193,,,,,,,,,0.557,2.852,1.841,2.93,0.759,1.208,0.06,0.096,,,,,,,,,,,,,,,,0.056,,,,,0.058,,,0.034,0,0,0,0,1.792,0.35,,
Albania,1875,ALB,634193,,,,,,,,,,,,,,,,,,,,,,,,,,,41.051,,,,,,,,,0.558,2.855,1.858,2.93,0.766,1.208,0.064,0.1,,,,,,,,,,,,,,,,0.056,,,,,0.057,,,0.034,0,0,0,0,1.811,0.354,,
Albania,1876,ALB,640208,,,,,,,,,,,,,,,,,,,,,,,,,,,42.929,,,,,,,,,0.559,2.863,1.878,2.934,0.774,1.209,0.067,0.104,,,,,,,,,,,,,,,,0.056,,,,,0.057,,,0.034,0,0,0,0,1.833,0.358,,
Albania,1877,ALB,646279,,,,,,,,,,,,,,,,,,,,,,,,,,,44.841,,,,,,,,,0.56,2.891,1.912,2.958,0.782,1.209,0.07,0.108,,,,,,,,,,,,,,,,0.056,,,,,0.06,,,0.034,0,0,0,0,1.868,0.362,,
Albania,1878,ALB,652408,,,,,,,,,,,,,,,,,,,,,,,,,,,46.778,,,,,,,,,0.561,2.907,1.937,2.969,0.789,1.21,0.072,0.111,,,,,,,,,,,,,,,,0.056,,,,,0.059,,,0.034,0,0,0,0,1.897,0.366,,
Albania,1879,ALB,658596,,,,,,,,,,,,,,,,,,,,,,,,,,,48.72,,,,,,,,,0.561,2.894,1.943,2.95,0.797,1.21,0.074,0.113,,,,,,,,,,,,,,,,0.056,,,,,0.059,,,0.034,0,0,0,0,1.906,0.37,,
Albania,1880,ALB,664842,,,,,,,,,,,,,,,,,,,,,,,,,,,50.675,,,,,,,,,0.562,2.878,1.954,2.939,0.805,1.21,0.076,0.114,,,,,,,,,,,,,,,,0.056,,,,,0.058,,,0.034,0,0,0,0,1.913,0.373,,
Albania,1881,ALB,671147,,,,,,,,,,,,,,,,,,,,,,,,,,,52.656,,,,,,,,,0.562,2.9,1.981,2.952,0.812,1.21,0.077,0.114,,,,,,,,,,,,,,,,0.056,,,,,0.059,,,0.034,0,0,0,0,1.946,0.377,,
Albania,1882,ALB,677511,,,,,,,,,,,,,,,,,,,,,,,,,,,54.62,,,,,,,,,0.562,2.856,1.964,2.9,0.82,1.211,0.077,0.114,,,,,,,,,,,,,,,,0.056,,,,,0.055,,,0.034,0,0,0,0,1.935,0.381,,
Albania,1883,ALB,683937,,,,,,,,,,,,,,,,,,,,,,,,,,,56.61,,,,,,,,,0.563,2.875,1.99,2.91,0.828,1.211,0.078,0.114,,,,,,,,,,,,,,,,0.056,,,,,0.057,,,0.034,0,0,0,0,1.966,0.385,,
Albania,1884,ALB,690423,,,,,,,,,,,,,,,,,,,,,,,,,,,58.584,,,,,,,,,0.563,2.833,1.974,2.859,0.836,1.211,0.078,0.114,,,,,,,,,,,,,,,,0.056,,,,,0.054,,,0.034,0,0,0,0,1.956,0.389,,
Albania,1885,ALB,696970,,,,,,,,,,,,,,,,,,,,,,,,,,,60.597,,,,,,,,,0.563,2.87,2.012,2.887,0.844,1.211,0.079,0.113,,,,,,,,,,,,,,,,0.056,,,,,0.055,,,0.034,0,0,0,0,2,0.393,,
Albania,1886,ALB,703580,,,,,,,,,,,,,,,,,,,,,,,,,,,62.633,,,,,,,,,0.563,2.883,2.036,2.894,0.852,1.211,0.079,0.113,,,,,,,,,,,,,,,,0.056,,,,,0.057,,,0.034,0,0,0,0,2.029,0.396,,
Albania,1887,ALB,710252,,,,,,,,,,,,,,,,,,,,,,,,,,,64.686,,,,,,,,,0.564,2.89,2.053,2.891,0.86,1.21,0.08,0.113,,,,,,,,,,,,,,,,0.056,,,,,0.056,,,0.034,0,0,0,0,2.053,0.4,,
Albania,1888,ALB,716988,,,,,,,,,,,,,,,,,,,,,,,,,,,66.724,,,,,,,,,0.564,2.854,2.037,2.842,0.868,1.21,0.08,0.112,,,,,,,,,,,,,,,,0.056,,,,,0.057,,,0.034,0,0,0,0,2.046,0.404,,
Albania,1889,ALB,723850,,,,,,,,,,,,,,,,,,,,,,,,,,,68.788,,,,,,,,,0.564,2.878,2.064,2.852,0.876,1.21,0.081,0.112,,,,,,,,,,,,,,,,0.056,,,,,0.056,,,0.034,0,0,0,0,2.083,0.408,,
Albania,1890,ALB,730840,691878016,,,,,,,,,,,,,,,,,,,,,,,,,,70.921,,,,,,,,,0.564,2.947,2.133,2.919,0.884,1.209,0.087,0.119,,,,,,,,,,,,,,,,0.056,,,,,0.054,,,0.033,0,0,0,0,2.154,0.413,,
