country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Algeria,1850,DZA,2852648,,,,,,,,,,,,,,,,,,,,,,,,,,,4.943,,,,,,,,,0.19,0.912,4.943,1.733,1.309,0.459,0.09,0.031,,,,,,,,,,,,,,,,0.187,,,,,0.187,,,,,,,,2.6,0.541,,
Algeria,1851,DZA,2872405,,,,,,,,,,,,,,,,,,,,,,,,,,,9.784,,,,,,,,,0.19,0.892,4.841,1.685,1.323,0.461,0.091,0.032,,,,,,,,,,,,,,,,0.179,,,,,0.172,,,0.069,0,0,0,0,2.563,0.546,,
Algeria,1852,DZA,2897058,,,,,,,,,,,,,,,,,,,,,,,,,,,14.566,,,,,,,,,0.191,0.879,4.782,1.651,1.338,0.462,0.093,0.032,,,,,,,,,,,,,,,,0.175,,,,,0.167,,,0.068,0,0,0,0,2.546,0.552,,
Algeria,1853,DZA,2926664,,,,,,,,,,,,,,,,,,,,,,,,,,,19.311,,,,,,,,,0.19,0.87,4.745,1.621,1.351,0.462,0.095,0.032,,,,,,,,,,,,,,,,0.172,,,,,0.163,,,0.068,0,0,0,0,2.546,0.557,,
Algeria,1854,DZA,2956573,,,,,,,,,,,,,,,,,,,,,,,,,,,24.03,,,,,,,,,0.19,0.862,4.719,1.596,1.365,0.462,0.096,0.033,,,,,,,,,,,,,,,,0.17,,,,,0.162,,,0.067,0,0,0,0,2.549,0.562,,
Algeria,1855,DZA,2986788,,,,,,,,,,,,,,,,,,,,,,,,,,,28.731,,,,,,,,,0.19,0.855,4.7,1.574,1.379,0.462,0.097,0.033,,,,,,,,,,,,,,,,0.169,,,,,0.163,,,0.067,0,0,0,0,2.553,0.567,,
Algeria,1856,DZA,3017311,,,,,,,,,,,,,,,,,,,,,,,,,,,33.416,,,,,,,,,0.19,0.848,4.685,1.553,1.393,0.462,0.099,0.033,,,,,,,,,,,,,,,,0.167,,,,,0.158,,,0.066,0,0,0,0,2.558,0.572,,
Algeria,1857,DZA,3048147,,,,,,,,,,,,,,,,,,,,,,,,,,,38.088,,,,,,,,,0.189,0.841,4.672,1.533,1.407,0.461,0.1,0.033,,,,,,,,,,,,,,,,0.166,,,,,0.158,,,0.066,0,0,0,0,2.564,0.577,,
Algeria,1858,DZA,3079297,,,,,,,,,,,,,,,,,,,,,,,,,,,42.748,,,,,,,,,0.191,0.836,4.66,1.513,1.426,0.463,0.101,0.033,,,,,,,,,,,,,,,,0.165,,,,,0.157,,,0.065,0,0,0,0,2.576,0.588,,
Algeria,1859,DZA,3110766,,,,,,,,,,,,,,,,,,,,,,,,,,,47.397,,,,,,,,,0.191,0.831,4.649,1.495,1.442,0.463,0.101,0.033,,,,,,,,,,,,,,,,0.164,,,,,0.153,,,0.065,0,0,0,0,2.584,0.595,,
Algeria,1860,DZA,3142556,,,,,,,,,,,,,,,,,,,,,,,,,,,52.032,,,,,,,,,0.191,0.827,4.635,1.475,1.457,0.464,0.102,0.032,,,,,,,,,,,,,,,,0.164,,,,,0.167,,,0.065,0,0,0,0,2.599,0.602,,
Algeria,1861,DZA,3174671,,,,,,,,,,,,,,,,,,,,,,,,,,,56.656,,,,,,,,,0.192,0.822,4.623,1.456,1.473,0.464,0.102,0.032,,,,,,,,,,,,,,,,0.164,,,,,0.167,,,0.065,0,0,0,0,2.611,0.609,,
Algeria,1862,DZA,3207115,,,,,,,,,,,,,,,,,,,,,,,,,,,61.269,,,,,,,,,0.192,0.818,4.613,1.438,1.489,0.464,0.102,0.032,,,,,,,,,,,,,,,,0.165,,,,,0.168,,,0.065,0,0,0,0,2.622,0.616,,
