country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Antigua and Barbuda,1850,ATG,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,,,,,,,,,0.32,1.331,0.107,2.894,0.02,0.543,0.002,0.059,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,,,,,,0.049,0.012,,
Antigua and Barbuda,1851,ATG,36992,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,,,,,,,,,0.315,1.035,0.064,1.729,0.02,0.537,0.002,0.06,,,,,,,,,,,,,,,,0.003,,,,,0.002,,,0.001,0,0,0,0,0.038,0.012,,
Antigua and Barbuda,1852,ATG,36985,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,,,,,,,,,0.311,0.875,0.041,1.11,0.02,0.532,0.002,0.061,,,,,,,,,,,,,,,,0.003,,,,,0.001,,,0.001,0,0,0,0,0.032,0.011,,
Antigua and Barbuda,1853,ATG,36977,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,,,,,,,,,0.309,0.771,0.026,0.703,0.02,0.529,0.002,0.061,,,,,,,,,,,,,,,,0.002,,,,,0.001,,,0.001,0,0,0,0,0.029,0.011,,
Antigua and Barbuda,1854,ATG,36970,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253,,,,,,,,,0.308,0.694,0.015,0.407,0.019,0.526,0.002,0.062,,,,,,,,,,,,,,,,0.002,,,,,0.001,,,0.001,0,0,0,0,0.026,0.011,,
Antigua and Barbuda,1855,ATG,36962,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,0.307,0.636,0.007,0.182,0.019,0.524,0.002,0.063,,,,,,,,,,,,,,,,0.002,,,,,0,,,0.001,0,0,0,0,0.024,0.011,,
Antigua and Barbuda,1856,ATG,36955,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,0.309,0.593,0,0.005,0.019,0.525,0.002,0.064,,,,,,,,,,,,,,,,0.001,,,,,0,,,0,0,0,0,0,0.022,0.011,,
Antigua and Barbuda,1857,ATG,36947,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,,,,,,,,,0.312,0.558,-0.005,-0.139,0.019,0.526,0.002,0.064,,,,,,,,,,,,,,,,0.001,,,,,0,,,0,0,0,0,0,0.021,0.012,,
Antigua and Barbuda,1858,ATG,36940,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245,,,,,,,,,0.315,0.53,-0.01,-0.258,0.019,0.527,0.002,0.065,,,,,,,,,,,,,,,,0.001,,,,,0,,,0,0,0,0,0,0.02,0.012,,
Antigua and Barbuda,1859,ATG,36891,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232,,,,,,,,,0.318,0.506,-0.013,-0.359,0.02,0.529,0.002,0.065,,,,,,,,,,,,,,,,0.001,,,,,0,,,0,0,0,0,0,0.019,0.012,,
Antigua and Barbuda,1860,ATG,36802,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217,,,,,,,,,0.322,0.495,-0.015,-0.415,0.02,0.532,0.002,0.066,,,,,,,,,,,,,,,,0.001,,,,,-0.001,,,0,0,0,0,0,0.018,0.012,,
Antigua and Barbuda,1861,ATG,36673,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,,,,,,,,,0.324,0.482,-0.017,-0.477,0.02,0.534,0.002,0.067,,,,,,,,,,,,,,,,0.001,,,,,-0.001,,,0,0,0,0,0,0.018,0.012,,
Antigua and Barbuda,1862,ATG,36503,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,0.326,0.468,-0.02,-0.537,0.02,0.536,0.002,0.068,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.017,0.012,,
Antigua and Barbuda,1863,ATG,36293,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158,,,,,,,,,0.329,0.458,-0.021,-0.59,0.02,0.539,0.002,0.068,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.017,0.012,,
Antigua and Barbuda,1864,ATG,36085,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,0.332,0.45,-0.023,-0.637,0.02,0.541,0.002,0.069,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.016,0.012,,
Antigua and Barbuda,1865,ATG,35877,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,0.333,0.44,-0.024,-0.679,0.019,0.542,0.003,0.07,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.016,0.012,,
Antigua and Barbuda,1866,ATG,35671,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086,,,,,,,,,0.334,0.432,-0.026,-0.716,0.019,0.543,0.003,0.071,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
Antigua and Barbuda,1867,ATG,35466,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,,,,,,,,,0.335,0.424,-0.027,-0.75,0.019,0.543,0.003,0.072,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
Antigua and Barbuda,1868,ATG,35263,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,0.336,0.418,-0.027,-0.779,0.019,0.544,0.003,0.073,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
Antigua and Barbuda,1869,ATG,35099,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,0.335,0.41,-0.028,-0.806,0.019,0.543,0.003,0.074,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.014,0.012,,
Antigua and Barbuda,1870,ATG,34974,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022,,,,,,,,,0.335,0.429,-0.025,-0.722,0.019,0.541,0.003,0.074,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
Antigua and Barbuda,1871,ATG,34889,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.046,,,,,,,,,0.336,0.438,-0.024,-0.699,0.019,0.543,0.003,0.075,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
Antigua and Barbuda,1872,ATG,34843,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.071,,,,,,,,,0.337,0.44,-0.024,-0.695,0.019,0.544,0.003,0.077,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
Antigua and Barbuda,1873,ATG,34836,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095,,,,,,,,,0.338,0.442,-0.024,-0.696,0.019,0.544,0.003,0.078,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
Antigua and Barbuda,1874,ATG,34829,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.119,,,,,,,,,0.338,0.442,-0.024,-0.701,0.019,0.544,0.003,0.08,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
Antigua and Barbuda,1875,ATG,34822,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.144,,,,,,,,,0.338,0.443,-0.025,-0.705,0.019,0.544,0.003,0.082,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
Antigua and Barbuda,1876,ATG,34815,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.169,,,,,,,,,0.339,0.443,-0.025,-0.711,0.019,0.544,0.003,0.084,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,0,0,0,0,0.015,0.012,,
