country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Argentina,1850,ARG,1088372,2193400064,,,,,,,,,,,,,,,,,,,,,,,,,,11.577,,,,,,,,,0.55,27.845,11.577,10.637,4.249,3.904,0.702,0.645,,,,,,,,,,,,,,,,0.439,,,,,0.439,,,,,,,,30.306,0.599,,
Argentina,1851,ARG,1115018,,,,,,,,,,,,,,,,,,,,,,,,,,,23.692,,,,,,,,,0.547,28.134,12.115,10.865,4.367,3.917,0.713,0.64,,,,,,,,,,,,,,,,0.434,,,,,0.43,,,0.851,0,0,0,0,31.37,0.61,,
Argentina,1852,ARG,1138141,,,,,,,,,,,,,,,,,,,,,,,,,,,35.732,,,,,,,,,0.545,28.359,12.04,10.579,4.485,3.941,0.724,0.637,,,,,,,,,,,,,,,,0.43,,,,,0.421,,,0.858,0,0,0,0,32.277,0.621,,
Argentina,1853,ARG,1157536,,,,,,,,,,,,,,,,,,,,,,,,,,,47.873,,,,,,,,,0.545,28.698,12.141,10.489,4.603,3.976,0.735,0.635,,,,,,,,,,,,,,,,0.427,,,,,0.418,,,0.865,0,0,0,0,33.218,0.631,,
Argentina,1854,ARG,1177263,,,,,,,,,,,,,,,,,,,,,,,,,,,60.081,,,,,,,,,0.545,29.021,12.208,10.369,4.721,4.01,0.746,0.633,,,,,,,,,,,,,,,,0.425,,,,,0.419,,,0.871,0,0,0,0,34.165,0.642,,
Argentina,1855,ARG,1197325,,,,,,,,,,,,,,,,,,,,,,,,,,,72.345,,,,,,,,,0.545,29.291,12.264,10.243,4.839,4.041,0.755,0.631,,,,,,,,,,,,,,,,0.425,,,,,0.426,,,0.88,0,0,0,0,35.071,0.653,,
Argentina,1856,ARG,1217730,,,,0.017,,,12.459,,,10.231,,,0.014,,,0.017,0.014,,,,,0.017,12.459,0.017,,,84.787,,,,,,,,,0.559,29.634,12.442,10.218,4.957,4.071,0.764,0.628,,,,,,,0.006,0.384,0.006,,0,0.058,0,,,0.424,,,,,0.419,,,0.887,0,0,0,0,36.086,0.681,,
Argentina,1857,ARG,1238482,,,,0.041,0.024,144.772,12.578,0.119,0.953,10.156,,,0.033,,,0.041,0.033,,,,,0.057,25.036,0.057,,,97.324,,,,,,,,,0.578,29.943,12.537,10.123,5.076,4.099,0.773,0.624,,,,,,,0.014,0.389,0.014,,0.001,0.101,0.001,,,0.424,,,,,0.425,,,0.896,0,0,0,0,37.084,0.716,,
Argentina,1858,ARG,1259588,,,,0.053,0.012,29.47,12.802,0.224,1.781,10.163,,,0.042,,,0.053,0.042,,,,,0.11,37.838,0.11,,,110.073,,,,,,,,,0.586,30.25,12.749,10.121,5.194,4.123,0.78,0.619,,,,,,,0.018,0.393,0.018,,0.002,0.135,0.002,,,0.425,,,,,0.429,,,0.906,0,0,0,0,38.103,0.738,,
Argentina,1859,ARG,1285058,,,,0.034,-0.019,-35.899,12.86,0.058,0.453,10.007,,,0.026,,,0.034,0.026,,,,,0.144,50.697,0.144,,,122.898,,,,,,,,,0.568,30.36,12.826,9.981,5.312,4.133,0.785,0.611,,,,,,,0.011,0.385,0.011,,0.002,0.161,0.002,,,0.425,,,,,0.422,,,0.914,0,0,0,0,39.015,0.73,,
