country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Austria,1807,AUT,3124310,,,,0.169,,,,,,,,,0.054,,,0.169,0.054,,,,,0.169,,0.169,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.466,,0.466,,0.016,,0.016,,,,,,,,,,,,,,,,,,,
Austria,1819,AUT,3349015,,,,0.253,,,,,,,,,0.075,,,0.253,0.075,,,,,0.421,,0.421,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.496,,0.496,,0.027,,0.027,,,,,,,,,,,,,,,,,,,
Austria,1820,AUT,3367266,6539229184,,,0.333,0.081,31.884,,,,,,,0.099,0.051,,0.333,0.099,,,,,0.755,,0.755,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.657,,0.657,,0.047,,0.047,,,,,,,,,,,,,,,,,,,
Austria,1821,AUT,3385004,,,,0.359,0.026,7.692,,,,,,,0.106,,,0.359,0.106,,,,,1.114,,1.114,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.69,,0.69,,0.068,,0.068,,,,,,,,,,,,,,,,,,,
Austria,1822,AUT,3402223,,,,0.366,0.007,2.041,,,,,,,0.108,,,0.366,0.108,,,,,1.48,,1.48,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.678,,0.678,,0.087,,0.087,,,,,,,,,,,,,,,,,,,
Austria,1823,AUT,3418916,,,,0.348,-0.018,-5,,,,,,,0.102,,,0.348,0.102,,,,,1.828,,1.828,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.618,,0.618,,0.104,,0.104,,,,,,,,,,,,,,,,,,,
Austria,1824,AUT,3435691,,,,0.399,0.051,14.737,,,,,,,0.116,,,0.399,0.116,,,,,2.228,,2.228,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.694,,0.694,,0.123,,0.123,,,,,,,,,,,,,,,,,,,
Austria,1825,AUT,3452549,,,,0.403,0.004,0.917,,,,,,,0.117,,,0.403,0.117,,,,,2.631,,2.631,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.664,,0.664,,0.14,,0.14,,,,,,,,,,,,,,,,,,,
Austria,1826,AUT,3469489,,,,0.458,0.055,13.636,,,,,,,0.132,,,0.458,0.132,,,,,3.089,,3.089,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.746,,0.746,,0.16,,0.16,,,,,,,,,,,,,,,,,,,
Austria,1827,AUT,3486512,,,,0.476,0.018,4,,,,,,,0.137,,,0.476,0.137,,,,,3.565,,3.565,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.725,,0.725,,0.178,,0.178,,,,,,,,,,,,,,,,,,,
Austria,1828,AUT,3503619,,,,0.458,-0.018,-3.846,,,,,,,0.131,,,0.458,0.131,,,,,4.023,,4.023,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.687,,0.687,,0.195,,0.195,,,,,,,,,,,,,,,,,,,
Austria,1829,AUT,3520820,,,,0.476,0.018,4,,,,,,,0.135,,,0.476,0.135,,,,,4.499,,4.499,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.718,,0.718,,0.211,,0.211,,,,,,,,,,,,,,,,,,,
Austria,1830,AUT,3538115,7889739776,,,0.495,0.018,3.846,,,,,,,0.14,0.063,,0.495,0.14,,,,,4.994,,4.994,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.556,,0.556,,0.225,,0.225,,,,,,,,,,,,,,,,,,,
Austria,1831,AUT,3555505,,,,0.48,-0.015,-2.963,,,,,,,0.135,,,0.48,0.135,,,,,5.474,,5.474,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.577,,0.577,,0.237,,0.237,,,,,,,,,,,,,,,,,,,
Austria,1832,AUT,3572991,,,,0.513,0.033,6.87,,,,,,,0.144,,,0.513,0.144,,,,,5.987,,5.987,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.625,,0.625,,0.251,,0.251,,,,,,,,,,,,,,,,,,,
