country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Azerbaijan,1830,AZE,964208,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Azerbaijan,1831,AZE,973057,,,,0,0,20.082,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Azerbaijan,1832,AZE,981986,,,,0,0,-33.447,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Azerbaijan,1833,AZE,990997,,,,0,0,25.128,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Azerbaijan,1850,AZE,1157483,,,,0.002,,,4.212,,,3.639,,,0.001,,,0.002,0.001,,,,,0.002,4.212,0.002,0,0,4.21,0,,,,0,0,0,0,0.266,2.983,4.21,3.637,0.668,0.577,0.242,0.209,0,0,,,,,0.001,0.149,0.001,,0,0.149,0,,,0.16,,,,,0.16,,,,,,,,3.453,0.308,,
Azerbaijan,1851,AZE,1169516,,,,,,,,,,,,,,,,,,,,,,,,,,,8.397,,,,,,,,,0.263,2.94,4.186,3.58,0.669,0.572,0.246,0.211,,,,,,,,,,,,,,,,0.154,,,,,0.148,,,0.073,0,0,0,0,3.439,0.308,,
Azerbaijan,1852,AZE,1181674,,,,,,,,,,,,,,,,,,,,,,,,,,,12.566,,,,,,,,,0.262,2.903,4.169,3.528,0.67,0.567,0.25,0.212,,,,,,,,,,,,,,,,0.151,,,,,0.146,,,0.072,0,0,0,0,3.43,0.31,,
Azerbaijan,1853,AZE,1193956,,,,,,,,,,,,,,,,,,,,,,,,,,,16.721,,,,,,,,,0.26,2.868,4.156,3.481,0.671,0.562,0.254,0.213,,,,,,,,,,,,,,,,0.149,,,,,0.143,,,0.072,0,0,0,0,3.424,0.311,,
Azerbaijan,1854,AZE,1206363,,,,,,,,,,,,,,,,,,,,,,,,,,,20.869,,,,,,,,,0.259,2.836,4.147,3.438,0.672,0.557,0.258,0.214,,,,,,,,,,,,,,,,0.148,,,,,0.142,,,0.071,0,0,0,0,3.422,0.312,,
Azerbaijan,1855,AZE,1218898,,,,0.005,,,4.151,,,3.406,,,0.004,,,0.005,0.004,,,,,0.007,8.363,0.007,0,0,25.015,0,,,,0,0,0,0,0.261,2.813,4.147,3.402,0.673,0.552,0.261,0.214,0,0,,,,,0.002,0.132,0.002,,0,0.046,0,,,0.147,0,,,,0.144,0,,0.071,0,0,0,0,3.429,0.318,,
