country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Bahamas,1850,BHS,28369,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,0.364,0.489,0.002,0.076,0.007,0.249,0.005,0.159,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,0.014,0.01,,
Bahamas,1851,BHS,28820,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,0.356,0.482,0.002,0.075,0.007,0.241,0.005,0.158,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.014,0.01,,
Bahamas,1852,BHS,29403,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,0.348,0.472,0.002,0.074,0.007,0.234,0.005,0.157,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.014,0.01,,
Bahamas,1853,BHS,30124,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,0.34,0.464,0.002,0.073,0.007,0.228,0.005,0.155,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.014,0.01,,
Bahamas,1854,BHS,30861,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,,,,,,,,0.333,0.456,0.002,0.071,0.007,0.222,0.005,0.153,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.014,0.01,,
Bahamas,1855,BHS,31617,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,0.326,0.447,0.002,0.07,0.007,0.216,0.005,0.151,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.014,0.01,,
Bahamas,1856,BHS,32391,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,0.323,0.442,0.002,0.068,0.007,0.214,0.005,0.148,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.014,0.01,,
Bahamas,1857,BHS,33184,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,0.32,0.438,0.002,0.067,0.007,0.212,0.005,0.146,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.015,0.011,,
Bahamas,1858,BHS,33996,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.316,0.431,0.002,0.065,0.007,0.21,0.005,0.144,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.015,0.011,,
Bahamas,1859,BHS,34745,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,,,,,,0.313,0.428,0.002,0.064,0.007,0.209,0.005,0.142,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.015,0.011,,
