country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Belarus,1830,BLR,2580559,,,,0.001,,,,,,,,,0,,,0.001,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.001,,0.001,,0,,0,,,,,,,,,,,,,,,,,,,
Belarus,1831,BLR,2604240,,,,0.001,0,19.961,,,,,,,0,,,0.001,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.001,,0.001,,0,,0,,,,,,,,,,,,,,,,,,,
Belarus,1832,BLR,2628138,,,,0,0,-33.442,,,,,,,0,,,0,0,,,,,0.002,,0.002,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Belarus,1833,BLR,2652255,,,,0.001,0,25.245,,,,,,,0,,,0.001,0,,,,,0.002,,0.002,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.001,,0.001,,0,,0,,,,,,,,,,,,,,,,,,,
Belarus,1850,BLR,3097828,,,,0.003,,,40.107,,,12.947,,,0.001,,,0.003,0.001,,,,,0.005,40.107,0.005,0,0,40.104,0,,,,0,0,0,0,0.57,12.711,40.104,12.946,6.393,2.064,2.505,0.809,0,0,,,,,0.002,1.414,0.002,,0,1.414,0,,,1.52,,,,,1.52,,,,,,,,39.376,1.765,,
Belarus,1851,BLR,3127470,,,,,,,,,,,,,,,,,,,,,,,,,,,79.846,,,,,,,,,0.569,12.5,39.742,12.708,6.435,2.058,2.557,0.818,,,,,,,,,,,,,,,,1.463,,,,,1.409,,,0.892,0,0,0,0,39.092,1.781,,
Belarus,1852,BLR,3157395,,,,,,,,,,,,,,,,,,,,,,,,,,,119.654,,,,,,,,,0.57,12.427,39.808,12.608,6.478,2.052,2.607,0.826,,,,,,,,,,,,,,,,1.439,,,,,1.393,,,0.889,0,0,0,0,39.237,1.8,,
Belarus,1853,BLR,3187606,,,,,,,,,,,,,,,,,,,,,,,,,,,159.118,,,,,,,,,0.571,12.225,39.464,12.38,6.521,2.046,2.655,0.833,,,,,,,,,,,,,,,,1.418,,,,,1.358,,,0.882,0,0,0,0,38.969,1.819,,
Belarus,1854,BLR,3218106,,,,,,,,,,,,,,,,,,,,,,,,,,,198.935,,,,,,,,,0.571,12.24,39.817,12.373,6.564,2.04,2.7,0.839,,,,,,,,,,,,,,,,1.407,,,,,1.366,,,0.877,0,0,0,0,39.39,1.839,,
Belarus,1855,BLR,3248897,,,,0.01,,,39.427,,,12.136,,,0.003,,,0.01,0.003,,,,,0.015,79.534,0.015,0,0,238.353,0,,,,0,0,0,0,0.575,12.022,39.418,12.133,6.608,2.034,2.741,0.844,0,0,,,,,0.004,1.256,0.004,,0,0.433,0,,,1.401,0,,,,1.369,0,,0.874,0,0,0,0,39.057,1.868,,
Belarus,1856,BLR,3279982,,,,,,,,,,,,,,,,,,,,,,,,,,,278.178,,,,,,,,,0.573,12.044,39.825,12.142,6.652,2.028,2.778,0.847,,,,,,,,,,,,,,,,1.392,,,,,1.341,,,0.871,0,0,0,0,39.504,1.878,,
Belarus,1857,BLR,3311364,,,,,,,,,,,,,,,,,,,,,,,,,,,317.619,,,,,,,,,0.573,11.826,39.442,11.911,6.695,2.022,2.809,0.848,,,,,,,,,,,,,,,,1.385,,,,,1.337,,,0.868,0,0,0,0,39.16,1.898,,
Belarus,1858,BLR,3343046,,,,0.013,,,39.956,,,11.952,,,0.004,,,0.013,0.004,,,,,0.028,119.49,0.028,0,0,357.562,0,,,,0,0,0,0,0.578,11.877,39.943,11.948,6.74,2.016,2.835,0.848,0,0,,,,,0.005,1.226,0.005,,0,0.425,0,,,1.38,0,,,,1.343,0,,0.867,0,0,0,0,39.705,1.932,,
Belarus,1859,BLR,3375031,,,,0.014,0.001,6.062,39.795,-0.161,-0.402,11.791,,,0.004,,,0.014,0.004,,,,,0.043,159.286,0.043,0,0,397.343,0,,,,0,0,0,0,0.576,11.72,39.781,11.787,6.774,2.007,2.853,0.845,0,0,,,,,0.005,1.191,0.005,,0.001,0.507,0.001,,,1.373,0,,,,1.309,0,,0.863,0,0,0,0,39.555,1.944,,
Belarus,1860,BLR,3407320,,,,0.019,0.005,32.146,40.181,0.385,0.968,11.793,,,0.006,,,0.016,0.005,,,,,0.061,199.467,0.059,0,0,437.505,0.003,,,,0,0,0,0,0.575,11.69,40.162,11.787,6.808,1.998,2.864,0.84,0.003,0.001,,,,,0.006,1.291,0.005,,0.001,0.577,0.001,,,1.379,0.49,,,,1.444,0.93,,0.865,0,0,0,0,39.833,1.959,,
Belarus,1861,BLR,3439919,,,,0.024,0.005,27.026,40.076,-0.105,-0.262,11.65,,,0.007,,,0.021,0.006,,,,,0.085,239.542,0.08,0,0,477.557,0.005,,,,0,0,0,0,0.574,11.551,40.052,11.643,6.857,1.993,2.87,0.834,0.003,0.001,,,,,0.007,1.286,0.006,,0.001,0.636,0.001,,,1.384,0.352,,,,1.447,0.276,,0.867,0,0,0,0,39.735,1.975,,
Belarus,1862,BLR,3472828,,,,0.022,-0.002,-9.79,40.222,0.147,0.366,11.582,,,0.006,,,0.019,0.005,,,,,0.107,279.765,0.099,0,0,517.758,0.008,,,,0,0,0,0,0.571,11.484,40.201,11.576,6.905,1.988,2.874,0.828,0.003,0.001,,,,,0.006,1.299,0.005,,0.001,0.686,0.001,,,1.39,0.27,,,,1.467,0.185,,0.869,0,0,0,0,39.883,1.984,,
Belarus,1863,BLR,3506052,,,,0.023,0.001,4.717,40.307,0.084,0.21,11.496,,,0.006,,,0.019,0.005,,,,,0.13,320.071,0.118,0,0,558.041,0.012,,,,0,0,0,0,0.569,11.4,40.284,11.49,6.954,1.983,2.878,0.821,0.004,0.001,,,,,0.006,1.306,0.005,,0.002,0.73,0.001,,,1.397,0.284,,,,1.488,0.313,,0.871,0,0,0,0,39.967,1.996,,
Belarus,1864,BLR,3539594,,,,0.025,0.003,12.164,40.359,0.052,0.13,11.402,,,0.007,,,0.02,0.006,,,,,0.155,360.43,0.138,0,0,598.375,0.017,,,,0,0,0,0,0.568,11.306,40.334,11.395,7.002,1.978,2.881,0.814,0.005,0.002,,,,,0.006,1.333,0.005,,0.002,0.769,0.002,,,1.406,0.327,,,,1.54,0.491,,0.873,0,0,0,0,40.02,2.01,,
Belarus,1865,BLR,3573455,,,,0.024,-0.001,-4.417,40.557,0.198,0.49,11.349,,,0.007,,,0.018,0.005,,,,,0.179,400.987,0.156,0,0,638.907,0.023,,,,0,0,0,0,0.574,11.263,40.532,11.343,7.082,1.982,2.883,0.807,0.006,0.002,,,,,0.006,1.349,0.004,,0.002,0.804,0.002,,,1.416,0.353,,,,1.576,0.455,,0.876,0,0,0,0,40.249,2.051,,
Belarus,1866,BLR,3607640,,,,0.077,0.052,215.967,40.751,0.194,0.479,11.296,,,0.021,,,0.069,0.019,,,,,0.256,441.738,0.225,0,0,679.581,0.031,,,,0,0,0,0,0.595,11.22,40.674,11.274,7.163,1.985,2.886,0.8,0.008,0.002,,,,,0.017,1.333,0.015,,0.003,0.834,0.002,,,1.423,0.365,,,,1.56,0.404,,0.877,0,0,0,0,40.478,2.146,,
Belarus,1867,BLR,3642152,,,,0.088,0.011,14.76,40.472,-0.278,-0.683,11.112,,,0.024,,,0.077,0.021,,,,,0.344,482.21,0.302,0,0,719.966,0.042,,,,0,0,0,0,0.605,11.048,40.384,11.088,7.244,1.989,2.889,0.793,0.011,0.003,,,,,0.018,1.327,0.016,,0.003,0.861,0.003,,,1.431,0.402,,,,1.571,0.561,,0.879,0,0,0,0,40.237,2.202,,
