country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Belgium,1802,BEL,3267947,,,,6.397,,,,,,,,,1.958,,,6.397,1.958,,,,,6.397,,6.397,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,15.87,,15.87,,0.74,,0.74,,,,,,,,,,,,,,,,,,,
Belgium,1830,BEL,3749449,,,,6.196,,,,,,,,,1.652,,,6.196,1.652,,,,,12.593,,12.593,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,6.963,,6.963,,0.567,,0.567,,,,,,,,,,,,,,,,,,,
Belgium,1831,BEL,3781756,,,,4.463,-1.733,-27.972,,,,,,,1.18,,,4.463,1.18,,,,,17.056,,17.056,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.361,,5.361,,0.74,,0.74,,,,,,,,,,,,,,,,,,,
Belgium,1832,BEL,3814064,,,,4.716,0.253,5.665,,,,,,,1.236,,,4.716,1.236,,,,,21.771,,21.771,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.744,,5.744,,0.912,,0.912,,,,,,,,,,,,,,,,,,,
Belgium,1833,BEL,3846368,,,,4.565,-0.15,-3.186,,,,,,,1.187,,,4.565,1.187,,,,,26.337,,26.337,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.484,,5.484,,1.066,,1.066,,,,,,,,,,,,,,,,,,,
Belgium,1834,BEL,3878946,,,,4.408,-0.158,-3.451,,,,,,,1.136,,,4.408,1.136,,,,,30.745,,30.745,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,4.966,,4.966,,1.201,,1.201,,,,,,,,,,,,,,,,,,,
Belgium,1835,BEL,3911800,,,,4.76,0.352,7.98,,,,,,,1.217,,,4.76,1.217,,,,,35.504,,35.504,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,4.887,,4.887,,1.336,,1.336,,,,,,,,,,,,,,,,,,,
Belgium,1836,BEL,3944932,,,,5.599,0.839,17.629,,,,,,,1.419,,,5.599,1.419,,,,,41.103,,41.103,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.237,,5.237,,1.487,,1.487,,,,,,,,,,,,,,,,,,,
Belgium,1837,BEL,3978344,,,,5.998,0.399,7.134,,,,,,,1.508,,,5.998,1.508,,,,,47.101,,47.101,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.648,,5.648,,1.641,,1.641,,,,,,,,,,,,,,,,,,,
Belgium,1838,BEL,4012040,,,,6.123,0.125,2.077,,,,,,,1.526,,,6.123,1.526,,,,,53.223,,53.223,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.784,,5.784,,1.788,,1.788,,,,,,,,,,,,,,,,,,,
Belgium,1839,BEL,4046206,,,,6.709,0.586,9.575,,,,,,,1.658,,,6.709,1.658,,,,,59.932,,59.932,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,6.118,,6.118,,1.942,,1.942,,,,,,,,,,,,,,,,,,,
Belgium,1840,BEL,4080847,,,,7.727,1.019,15.183,,,,,,,1.894,,,7.727,1.894,,,,,67.659,,67.659,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,6.504,,6.504,,2.111,,2.111,,,,,,,,,,,,,,,,,,,
Belgium,1841,BEL,4115969,,,,7.39,-0.337,-4.362,,,,,,,1.796,,,7.39,1.796,,,,,75.05,,75.05,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,6.049,,6.049,,2.256,,2.256,,,,,,,,,,,,,,,,,,,
Belgium,1842,BEL,4151578,,,,7.68,0.289,3.917,,,,,,,1.85,,,7.68,1.85,,,,,82.729,,82.729,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.935,,5.935,,2.394,,2.394,,,,,,,,,,,,,,,,,,,
Belgium,1843,BEL,4187679,,,,7.112,-0.568,-7.395,,,,,,,1.698,,,7.112,1.698,,,,,89.841,,89.841,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.373,,5.373,,2.503,,2.503,,,,,,,,,,,,,,,,,,,
Belgium,1844,BEL,4224094,,,,7.801,0.689,9.686,,,,,,,1.847,,,7.801,1.847,,,,,97.642,,97.642,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.495,,5.495,,2.617,,2.617,,,,,,,,,,,,,,,,,,,
Belgium,1845,BEL,4260826,,,,8.218,0.418,5.355,,,,,,,1.929,,,8.218,1.929,,,,,105.86,,105.86,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.3,,5.3,,2.724,,2.724,,,,,,,,,,,,,,,,,,,
Belgium,1846,BEL,4297878,11599200256,,,8.966,0.747,9.095,,,,,,,2.086,0.773,,8.966,2.086,,,,,114.826,,114.826,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.685,,5.685,,2.84,,2.84,,,,,,,,,,,,,,,,,,,
