country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Belize,1850,BLZ,25881,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,,,,,,,,,2.48,8.571,0.152,5.882,0.075,2.887,0.002,0.074,,,,,,,,,,,,,,,,0.006,,,,,0.006,,,,,,,,0.222,0.064,,
Belize,1851,BLZ,25906,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,2.413,12.682,0.388,14.958,0.073,2.821,0.002,0.075,,,,,,,,,,,,,,,,0.01,,,,,0.014,,,0.007,0,0,0,0,0.329,0.063,,
Belize,1852,BLZ,25932,,,,,,,,,,,,,,,,,,,,,,,,,,,0.764,,,,,,,,,2.362,9.722,0.224,8.656,0.072,2.77,0.002,0.076,,,,,,,,,,,,,,,,0.009,,,,,0.008,,,0.006,0,0,0,0,0.252,0.061,,
Belize,1853,BLZ,25958,,,,,,,,,,,,,,,,,,,,,,,,,,,1.404,,,,,,,,,2.354,14.04,0.64,24.655,0.072,2.762,0.002,0.077,,,,,,,,,,,,,,,,0.013,,,,,0.022,,,0.006,0,0,0,0,0.364,0.061,,
Belize,1854,BLZ,25984,,,,,,,,,,,,,,,,,,,,,,,,,,,1.723,,,,,,,,,2.346,10.564,0.319,12.259,0.072,2.755,0.002,0.078,,,,,,,,,,,,,,,,0.012,,,,,0.011,,,0.006,0,0,0,0,0.274,0.061,,
Belize,1855,BLZ,26010,,,,,,,,,,,,,,,,,,,,,,,,,,,2.177,,,,,,,,,2.338,13.888,0.454,17.465,0.071,2.747,0.002,0.079,,,,,,,,,,,,,,,,0.013,,,,,0.016,,,0.006,0,0,0,0,0.361,0.061,,
Belize,1856,BLZ,26035,,,,,,,,,,,,,,,,,,,,,,,,,,,2.436,,,,,,,,,2.391,10.108,0.259,9.94,0.073,2.801,0.002,0.079,,,,,,,,,,,,,,,,0.012,,,,,0.009,,,0.006,0,0,0,0,0.263,0.062,,
Belize,1857,BLZ,26061,,,,,,,,,,,,,,,,,,,,,,,,,,,2.829,,,,,,,,,2.445,11.482,0.393,15.093,0.074,2.855,0.002,0.08,,,,,,,,,,,,,,,,0.012,,,,,0.013,,,0.006,0,0,0,0,0.299,0.064,,
Belize,1858,BLZ,26087,,,,,,,,,,,,,,,,,,,,,,,,,,,3.077,,,,,,,,,2.5,10.143,0.248,9.506,0.076,2.911,0.002,0.081,,,,,,,,,,,,,,,,0.012,,,,,0.008,,,0.006,0,0,0,0,0.265,0.065,,
Belize,1859,BLZ,26090,,,,,,,,,,,,,,,,,,,,,,,,,,,3.283,,,,,,,,,2.559,9.731,0.206,7.902,0.078,2.971,0.002,0.081,,,,,,,,,,,,,,,,0.011,,,,,0.007,,,0.006,0,0,0,0,0.254,0.067,,
Belize,1860,BLZ,26071,,,,,,,,,,,,,,,,,,,,,,,,,,,3.657,,,,,,,,,2.621,13.575,0.374,14.332,0.079,3.034,0.002,0.082,,,,,,,,,,,,,,,,0.012,,,,,0.013,,,0.006,0,0,0,0,0.354,0.068,,
Belize,1861,BLZ,26028,,,,,,,,,,,,,,,,,,,,,,,,,,,4.046,,,,,,,,,2.685,13.839,0.389,14.961,0.081,3.104,0.002,0.083,,,,,,,,,,,,,,,,0.012,,,,,0.014,,,0.006,0,0,0,0,0.36,0.07,,
