country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Benin,1850,BEN,789547,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.21,,,,,,,,,0.282,-1.62,-5.21,-6.599,0.45,0.57,0.041,0.052,,,,,,,,,,,,,,,,-0.197,,,,,-0.197,,,,,,,,-1.279,0.223,,
Benin,1851,BEN,795201,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.455,,,,,,,,,0.279,-1.629,-5.245,-6.596,0.447,0.562,0.042,0.053,,,,,,,,,,,,,,,,-0.192,,,,,-0.186,,,-0.045,0,0,0,0,-1.295,0.222,,
Benin,1852,BEN,800346,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.742,,,,,,,,,0.276,-1.641,-5.287,-6.606,0.444,0.555,0.043,0.054,,,,,,,,,,,,,,,,-0.189,,,,,-0.185,,,-0.045,0,0,0,0,-1.314,0.221,,
Benin,1853,BEN,804973,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.072,,,,,,,,,0.272,-1.655,-5.331,-6.622,0.442,0.549,0.044,0.054,,,,,,,,,,,,,,,,-0.188,,,,,-0.183,,,-0.045,0,0,0,0,-1.332,0.219,,
Benin,1854,BEN,809625,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.447,,,,,,,,,0.269,-1.667,-5.375,-6.638,0.439,0.542,0.044,0.055,,,,,,,,,,,,,,,,-0.187,,,,,-0.184,,,-0.045,0,0,0,0,-1.35,0.218,,
Benin,1855,BEN,814299,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.865,,,,,,,,,0.266,-1.679,-5.418,-6.654,0.436,0.536,0.045,0.055,,,,,,,,,,,,,,,,-0.187,,,,,-0.188,,,-0.045,0,0,0,0,-1.367,0.217,,
Benin,1856,BEN,818998,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.326,,,,,,,,,0.263,-1.689,-5.461,-6.668,0.433,0.529,0.046,0.056,,,,,,,,,,,,,,,,-0.187,,,,,-0.184,,,-0.045,0,0,0,0,-1.383,0.216,,
Benin,1857,BEN,823721,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.829,,,,,,,,,0.26,-1.698,-5.503,-6.68,0.431,0.523,0.046,0.056,,,,,,,,,,,,,,,,-0.187,,,,,-0.186,,,-0.045,0,0,0,0,-1.398,0.214,,
Benin,1858,BEN,828468,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.372,,,,,,,,,0.257,-1.705,-5.544,-6.691,0.428,0.516,0.047,0.056,,,,,,,,,,,,,,,,-0.187,,,,,-0.186,,,-0.045,0,0,0,0,-1.413,0.213,,
Benin,1859,BEN,833930,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.956,,,,,,,,,0.254,-1.711,-5.583,-6.695,0.425,0.51,0.047,0.056,,,,,,,,,,,,,,,,-0.186,,,,,-0.184,,,-0.045,0,0,0,0,-1.426,0.212,,
Benin,1860,BEN,840120,,,,,,,,,,,,,,,,,,,,,,,,,,,-59.183,,,,,,,,,0.251,-1.531,-5.227,-6.222,0.422,0.503,0.047,0.056,,,,,,,,,,,,,,,,-0.187,,,,,-0.188,,,-0.044,0,0,0,0,-1.286,0.211,,
Benin,1861,BEN,847051,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.087,,,,,,,,,0.249,-1.377,-4.905,-5.79,0.423,0.5,0.047,0.056,,,,,,,,,,,,,,,,-0.186,,,,,-0.177,,,-0.044,0,0,0,0,-1.166,0.211,,
Benin,1862,BEN,854734,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.694,,,,,,,,,0.247,-1.234,-4.607,-5.39,0.424,0.496,0.047,0.055,,,,,,,,,,,,,,,,-0.184,,,,,-0.168,,,-0.043,0,0,0,0,-1.055,0.212,,
Benin,1863,BEN,863183,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.025,,,,,,,,,0.246,-1.108,-4.331,-5.017,0.425,0.492,0.047,0.055,,,,,,,,,,,,,,,,-0.183,,,,,-0.16,,,-0.043,0,0,0,0,-0.956,0.212,,
Benin,1864,BEN,871712,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.1,,,,,,,,,0.244,-0.993,-4.075,-4.675,0.426,0.488,0.047,0.054,,,,,,,,,,,,,,,,-0.181,,,,,-0.156,,,-0.042,0,0,0,0,-0.866,0.212,,
Benin,1865,BEN,880323,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.938,,,,,,,,,0.242,-0.89,-3.838,-4.36,0.427,0.485,0.047,0.054,,,,,,,,,,,,,,,,-0.179,,,,,-0.149,,,-0.041,0,0,0,0,-0.783,0.213,,
Benin,1866,BEN,889015,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.555,,,,,,,,,0.24,-0.796,-3.618,-4.069,0.428,0.481,0.047,0.053,,,,,,,,,,,,,,,,-0.177,,,,,-0.139,,,-0.04,0,0,0,0,-0.707,0.213,,
Benin,1867,BEN,897789,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.969,,,,,,,,,0.238,-0.71,-3.414,-3.802,0.428,0.477,0.048,0.053,,,,,,,,,,,,,,,,-0.175,,,,,-0.133,,,-0.039,0,0,0,0,-0.637,0.214,,
Benin,1868,BEN,906647,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.193,,,,,,,,,0.236,-0.632,-3.224,-3.556,0.429,0.473,0.048,0.053,,,,,,,,,,,,,,,,-0.173,,,,,-0.127,,,-0.038,0,0,0,0,-0.573,0.214,,
Benin,1869,BEN,915682,,,,,,,,,,,,,,,,,,,,,,,,,,,-94.241,,,,,,,,,0.235,-0.562,-3.048,-3.329,0.43,0.47,0.048,0.052,,,,,,,,,,,,,,,,-0.17,,,,,-0.118,,,-0.037,0,0,0,0,-0.514,0.215,,
Benin,1870,BEN,924897,,,,,,,,,,,,,,,,,,,,,,,,,,,-97.084,,,,,,,,,0.233,-0.481,-2.843,-3.074,0.431,0.466,0.048,0.052,,,,,,,,,,,,,,,,-0.167,,,,,-0.1,,,-0.036,0,0,0,0,-0.445,0.215,,
Benin,1871,BEN,934295,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.758,,,,,,,,,0.231,-0.416,-2.674,-2.862,0.432,0.462,0.049,0.052,,,,,,,,,,,,,,,,-0.163,,,,,-0.094,,,-0.035,0,0,0,0,-0.388,0.216,,
Benin,1872,BEN,943878,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.279,,,,,,,,,0.229,-0.357,-2.521,-2.671,0.433,0.459,0.051,0.054,,,,,,,,,,,,,,,,-0.159,,,,,-0.083,,,-0.034,0,0,0,0,-0.337,0.216,,
Benin,1873,BEN,953650,,,,,,,,,,,,,,,,,,,,,,,,,,,-104.66,,,,,,,,,0.228,-0.304,-2.381,-2.496,0.434,0.455,0.053,0.056,,,,,,,,,,,,,,,,-0.156,,,,,-0.08,,,-0.033,0,0,0,0,-0.29,0.217,,
Benin,1874,BEN,963519,,,,,,,,,,,,,,,,,,,,,,,,,,,-106.91,,,,,,,,,0.226,-0.255,-2.251,-2.336,0.435,0.451,0.057,0.059,,,,,,,,,,,,,,,,-0.152,,,,,-0.071,,,-0.032,0,0,0,0,-0.246,0.218,,
Benin,1875,BEN,973488,,,,,,,,,,,,,,,,,,,,,,,,,,,-109.04,,,,,,,,,0.225,-0.213,-2.13,-2.188,0.435,0.447,0.06,0.062,,,,,,,,,,,,,,,,-0.148,,,,,-0.065,,,-0.031,0,0,0,0,-0.208,0.219,,
Benin,1876,BEN,983556,,,,,,,,,,,,,,,,,,,,,,,,,,,-111.058,,,,,,,,,0.223,-0.174,-2.018,-2.052,0.436,0.444,0.064,0.065,,,,,,,,,,,,,,,,-0.144,,,,,-0.061,,,-0.03,0,0,0,0,-0.172,0.219,,
