country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Bosnia and Herzegovina,1850,BIH,1024184,,,,,,,,,,,,,,,,,,,,,,,,,,,4.607,,,,,,,,,0.294,3.435,4.607,4.498,0.856,0.836,0.062,0.06,,,,,,,,,,,,,,,,0.175,,,,,0.175,,,,,,,,3.518,0.301,,
Bosnia and Herzegovina,1851,BIH,1030556,,,,,,,,,,,,,,,,,,,,,,,,,,,9.152,,,,,,,,,0.294,3.35,4.546,4.411,0.861,0.835,0.063,0.061,,,,,,,,,,,,,,,,0.168,,,,,0.161,,,0.078,0,0,0,0,3.453,0.303,,
Bosnia and Herzegovina,1852,BIH,1036968,,,,,,,,,,,,,,,,,,,,,,,,,,,13.775,,,,,,,,,0.294,3.393,4.623,4.458,0.866,0.835,0.064,0.061,,,,,,,,,,,,,,,,0.166,,,,,0.162,,,0.078,0,0,0,0,3.519,0.305,,
Bosnia and Herzegovina,1853,BIH,1043420,,,,,,,,,,,,,,,,,,,,,,,,,,,18.477,,,,,,,,,0.294,3.435,4.702,4.506,0.871,0.835,0.065,0.062,,,,,,,,,,,,,,,,0.165,,,,,0.162,,,0.078,0,0,0,0,3.584,0.307,,
Bosnia and Herzegovina,1854,BIH,1049911,,,,,,,,,,,,,,,,,,,,,,,,,,,23.158,,,,,,,,,0.294,3.378,4.681,4.459,0.876,0.834,0.066,0.062,,,,,,,,,,,,,,,,0.164,,,,,0.161,,,0.078,0,0,0,0,3.546,0.308,,
Bosnia and Herzegovina,1855,BIH,1056444,,,,,,,,,,,,,,,,,,,,,,,,,,,27.85,,,,,,,,,0.294,3.35,4.692,4.441,0.881,0.834,0.066,0.063,,,,,,,,,,,,,,,,0.164,,,,,0.163,,,0.078,0,0,0,0,3.539,0.31,,
Bosnia and Herzegovina,1856,BIH,1063017,,,,,,,,,,,,,,,,,,,,,,,,,,,32.611,,,,,,,,,0.294,3.376,4.761,4.478,0.886,0.834,0.067,0.063,,,,,,,,,,,,,,,,0.163,,,,,0.16,,,0.077,0,0,0,0,3.589,0.312,,
Bosnia and Herzegovina,1857,BIH,1069631,,,,,,,,,,,,,,,,,,,,,,,,,,,37.429,,,,,,,,,0.294,3.39,4.818,4.504,0.891,0.833,0.068,0.063,,,,,,,,,,,,,,,,0.163,,,,,0.163,,,0.077,0,0,0,0,3.626,0.314,,
Bosnia and Herzegovina,1858,BIH,1076286,,,,,,,,,,,,,,,,,,,,,,,,,,,42.262,,,,,,,,,0.294,3.364,4.833,4.491,0.897,0.833,0.069,0.064,,,,,,,,,,,,,,,,0.163,,,,,0.162,,,0.077,0,0,0,0,3.621,0.316,,
Bosnia and Herzegovina,1859,BIH,1082982,,,,,,,,,,,,,,,,,,,,,,,,,,,47.07,,,,,,,,,0.294,3.3,4.808,4.44,0.902,0.833,0.069,0.064,,,,,,,,,,,,,,,,0.163,,,,,0.158,,,0.077,0,0,0,0,3.574,0.318,,
Bosnia and Herzegovina,1860,BIH,1089720,,,,,,,,,,,,,,,,,,,,,,,,,,,53.259,,,,,,,,,0.293,3.958,6.189,5.679,0.907,0.832,0.069,0.064,,,,,,,,,,,,,,,,0.168,,,,,0.223,,,0.079,0,0,0,0,4.313,0.32,,
Bosnia and Herzegovina,1861,BIH,1096500,,,,,,,,,,,,,,,,,,,,,,,,,,,59.864,,,,,,,,,0.294,4.097,6.605,6.023,0.916,0.836,0.07,0.064,,,,,,,,,,,,,,,,0.174,,,,,0.239,,,0.081,0,0,0,0,4.493,0.323,,
Bosnia and Herzegovina,1862,BIH,1103322,,,,,,,,,,,,,,,,,,,,,,,,,,,66.735,,,,,,,,,0.296,4.191,6.871,6.228,0.926,0.839,0.07,0.063,,,,,,,,,,,,,,,,0.179,,,,,0.251,,,0.083,0,0,0,0,4.624,0.326,,
