country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Brazil,1850,BRA,7233093,6271878144,,,,,,,,,,,,,,,,,,,,,,,,,,39.296,,,,,,,,,0.485,6.383,39.296,5.433,14.522,2.008,1.23,0.17,,,,,,,,,,,,,,,,1.489,,,,,1.489,,,,,,,,46.168,3.509,,
Brazil,1851,BRA,7346113,,,,,,,,,,,,,,,,,,,,,,,,,,,86.73,,,,,,,,,0.485,7.468,47.435,6.457,14.743,2.007,1.249,0.17,,,,,,,,,,,,,,,,1.589,,,,,1.682,,,1.507,0,0,0,0,54.861,3.561,,
Brazil,1852,BRA,7460007,,,,,,,,,,,,,,,,,,,,,,,,,,,121.422,,,,,,,,,0.484,5.697,34.692,4.65,14.965,2.006,1.267,0.17,,,,,,,,,,,,,,,,1.46,,,,,1.214,,,1.349,0,0,0,0,42.496,3.612,,
Brazil,1853,BRA,7574774,,,,,,,,,,,,,,,,,,,,,,,,,,,155.492,,,,,,,,,0.484,5.57,34.07,4.498,15.187,2.005,1.285,0.17,,,,,,,,,,,,,,,,1.386,,,,,1.173,,,1.287,0,0,0,0,42.189,3.664,,
Brazil,1854,BRA,7691306,,,,,,,,,,,,,,,,,,,,,,,,,,,191.943,,,,,,,,,0.483,5.849,36.451,4.739,15.409,2.003,1.303,0.169,,,,,,,,,,,,,,,,1.358,,,,,1.251,,,1.267,0,0,0,0,44.983,3.716,,
Brazil,1855,BRA,7809631,,,,,,,,,,,,,,,,,,,,,,,,,,,234.155,,,,,,,,,0.482,6.556,42.212,5.405,15.632,2.002,1.319,0.169,,,,,,,,,,,,,,,,1.376,,,,,1.466,,,1.286,0,0,0,0,51.198,3.768,,
Brazil,1856,BRA,7929776,,,,0.227,,,46.764,,,5.897,,,0.029,,,0.227,0.029,,,,,0.227,46.764,0.227,,,280.692,,,,,,,,,0.51,7.072,46.537,5.869,15.853,1.999,1.334,0.168,,,,,,,0.082,1.44,0.082,,0.004,0.217,0.004,,,1.405,,,,,1.567,,,1.311,0,0,0,0,56.077,4.045,,
Brazil,1857,BRA,8051769,,,,0.269,0.042,18.423,46.642,-0.122,-0.262,5.793,,,0.033,,,0.269,0.033,,,,,0.496,93.406,0.496,,,327.065,,,,,,,,,0.514,6.987,46.373,5.759,16.074,1.996,1.348,0.167,,,,,,,0.096,1.443,0.096,,0.008,0.376,0.008,,,1.426,,,,,1.571,,,1.33,0,0,0,0,56.256,4.137,,
Brazil,1858,BRA,8175639,,,,0.285,0.015,5.761,43.966,-2.676,-5.738,5.378,,,0.035,,,0.285,0.035,,,,,0.781,137.372,0.781,,,370.747,,,,,,,,,0.514,6.609,43.681,5.343,16.295,1.993,1.361,0.166,,,,,,,0.1,1.348,0.1,,0.012,0.489,0.012,,,1.431,,,,,1.468,,,1.336,0,0,0,0,54.031,4.203,,
Brazil,1859,BRA,8301415,,,,0.373,0.088,30.985,33.064,-10.902,-24.797,3.983,,,0.045,,,0.373,0.045,,,,,1.154,170.436,1.154,,,403.437,,,,,,,,,0.523,5.239,32.691,3.938,16.517,1.99,1.371,0.165,,,,,,,0.123,0.99,0.123,,0.016,0.542,0.016,,,1.394,,,,,1.076,,,1.31,0,0,0,0,43.494,4.34,,
Brazil,1860,BRA,8429125,,,,0.435,0.062,16.684,36.179,3.116,9.423,4.292,,,0.052,,,0.435,0.052,,,,,1.588,206.615,1.588,,,439.182,,,,,,,,,0.528,5.574,35.744,4.241,16.738,1.986,1.38,0.164,,,,,,,0.131,1.162,0.131,,0.021,0.598,0.021,,,1.384,,,,,1.285,,,1.304,0,0,0,0,46.981,4.452,,
Brazil,1861,BRA,8558801,,,,0.41,-0.025,-5.709,44.131,7.952,21.98,5.156,,,0.048,,,0.41,0.048,,,,,1.998,250.746,1.998,,,482.903,,,,,,,,,0.523,6.461,43.721,5.108,16.964,1.982,1.387,0.162,,,,,,,0.117,1.416,0.118,,0.026,0.666,0.026,,,1.4,,,,,1.58,,,1.316,0,0,0,0,55.296,4.478,,
Brazil,1862,BRA,8690471,,,,0.355,-0.055,-13.349,45.929,1.798,4.073,5.285,,,0.041,,,0.355,0.041,,,,,2.354,296.675,2.354,,,528.477,,,,,,,,,0.515,6.606,45.574,5.244,17.19,1.978,1.394,0.16,,,,,,,0.1,1.483,0.1,,0.029,0.728,0.029,,,1.419,,,,,1.663,,,1.33,0,0,0,0,57.411,4.475,,
Brazil,1863,BRA,8824166,,,,0.426,0.071,19.88,42.96,-2.969,-6.464,4.868,,,0.048,,,0.426,0.048,,,,,2.78,339.635,2.78,,,571.011,,,,,,,,,0.521,6.2,42.534,4.82,17.416,1.974,1.401,0.159,,,,,,,0.112,1.392,0.113,,0.033,0.775,0.033,,,1.43,,,,,1.571,,,1.337,0,0,0,0,54.706,4.597,,
Brazil,1864,BRA,8959918,,,,0.48,0.054,12.588,45.467,2.507,5.836,5.075,,,0.054,,,0.48,0.054,,,,,3.259,385.102,3.259,,,615.998,,,,,,,,,0.525,6.424,44.988,5.021,17.643,1.969,1.408,0.157,,,,,,,0.117,1.501,0.117,,0.037,0.822,0.037,,,1.447,,,,,1.718,,,1.348,0,0,0,0,57.56,4.702,,
Brazil,1865,BRA,9097759,,,,0.572,0.092,19.249,35.204,-10.264,-22.574,3.869,,,0.063,,,0.572,0.063,,,,,3.831,420.306,3.831,,,650.63,,,,,,,,,0.533,5.218,34.632,3.807,17.87,1.964,1.415,0.155,,,,,,,0.132,1.171,0.132,,0.041,0.843,0.041,,,1.442,,,,,1.347,,,1.343,0,0,0,0,47.477,4.846,,
Brazil,1866,BRA,9237720,,,,0.646,0.074,12.961,52.81,17.606,50.012,5.717,,,0.07,,,0.646,0.07,,,,,4.477,473.116,4.477,,,702.794,,,,,,,,,0.538,7.051,52.164,5.647,18.097,1.959,1.421,0.154,,,,,,,0.144,1.727,0.144,,0.046,0.894,0.046,,,1.472,,,,,2,,,1.362,0,0,0,0,65.135,4.973,,
Brazil,1867,BRA,9379834,,,,0.555,-0.091,-14.136,41.773,-11.037,-20.9,4.453,,,0.059,,,0.555,0.059,,,,,5.032,514.889,5.032,,,744.012,,,,,,,,,0.526,5.776,41.218,4.394,18.322,1.953,1.428,0.152,,,,,,,0.115,1.369,0.116,,0.049,0.92,0.049,,,1.479,,,,,1.604,,,1.363,0,0,0,0,54.181,4.932,,
Brazil,1868,BRA,9524134,,,,0.752,0.198,35.656,60.317,18.544,44.392,6.333,,,0.079,,,0.752,0.079,,,,,5.784,575.205,5.784,,,803.576,,,,,,,,,0.544,7.645,59.564,6.254,18.547,1.947,1.435,0.151,,,,,,,0.152,1.989,0.153,,0.054,0.975,0.054,,,1.52,,,,,2.346,,,1.389,0,0,0,0,72.815,5.18,,
Brazil,1869,BRA,9677417,,,,0.605,-0.147,-19.594,54.31,-6.006,-9.958,5.612,,,0.063,,,0.605,0.063,,,,,6.389,629.516,6.389,,,857.282,,,,,,,,,0.525,6.896,53.705,5.55,18.772,1.94,1.442,0.149,,,,,,,0.115,1.747,0.116,,0.057,1.013,0.057,,,1.546,,,,,2.078,,,1.403,0,0,0.001,0,66.737,5.083,,
