country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Bulgaria,1850,BGR,2495877,,,,,,,,,,,,,,,,,,,,,,,,,,,4.223,,,,,,,,,0.613,2.734,4.223,1.692,4.033,1.616,0.273,0.11,,,,,,,,,,,,,,,,0.16,,,,,0.16,,,,,,,,6.823,1.53,,
Bulgaria,1851,BGR,2502383,,,,,,,,,,,,,,,,,,,,,,,,,,,8.054,,,,,,,,,0.613,2.621,3.831,1.531,4.041,1.615,0.278,0.111,,,,,,,,,,,,,,,,0.148,,,,,0.136,,,0.126,0,0,0,0,6.559,1.534,,
Bulgaria,1852,BGR,2507523,,,,,,,,,,,,,,,,,,,,,,,,,,,11.625,,,,,,,,,0.613,2.54,3.571,1.424,4.048,1.614,0.282,0.113,,,,,,,,,,,,,,,,0.14,,,,,0.125,,,0.123,0,0,0,0,6.37,1.538,,
Bulgaria,1853,BGR,2511290,,,,,,,,,,,,,,,,,,,,,,,,,,,14.993,,,,,,,,,0.614,2.488,3.367,1.341,4.055,1.615,0.287,0.114,,,,,,,,,,,,,,,,0.134,,,,,0.116,,,0.12,0,0,0,0,6.248,1.542,,
Bulgaria,1854,BGR,2515062,,,,,,,,,,,,,,,,,,,,,,,,,,,18.163,,,,,,,,,0.615,2.433,3.17,1.261,4.062,1.615,0.291,0.116,,,,,,,,,,,,,,,,0.128,,,,,0.109,,,0.116,0,0,0,0,6.12,1.546,,
Bulgaria,1855,BGR,2518839,,,,,,,,,,,,,,,,,,,,,,,,,,,21.162,,,,,,,,,0.616,2.385,2.998,1.19,4.069,1.616,0.295,0.117,,,,,,,,,,,,,,,,0.124,,,,,0.104,,,0.114,0,0,0,0,6.007,1.55,,
Bulgaria,1856,BGR,2522622,,,,,,,,,,,,,,,,,,,,,,,,,,,24.01,,,,,,,,,0.616,2.342,2.848,1.129,4.076,1.616,0.298,0.118,,,,,,,,,,,,,,,,0.12,,,,,0.096,,,0.111,0,0,0,0,5.909,1.554,,
Bulgaria,1857,BGR,2526411,,,,,,,,,,,,,,,,,,,,,,,,,,,26.745,,,,,,,,,0.617,2.312,2.735,1.083,4.084,1.616,0.301,0.119,,,,,,,,,,,,,,,,0.117,,,,,0.093,,,0.109,0,0,0,0,5.84,1.558,,
Bulgaria,1858,BGR,2530206,,,,,,,,,,,,,,,,,,,,,,,,,,,29.356,,,,,,,,,0.617,2.275,2.611,1.032,4.091,1.617,0.304,0.12,,,,,,,,,,,,,,,,0.113,,,,,0.088,,,0.107,0,0,0,0,5.755,1.562,,
Bulgaria,1859,BGR,2534005,,,,,,,,,,,,,,,,,,,,,,,,,,,31.852,,,,,,,,,0.618,2.239,2.496,0.985,4.098,1.617,0.306,0.121,,,,,,,,,,,,,,,,0.11,,,,,0.082,,,0.105,0,0,0,0,5.674,1.566,,
Bulgaria,1860,BGR,2537811,,,,,,,,,,,,,,,,,,,,,,,,,,,34.246,,,,,,,,,0.619,2.209,2.394,0.943,4.105,1.618,0.308,0.121,,,,,,,,,,,,,,,,0.108,,,,,0.086,,,0.103,0,0,0,0,5.606,1.57,,
Bulgaria,1861,BGR,2541622,,,,,,,,,,,,,,,,,,,,,,,,,,,36.55,,,,,,,,,0.619,2.181,2.304,0.906,4.113,1.618,0.31,0.122,,,,,,,,,,,,,,,,0.106,,,,,0.083,,,0.101,0,0,0,0,5.543,1.574,,
