country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Burundi,1850,BDI,1402560,,,,,,,,,,,,,,,,,,,,,,,,,,,1.345,,,,,,,,,0.126,1.162,1.345,0.959,0.39,0.278,0.038,0.027,,,,,,,,,,,,,,,,0.051,,,,,0.051,,,,,,,,1.63,0.177,,
Burundi,1851,BDI,1414254,,,,,,,,,,,,,,,,,,,,,,,,,,,2.687,,,,,,,,,0.126,1.154,1.342,0.949,0.391,0.277,0.039,0.028,,,,,,,,,,,,,,,,0.049,,,,,0.048,,,0.033,0,0,0,0,1.632,0.178,,
Burundi,1852,BDI,1423509,,,,,,,,,,,,,,,,,,,,,,,,,,,4.031,,,,,,,,,0.126,1.148,1.343,0.944,0.392,0.275,0.04,0.028,,,,,,,,,,,,,,,,0.048,,,,,0.047,,,0.033,0,0,0,0,1.634,0.179,,
Burundi,1853,BDI,1430281,,,,,,,,,,,,,,,,,,,,,,,,,,,5.373,,,,,,,,,0.126,1.143,1.342,0.938,0.393,0.275,0.04,0.028,,,,,,,,,,,,,,,,0.048,,,,,0.046,,,0.033,0,0,0,0,1.634,0.18,,
Burundi,1854,BDI,1437083,,,,,,,,,,,,,,,,,,,,,,,,,,,6.715,,,,,,,,,0.126,1.137,1.342,0.934,0.394,0.274,0.041,0.029,,,,,,,,,,,,,,,,0.047,,,,,0.046,,,0.033,0,0,0,0,1.635,0.181,,
Burundi,1855,BDI,1443915,,,,,,,,,,,,,,,,,,,,,,,,,,,8.063,,,,,,,,,0.126,1.134,1.348,0.934,0.395,0.273,0.042,0.029,,,,,,,,,,,,,,,,0.047,,,,,0.047,,,0.033,0,0,0,0,1.637,0.181,,
Burundi,1856,BDI,1450777,,,,,,,,,,,,,,,,,,,,,,,,,,,9.407,,,,,,,,,0.126,1.129,1.344,0.927,0.396,0.273,0.042,0.029,,,,,,,,,,,,,,,,0.047,,,,,0.045,,,0.032,0,0,0,0,1.637,0.182,,
Burundi,1857,BDI,1457669,,,,,,,,,,,,,,,,,,,,,,,,,,,10.751,,,,,,,,,0.126,1.124,1.343,0.922,0.396,0.272,0.043,0.029,,,,,,,,,,,,,,,,0.047,,,,,0.046,,,0.032,0,0,0,0,1.638,0.183,,
Burundi,1858,BDI,1464592,,,,,,,,,,,,,,,,,,,,,,,,,,,12.093,,,,,,,,,0.126,1.119,1.343,0.917,0.397,0.271,0.043,0.029,,,,,,,,,,,,,,,,0.047,,,,,0.045,,,0.032,0,0,0,0,1.638,0.184,,
Burundi,1859,BDI,1471546,,,,,,,,,,,,,,,,,,,,,,,,,,,13.436,,,,,,,,,0.126,1.114,1.343,0.912,0.398,0.271,0.043,0.029,,,,,,,,,,,,,,,,0.046,,,,,0.044,,,0.032,0,0,0,0,1.639,0.185,,
