country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Cameroon,1850,CMR,2753631,,,,,,,,,,,,,,,,,,,,,,,,,,,2.239,,,,,,,,,0.118,1.086,2.239,0.813,1.079,0.392,0.138,0.05,,,,,,,,,,,,,,,,0.085,,,,,0.085,,,,,,,,2.992,0.324,,
Cameroon,1851,CMR,2774499,,,,,,,,,,,,,,,,,,,,,,,,,,,9.139,,,,,,,,,0.117,2.835,6.9,2.487,1.08,0.389,0.141,0.051,,,,,,,,,,,,,,,,0.167,,,,,0.245,,,0.172,0,0,0,0,7.866,0.325,,
Cameroon,1852,CMR,2790807,,,,,,,,,,,,,,,,,,,,,,,,,,,8.148,,,,,,,,,0.117,-0.021,-0.992,-0.355,1.081,0.387,0.144,0.051,,,,,,,,,,,,,,,,0.098,,,,,-0.035,,,0.077,0,0,0,0,-0.059,0.325,,
Cameroon,1853,CMR,2802478,,,,,,,,,,,,,,,,,,,,,,,,,,,9.595,,,,,,,,,0.116,0.863,1.447,0.516,1.082,0.386,0.146,0.052,,,,,,,,,,,,,,,,0.086,,,,,0.05,,,0.064,0,0,0,0,2.418,0.326,,
Cameroon,1854,CMR,2814197,,,,,,,,,,,,,,,,,,,,,,,,,,,10.944,,,,,,,,,0.116,0.825,1.349,0.479,1.083,0.385,0.148,0.053,,,,,,,,,,,,,,,,0.077,,,,,0.046,,,0.057,0,0,0,0,2.322,0.327,,
Cameroon,1855,CMR,2825965,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79,,,,,,,,,0.116,-1.501,-5.154,-1.824,1.084,0.383,0.15,0.053,,,,,,,,,,,,,,,,0.034,,,,,-0.179,,,0.023,0,0,0,0,-4.242,0.328,,
Cameroon,1856,CMR,2837780,,,,,,,,,,,,,,,,,,,,,,,,,,,5.456,,,,,,,,,0.116,0.218,-0.333,-0.117,1.084,0.382,0.152,0.054,,,,,,,,,,,,,,,,0.027,,,,,-0.011,,,0.018,0,0,0,0,0.62,0.328,,
Cameroon,1857,CMR,2849645,,,,,,,,,,,,,,,,,,,,,,,,,,,9.448,,,,,,,,,0.115,1.751,3.992,1.401,1.085,0.381,0.154,0.054,,,,,,,,,,,,,,,,0.041,,,,,0.135,,,0.03,0,0,0,0,4.99,0.329,,
Cameroon,1858,CMR,2861558,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,0.115,1.011,1.952,0.682,1.086,0.38,0.155,0.054,,,,,,,,,,,,,,,,0.044,,,,,0.066,,,0.032,0,0,0,0,2.892,0.329,,
Cameroon,1859,CMR,2873719,,,,,,,,,,,,,,,,,,,,,,,,,,,25.286,,,,,,,,,0.115,5.158,13.886,4.832,1.087,0.378,0.157,0.054,,,,,,,,,,,,,,,,0.087,,,,,0.457,,,0.065,0,0,0,0,14.824,0.33,,
Cameroon,1860,CMR,2886130,,,,,,,,,,,,,,,,,,,,,,,,,,,31.784,,,,,,,,,0.115,2.594,6.498,2.251,1.088,0.377,0.157,0.054,,,,,,,,,,,,,,,,0.1,,,,,0.234,,,0.074,0,0,0,0,7.485,0.331,,
Cameroon,1861,CMR,2898794,,,,,,,,,,,,,,,,,,,,,,,,,,,31.165,,,,,,,,,0.114,0.088,-0.619,-0.213,1.09,0.376,0.158,0.054,,,,,,,,,,,,,,,,0.09,,,,,-0.022,,,0.066,0,0,0,0,0.254,0.331,,
Cameroon,1862,CMR,2911711,,,,,,,,,,,,,,,,,,,,,,,,,,,26.768,,,,,,,,,0.114,-1.291,-4.397,-1.51,1.092,0.375,0.158,0.054,,,,,,,,,,,,,,,,0.072,,,,,-0.16,,,0.052,0,0,0,0,-3.758,0.332,,
Cameroon,1863,CMR,2924883,,,,,,,,,,,,,,,,,,,,,,,,,,,33.549,,,,,,,,,0.133,2.618,6.781,2.318,1.152,0.394,0.159,0.054,,,,,,,,,,,,,,,,0.084,,,,,0.25,,,0.061,0,0,0,0,7.657,0.39,,
Cameroon,1864,CMR,2938114,,,,,,,,,,,,,,,,,,,,,,,,,,,36.227,,,,,,,,,0.133,1.187,2.678,0.911,1.154,0.393,0.159,0.054,,,,,,,,,,,,,,,,0.085,,,,,0.102,,,0.062,0,0,0,0,3.489,0.391,,
Cameroon,1865,CMR,2951404,,,,,,,,,,,,,,,,,,,,,,,,,,,41.241,,,,,,,,,0.133,2.004,5.014,1.699,1.156,0.392,0.159,0.054,,,,,,,,,,,,,,,,0.091,,,,,0.195,,,0.066,0,0,0,0,5.915,0.392,,
Cameroon,1866,CMR,2964754,,,,,,,,,,,,,,,,,,,,,,,,,,,45.754,,,,,,,,,0.133,1.803,4.513,1.522,1.159,0.391,0.16,0.054,,,,,,,,,,,,,,,,0.096,,,,,0.173,,,0.069,0,0,0,0,5.347,0.393,,
Cameroon,1867,CMR,2978163,,,,,,,,,,,,,,,,,,,,,,,,,,,44.858,,,,,,,,,0.132,-0.001,-0.896,-0.301,1.161,0.39,0.16,0.054,,,,,,,,,,,,,,,,0.089,,,,,-0.035,,,0.064,0,0,0,0,-0.004,0.394,,
Cameroon,1868,CMR,2991631,,,,,,,,,,,,,,,,,,,,,,,,,,,37.577,,,,,,,,,0.132,-2.205,-7.28,-2.434,1.163,0.389,0.16,0.054,,,,,,,,,,,,,,,,0.071,,,,,-0.287,,,0.052,0,0,0,0,-6.598,0.395,,
Cameroon,1869,CMR,3005776,,,,,,,,,,,,,,,,,,,,,,,,,,,45.351,,,,,,,,,0.132,2.765,7.774,2.586,1.166,0.388,0.161,0.054,,,,,,,,,,,,,,,,0.082,,,,,0.301,,,0.058,0,0,0,0,8.312,0.396,,
Cameroon,1870,CMR,3020602,,,,,,,,,,,,,,,,,,,,,,,,,,,46.85,,,,,,,,,0.132,0.695,1.499,0.496,1.168,0.387,0.161,0.053,,,,,,,,,,,,,,,,0.08,,,,,0.053,,,0.057,0,0,0,0,2.1,0.397,,
Cameroon,1871,CMR,3036117,,,,,,,,,,,,,,,,,,,,,,,,,,,51.813,,,,,,,,,0.132,1.905,4.962,1.634,1.172,0.386,0.164,0.054,,,,,,,,,,,,,,,,0.085,,,,,0.174,,,0.06,0,0,0,0,5.783,0.399,,
Cameroon,1872,CMR,3052325,,,,,,,,,,,,,,,,,,,,,,,,,,,58.088,,,,,,,,,0.132,2.319,6.275,2.056,1.175,0.385,0.17,0.056,,,,,,,,,,,,,,,,0.091,,,,,0.206,,,0.064,0,0,0,0,7.078,0.402,,
Cameroon,1873,CMR,3069234,,,,,,,,,,,,,,,,,,,,,,,,,,,63.237,,,,,,,,,0.132,1.873,5.148,1.677,1.178,0.384,0.178,0.058,,,,,,,,,,,,,,,,0.094,,,,,0.173,,,0.066,0,0,0,0,5.748,0.405,,
Cameroon,1874,CMR,3086236,,,,,,,,,,,,,,,,,,,,,,,,,,,65.133,,,,,,,,,0.132,0.821,1.896,0.614,1.182,0.383,0.188,0.061,,,,,,,,,,,,,,,,0.093,,,,,0.06,,,0.065,0,0,0,0,2.534,0.407,,
Cameroon,1875,CMR,3103332,,,,,,,,,,,,,,,,,,,,,,,,,,,61.782,,,,,,,,,0.132,-0.849,-3.351,-1.08,1.185,0.382,0.199,0.064,,,,,,,,,,,,,,,,0.084,,,,,-0.103,,,0.059,0,0,0,0,-2.634,0.41,,
Cameroon,1876,CMR,3120521,,,,,,,,,,,,,,,,,,,,,,,,,,,65.532,,,,,,,,,0.132,1.461,3.75,1.202,1.189,0.381,0.21,0.067,,,,,,,,,,,,,,,,0.085,,,,,0.114,,,0.06,0,0,0,0,4.56,0.413,,
