country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Chad,1850,TCD,1783856,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48,,,,,,,,,0.106,3.72,8.48,4.754,1.901,1.066,0.268,0.15,,,,,,,,,,,,,,,,0.321,,,,,0.321,,,,,,,,6.635,0.188,,
Chad,1851,TCD,1788929,,,,,,,,,,,,,,,,,,,,,,,,,,,21.951,,,,,,,,,0.105,5.309,13.471,7.53,1.903,1.064,0.273,0.153,,,,,,,,,,,,,,,,0.402,,,,,0.478,,,0.199,0,0,0,0,9.498,0.189,,
Chad,1852,TCD,1792788,,,,,,,,,,,,,,,,,,,,,,,,,,,38.755,,,,,,,,,0.105,6.38,16.803,9.373,1.905,1.062,0.279,0.156,,,,,,,,,,,,,,,,0.466,,,,,0.588,,,0.221,0,0,0,0,11.438,0.189,,
Chad,1853,TCD,1795425,,,,,,,,,,,,,,,,,,,,,,,,,,,57.957,,,,,,,,,0.105,7.051,19.203,10.695,1.906,1.062,0.284,0.158,,,,,,,,,,,,,,,,0.516,,,,,0.661,,,0.237,0,0,0,0,12.66,0.189,,
Chad,1854,TCD,1798066,,,,,,,,,,,,,,,,,,,,,,,,,,,79.027,,,,,,,,,0.105,7.61,21.07,11.718,1.908,1.061,0.289,0.161,,,,,,,,,,,,,,,,0.559,,,,,0.723,,,0.249,0,0,0,0,13.683,0.19,,
Chad,1855,TCD,1800710,,,,,,,,,,,,,,,,,,,,,,,,,,,101.584,,,,,,,,,0.106,8.082,22.556,12.526,1.909,1.06,0.293,0.163,,,,,,,,,,,,,,,,0.597,,,,,0.784,,,0.261,0,0,0,0,14.553,0.19,,
Chad,1856,TCD,1803358,,,,,,,,,,,,,,,,,,,,,,,,,,,125.35,,,,,,,,,0.106,8.485,23.766,13.179,1.911,1.06,0.297,0.165,,,,,,,,,,,,,,,,0.627,,,,,0.801,,,0.271,0,0,0,0,15.302,0.19,,
Chad,1857,TCD,1806009,,,,,,,,,,,,,,,,,,,,,,,,,,,150.098,,,,,,,,,0.106,8.832,24.748,13.703,1.913,1.059,0.3,0.166,,,,,,,,,,,,,,,,0.654,,,,,0.839,,,0.281,0,0,0,0,15.951,0.191,,
Chad,1858,TCD,1808664,,,,,,,,,,,,,,,,,,,,,,,,,,,175.728,,,,,,,,,0.106,9.138,25.63,14.171,1.914,1.058,0.303,0.168,,,,,,,,,,,,,,,,0.678,,,,,0.862,,,0.289,0,0,0,0,16.528,0.191,,
Chad,1859,TCD,1811322,,,,,,,,,,,,,,,,,,,,,,,,,,,202.036,,,,,,,,,0.106,9.398,26.308,14.524,1.916,1.058,0.305,0.168,,,,,,,,,,,,,,,,0.698,,,,,0.866,,,0.296,0,0,0,0,17.023,0.191,,
Chad,1860,TCD,1813984,,,,,,,,,,,,,,,,,,,,,,,,,,,220.601,,,,,,,,,0.106,7.205,18.565,10.234,1.917,1.057,0.306,0.169,,,,,,,,,,,,,,,,0.695,,,,,0.668,,,0.294,0,0,0,0,13.07,0.192,,
Chad,1861,TCD,1816649,,,,,,,,,,,,,,,,,,,,,,,,,,,234.86,,,,,,,,,0.106,5.902,14.259,7.849,1.921,1.058,0.307,0.169,,,,,,,,,,,,,,,,0.681,,,,,0.515,,,0.287,0,0,0,0,10.722,0.192,,
Chad,1862,TCD,1819318,,,,,,,,,,,,,,,,,,,,,,,,,,,246.348,,,,,,,,,0.106,5.064,11.488,6.315,1.925,1.058,0.307,0.169,,,,,,,,,,,,,,,,0.662,,,,,0.419,,,0.279,0,0,0,0,9.214,0.192,,
Chad,1863,TCD,1821990,,,,,,,,,,,,,,,,,,,,,,,,,,,255.921,,,,,,,,,0.106,4.589,9.572,5.254,1.929,1.059,0.308,0.169,,,,,,,,,,,,,,,,0.641,,,,,0.354,,,0.27,0,0,0,0,8.362,0.193,,
Chad,1864,TCD,1824666,,,,,,,,,,,,,,,,,,,,,,,,,,,264.073,,,,,,,,,0.106,4.206,8.152,4.468,1.933,1.06,0.308,0.169,,,,,,,,,,,,,,,,0.62,,,,,0.311,,,0.262,0,0,0,0,7.675,0.194,,
Chad,1865,TCD,1827345,,,,,,,,,,,,,,,,,,,,,,,,,,,271.114,,,,,,,,,0.106,3.873,7.041,3.853,1.937,1.06,0.308,0.169,,,,,,,,,,,,,,,,0.601,,,,,0.274,,,0.254,0,0,0,0,7.078,0.194,,
Chad,1866,TCD,1830028,,,,,,,,,,,,,,,,,,,,,,,,,,,277.259,,,,,,,,,0.106,3.592,6.145,3.358,1.941,1.061,0.309,0.169,,,,,,,,,,,,,,,,0.581,,,,,0.236,,,0.246,0,0,0,0,6.573,0.195,,
Chad,1867,TCD,1832714,,,,,,,,,,,,,,,,,,,,,,,,,,,282.668,,,,,,,,,0.106,3.351,5.409,2.951,1.945,1.061,0.309,0.169,,,,,,,,,,,,,,,,0.562,,,,,0.21,,,0.238,0,0,0,0,6.141,0.195,,
Chad,1868,TCD,1835404,,,,,,,,,,,,,,,,,,,,,,,,,,,287.44,,,,,,,,,0.107,3.142,4.772,2.6,1.949,1.062,0.309,0.169,,,,,,,,,,,,,,,,0.544,,,,,0.188,,,0.231,0,0,0,0,5.767,0.196,,
Chad,1869,TCD,1838466,,,,,,,,,,,,,,,,,,,,,,,,,,,291.668,,,,,,,,,0.107,2.959,4.228,2.3,1.953,1.062,0.31,0.169,,,,,,,,,,,,,,,,0.526,,,,,0.164,,,0.224,0,0,0,0,5.44,0.196,,
Chad,1870,TCD,1841900,,,,,,,,,,,,,,,,,,,,,,,,,,,295.475,,,,,,,,,0.107,2.82,3.807,2.067,1.957,1.062,0.311,0.169,,,,,,,,,,,,,,,,0.507,,,,,0.134,,,0.216,0,0,0,0,5.195,0.197,,
Chad,1871,TCD,1845709,,,,,,,,,,,,,,,,,,,,,,,,,,,298.886,,,,,,,,,0.107,2.697,3.411,1.848,1.961,1.062,0.316,0.171,,,,,,,,,,,,,,,,0.489,,,,,0.119,,,0.209,0,0,0,0,4.978,0.197,,
