country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Chile,1844,CHL,1267965,1419707008,,,0.024,,,,,,,,,0.019,0.017,,0.024,0.019,,,,,0.024,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,0.017,,0.001,,0.001,,,,,,,,,,,,,,,,,,,
Chile,1845,CHL,1290653,1475313024,,,0.036,0.012,49.129,,,,,,,0.028,0.024,,0.036,0.028,,,,,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,0.023,,0.002,,0.002,,,,,,,,,,,,,,,,,,,
Chile,1846,CHL,1313747,1539719936,,,0.046,0.01,26.674,,,,,,,0.035,0.03,,0.046,0.035,,,,,0.106,,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,0.029,,0.003,,0.003,,,,,,,,,,,,,,,,,,,
Chile,1847,CHL,1337254,1584036992,,,0.056,0.01,22.306,,,,,,,0.042,0.035,,0.056,0.042,,,,,0.162,,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,0.033,,0.004,,0.004,,,,,,,,,,,,,,,,,,,
Chile,1848,CHL,1361181,1672401024,,,0.064,0.008,13.874,,,,,,,0.047,0.038,,0.064,0.047,,,,,0.225,,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,0.037,,0.005,,0.005,,,,,,,,,,,,,,,,,,,
Chile,1849,CHL,1385146,1799027968,,,0.116,0.052,82.461,,,,,,,0.084,0.064,,0.116,0.084,,,,,0.341,,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,,0.063,,0.007,,0.007,,,,,,,,,,,,,,,,,,,
Chile,1850,CHL,1409141,1906320000,,,0.094,-0.022,-18.881,10.306,,,7.314,5.406,,0.067,0.049,,0.094,0.067,,,,,0.435,10.306,0.435,,,10.212,,,,,,,,,0.48,6.12,10.212,7.247,1.329,0.943,0.138,0.098,,,,,,,0.048,0.363,0.048,,0.009,0.363,0.009,,,0.387,,,,,0.387,,,,,,,,8.624,0.676,,
Chile,1851,CHL,1434977,1996128000,,,0.11,0.016,17.341,9.692,-0.614,-5.961,6.754,4.855,,0.077,0.055,,0.11,0.077,,,,,0.546,19.998,0.546,,,19.793,,,,,,,,,0.482,5.526,9.581,6.677,1.348,0.939,0.14,0.098,,,,,,,0.056,0.321,0.056,,0.011,0.342,0.011,,,0.363,,,,,0.34,,,0.204,0,0,0,0,7.929,0.691,,
Chile,1852,CHL,1460892,2047032064,,,0.181,0.07,63.765,10.056,0.364,3.754,6.883,4.912,,0.124,0.088,,0.181,0.124,,,,,0.727,30.053,0.727,,,29.668,,,,,,,,,0.53,5.64,9.875,6.759,1.382,0.946,0.143,0.098,,,,,,,0.087,0.328,0.087,,0.014,0.337,0.014,,,0.357,,,,,0.346,,,0.207,0,0,0,0,8.239,0.775,,
Chile,1853,CHL,1486881,2021447936,,,0.117,-0.064,-35.575,10.224,0.169,1.677,6.876,5.058,,0.078,0.058,,0.117,0.078,,,,,0.843,40.277,0.843,,,39.775,,,,,,,,,0.487,5.617,10.108,6.798,1.415,0.952,0.145,0.097,,,,,,,0.054,0.327,0.054,,0.016,0.334,0.016,,,0.354,,,,,0.348,,,0.209,0,0,0,0,8.351,0.724,,
