country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
China,1850,CHN,409821554,353496006656,,,,,,,,,,,,,,,,,,,,,,,,,,245.248,,,,,,,,,0.249,1.055,245.248,0.598,253.096,0.618,5.828,0.014,,,,,,,,,,,,,,,,9.295,,,,,9.295,,,,,,,,432.472,101.962,,
China,1851,CHN,407570489,,,,,,,,,,,,,,,,,,,,,,,,,,,487.39,,,,,,,,,0.248,1.054,242.141,0.594,250.934,0.616,5.919,0.015,,,,,,,,,,,,,,,,8.929,,,,,8.587,,,5.916,0,0,0,0,429.579,101.153,,
China,1852,CHN,404611476,,,,,,,,,,,,,,,,,,,,,,,,,,,716.573,,,,,,,,,0.248,1.029,229.183,0.566,248.776,0.615,6.008,0.015,,,,,,,,,,,,,,,,8.617,,,,,8.02,,,5.631,0,0,0,0,416.414,100.347,,
China,1853,CHN,400951224,,,,,,,,,,,,,,,,,,,,,,,,,,,957.868,,,,,,,,,0.248,1.07,241.295,0.602,246.622,0.615,6.095,0.015,,,,,,,,,,,,,,,,8.536,,,,,8.304,,,5.546,0,0,0,0,428.825,99.544,,
China,1854,CHN,397324067,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.035,,,,,,,,,0.249,1.023,218.167,0.549,244.471,0.615,6.178,0.016,,,,,,,,,,,,,,,,8.319,,,,,7.485,,,5.302,0,0,0,0,406.323,98.744,,
China,1855,CHN,393729705,,,,,,,,,,,,,,,,,,,,,,,,,,,1392.177,,,,,,,,,0.249,1.028,216.141,0.549,242.324,0.615,6.257,0.016,,,,,,,,,,,,,,,,8.182,,,,,7.509,,,5.121,0,0,0,0,404.874,97.947,,
China,1856,CHN,390167842,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.895,,,,,,,,,0.249,1.018,207.718,0.532,240.181,0.616,6.329,0.016,,,,,,,,,,,,,,,,8.006,,,,,6.996,,,4.92,0,0,0.001,0,397.158,97.152,,
China,1857,CHN,386638184,,,,,,,,,,,,,,,,,,,,,,,,,,,1797.699,,,,,,,,,0.249,1.004,197.804,0.512,238.041,0.616,6.396,0.017,,,,,,,,,,,,,,,,7.838,,,,,6.703,,,4.724,0,0.001,0.001,0,388.003,96.36,,
China,1858,CHN,383140440,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.196,,,,,,,,,0.249,1.025,201.498,0.526,235.905,0.616,6.454,0.017,,,,,,,,,,,,,,,,7.716,,,,,6.773,,,4.566,0,0.001,0.001,0,392.793,95.569,,
China,1859,CHN,379951320,,,,,,,,,,,,,,,,,,,,,,,,,,,2190.444,,,,,,,,,0.249,1.009,191.248,0.503,233.772,0.615,6.504,0.017,,,,,,,,,,,,,,,,7.567,,,,,6.294,,,4.39,0,0.001,0.001,0,383.512,94.78,,
China,1860,CHN,377066487,,,,,,,,,,,,,,,,,,,,,,,,,,,2356.823,,,,,,,,,0.249,0.979,166.379,0.441,231.642,0.614,6.545,0.017,,,,,,,,,,,,,,,,7.428,,,,,5.983,,,4.22,0,0.001,0.001,0,369.012,93.993,,
China,1861,CHN,374481652,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.803,,,,,,,,,0.25,0.918,133.98,0.358,230.474,0.615,6.579,0.018,,,,,,,,,,,,,,,,7.22,,,,,4.841,,,4.018,0,0.001,0.001,0,343.868,93.565,,
China,1862,CHN,372192573,,,,,,,,,,,,,,,,,,,,,,,,,,,2604.002,,,,,,,,,0.25,0.885,113.199,0.304,229.307,0.616,6.612,0.018,,,,,,,,,,,,,,,,6.993,,,,,4.131,,,3.815,0,0.001,0.001,0,329.493,93.138,,
China,1863,CHN,370195055,,,,,,,,,,,,,,,,,,,,,,,,,,,2707.273,,,,,,,,,0.25,0.879,103.272,0.279,228.141,0.616,6.643,0.018,,,,,,,,,,,,,,,,6.778,,,,,3.815,,,3.627,0,0.001,0.001,0,325.577,92.712,,
China,1864,CHN,368208241,,,,,,,,,,,,,,,,,,,,,,,,,,,2783.163,,,,,,,,,0.251,0.826,75.89,0.206,226.976,0.616,6.674,0.018,,,,,,,,,,,,,,,,6.539,,,,,2.898,,,3.425,0,0.001,0.001,0,304.008,92.287,,
China,1865,CHN,366232074,,,,,,,,,,,,,,,,,,,,,,,,,,,2835.796,,,,,,,,,0.251,0.781,52.633,0.144,225.812,0.617,6.705,0.018,,,,,,,,,,,,,,,,6.283,,,,,2.047,,,3.216,0,0.001,0.001,0,286.172,91.863,,
China,1866,CHN,364266496,,,,,,,,,,,,,,,,,,,,,,,,,,,2874.787,,,,,,,,,0.251,0.762,38.991,0.107,224.65,0.617,6.735,0.018,,,,,,,,,,,,,,,,6.021,,,,,1.495,,,3.011,0,0.001,0.001,0,277.712,91.44,,
China,1867,CHN,362311453,,,,,,,,,,,,,,,,,,,,,,,,,,,2894.313,,,,,,,,,0.251,0.727,19.527,0.054,223.489,0.617,6.766,0.019,,,,,,,,,,,,,,,,5.753,,,,,0.76,,,2.804,0,0.001,0.001,0,263.235,91.019,,
China,1868,CHN,360366885,,,,,,,,,,,,,,,,,,,,,,,,,,,2896.815,,,,,,,,,0.251,0.697,2.501,0.007,222.328,0.617,6.798,0.019,,,,,,,,,,,,,,,,5.481,,,,,0.099,,,2.6,0,0.001,0.001,0,251.131,90.598,,
China,1869,CHN,358997315,,,,,,,,,,,,,,,,,,,,,,,,,,,2882.66,,,,,,,,,0.251,0.668,-14.154,-0.039,221.169,0.616,6.831,0.019,,,,,,,,,,,,,,,,5.2,,,,,-0.548,,,2.395,0,0.001,0.001,0,239.743,90.179,,
China,1870,CHN,358200976,338310004736,,,,,,,,,,,,,,,,,,,,,,,,,,2867.247,,,,,,,,,0.251,0.656,-15.414,-0.043,220.011,0.614,6.866,0.019,,,,,,,,,,,,,,,,4.921,,,,,-0.544,,,2.194,0,0.001,0.001,0,234.898,89.762,,
China,1871,CHN,357976114,,,,,,,,,,,,,,,,,,,,,,,,,,,2862.266,,,,,,,,,0.252,0.688,-4.981,-0.014,220.627,0.616,6.952,0.019,,,,,,,,,,,,,,,,4.683,,,,,-0.174,,,2.036,0,0.001,0.001,0,246.364,90.041,,
China,1872,CHN,358320988,,,,,,,,,,,,,,,,,,,,,,,,,,,2848.192,,,,,,,,,0.252,0.667,-14.074,-0.039,221.243,0.617,7.127,0.02,,,,,,,,,,,,,,,,4.438,,,,,-0.461,,,1.892,0,0.001,0.001,0,239.129,90.339,,
China,1873,CHN,359233870,,,,,,,,,,,,,,,,,,,,,,,,,,,2822.2,,,,,,,,,0.252,0.64,-25.992,-0.072,221.859,0.618,7.369,0.021,,,,,,,,,,,,,,,,4.202,,,,,-0.872,,,1.763,0,0.001,0.001,0,229.819,90.651,,
China,1874,CHN,360149061,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.894,,,,,,,,,0.253,0.661,-21.306,-0.059,222.476,0.618,7.659,0.021,,,,,,,,,,,,,,,,3.982,,,,,-0.67,,,1.663,0,0.001,0.001,0,238.011,90.973,,
China,1875,CHN,361066568,,,,,,,,,,,,,,,,,,,,,,,,,,,2770.307,,,,,,,,,0.253,0.649,-30.587,-0.085,223.093,0.618,7.975,0.022,,,,,,,,,,,,,,,,3.764,,,,,-0.938,,,1.577,0,0.001,0.001,0,234.473,91.301,,
China,1876,CHN,361986396,,,,,,,,,,,,,,,,,,,,,,,,,,,2742.185,,,,,,,,,0.253,0.671,-28.122,-0.078,223.711,0.618,8.298,0.023,,,,,,,,,,,,,,,,3.567,,,,,-0.856,,,1.514,0,0.001,0.001,0,242.912,91.631,,
China,1877,CHN,362908552,,,,,,,,,,,,,,,,,,,,,,,,,,,2712.751,,,,,,,,,0.253,0.68,-29.434,-0.081,224.328,0.618,8.607,0.024,,,,,,,,,,,,,,,,3.388,,,,,-0.925,,,1.47,0,0.001,0.001,0,246.692,91.958,,
China,1878,CHN,363833040,,,,,,,,,,,,,,,,,,,,,,,,,,,2684.099,,,,,,,,,0.254,0.69,-28.652,-0.079,224.947,0.618,8.881,0.024,,,,,,,,,,,,,,,,3.221,,,,,-0.874,,,1.441,0,0.001,0.001,0,250.875,92.279,,
China,1879,CHN,364793166,,,,,,,,,,,,,,,,,,,,,,,,,,,2648.87,,,,,,,,,0.254,0.674,-35.229,-0.097,225.565,0.618,9.101,0.025,,,,,,,,,,,,,,,,3.058,,,,,-1.077,,,1.417,0,0.001,0.001,0,245.831,92.588,,
China,1880,CHN,365789113,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.012,,,,,,,,,0.254,0.728,-8.858,-0.024,226.18,0.618,9.246,0.025,,,,,,,,,,,,,,,,2.934,,,,,-0.262,,,1.415,0,0.001,0.001,0,266.221,92.879,,
China,1881,CHN,366821065,,,,,,,,,,,,,,,,,,,,,,,,,,,2647.775,,,,,,,,,0.254,0.773,7.762,0.021,226.915,0.619,9.34,0.025,,,,,,,,,,,,,,,,2.836,,,,,0.23,,,1.43,0,0.001,0.001,0,283.648,93.204,,
