country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Colombia,1850,COL,2090483,1618960000,,,,,,,,,,,,,,,,,,,,,,,,,,43.084,,,,,,,,,0.269,17.416,43.084,20.61,3.783,1.809,0.21,0.101,,,,,,,,,,,,,,,,1.633,,,,,1.633,,,,,,,,36.408,0.562,,
Colombia,1851,COL,2130539,,,,,,,,,,,,,,,,,,,,,,,,,,,84.821,,,,,,,,,0.266,16.882,41.737,19.59,3.812,1.789,0.214,0.1,,,,,,,,,,,,,,,,1.554,,,,,1.48,,,0.914,0,0,0,0,35.968,0.567,,
Colombia,1852,COL,2179939,,,,,,,,,,,,,,,,,,,,,,,,,,,116.324,,,,,,,,,0.263,12.586,31.503,14.451,3.842,1.763,0.218,0.1,,,,,,,,,,,,,,,,1.399,,,,,1.102,,,0.805,0,0,0,0,27.437,0.572,,
Colombia,1853,COL,2238994,,,,,,,,,,,,,,,,,,,,,,,,,,,151.779,,,,,,,,,0.258,14.406,35.454,15.835,3.872,1.729,0.221,0.099,,,,,,,,,,,,,,,,1.353,,,,,1.22,,,0.803,0,0,0,0,32.255,0.577,,
Colombia,1854,COL,2299649,,,,,,,,,,,,,,,,,,,,,,,,,,,182.637,,,,,,,,,0.253,12.579,30.858,13.419,3.902,1.697,0.224,0.098,,,,,,,,,,,,,,,,1.292,,,,,1.059,,,0.778,0,0,0,0,28.928,0.582,,
Colombia,1855,COL,2361947,,,,,,,,,,,,,,,,,,,,,,,,,,,214.048,,,,,,,,,0.249,12.775,31.411,13.299,3.932,1.665,0.227,0.096,,,,,,,,,,,,,,,,1.258,,,,,1.091,,,0.77,0,0,0,0,30.173,0.587,,
Colombia,1856,COL,2425933,,,,0.01,,,29.867,,,12.312,,,0.004,,,0.01,0.004,,,,,0.01,29.867,0.01,,,243.906,,,,,,,,,0.248,12.132,29.858,12.308,3.962,1.633,0.23,0.095,,,,,,,0.003,0.92,0.003,,0,0.138,0,,,1.221,,,,,1.006,,,0.758,0,0,0,0,29.431,0.602,,
Colombia,1857,COL,2491651,,,,0.018,0.008,87.275,30.601,0.733,2.455,12.281,,,0.007,,,0.018,0.007,,,,,0.028,60.468,0.028,,,274.488,,,,,,,,,0.247,12.239,30.582,12.274,3.992,1.602,0.233,0.093,,,,,,,0.006,0.947,0.006,,0,0.244,0,,,1.197,,,,,1.036,,,0.753,0,0,0,0,30.495,0.615,,
Colombia,1858,COL,2559151,,,,0.02,0.002,9.975,24.64,-5.961,-19.479,9.628,,,0.008,,,0.02,0.008,,,,,0.048,85.108,0.048,,,299.108,,,,,,,,,0.243,9.578,24.62,9.62,4.022,1.572,0.235,0.092,,,,,,,0.007,0.756,0.007,,0.001,0.303,0.001,,,1.154,,,,,0.828,,,0.731,0,0,0,0,24.513,0.621,,
Colombia,1859,COL,2607565,,,,0.005,-0.015,-73.648,27.416,2.776,11.266,10.514,,,0.002,,,0.005,0.002,,,,,0.053,112.524,0.053,,,326.518,,,,,,,,,0.234,10.51,27.411,10.512,4.052,1.554,0.237,0.091,,,,,,,0.002,0.821,0.002,,0.001,0.358,0.001,,,1.128,,,,,0.902,,,0.72,0,0,0,0,27.405,0.611,,
