country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Congo,1850,COG,502855,,,,,,,,,,,,,,,,,,,,,,,,,,,3.807,,,,,,,,,0.188,6.951,3.807,7.57,0.099,0.197,0.061,0.122,,,,,,,,,,,,,,,,0.144,,,,,0.144,,,,,,,,3.495,0.095,,
Congo,1851,COG,506278,,,,,,,,,,,,,,,,,,,,,,,,,,,6.982,,,,,,,,,0.188,5.657,3.176,6.273,0.1,0.197,0.063,0.124,,,,,,,,,,,,,,,,0.128,,,,,0.113,,,0.067,0,0,0,0,2.864,0.095,,
Congo,1852,COG,508121,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,0.188,9.718,5.217,10.268,0.1,0.197,0.064,0.126,,,,,,,,,,,,,,,,0.147,,,,,0.183,,,0.092,0,0,0,0,4.938,0.096,,
Congo,1853,COG,508354,,,,,,,,,,,,,,,,,,,,,,,,,,,12.341,,,,,,,,,0.189,-0.319,0.141,0.277,0.1,0.197,0.065,0.128,,,,,,,,,,,,,,,,0.11,,,,,0.005,,,0.059,0,0,0,0,-0.162,0.096,,
Congo,1854,COG,508588,,,,,,,,,,,,,,,,,,,,,,,,,,,14.837,,,,,,,,,0.19,4.338,2.496,4.908,0.101,0.198,0.066,0.13,,,,,,,,,,,,,,,,0.105,,,,,0.086,,,0.056,0,0,0,0,2.206,0.097,,
Congo,1855,COG,508821,,,,,,,,,,,,,,,,,,,,,,,,,,,17.188,,,,,,,,,0.191,4.112,2.351,4.621,0.101,0.199,0.067,0.132,,,,,,,,,,,,,,,,0.101,,,,,0.082,,,0.055,0,0,0,0,2.092,0.097,,
Congo,1856,COG,509055,,,,,,,,,,,,,,,,,,,,,,,,,,,20.418,,,,,,,,,0.192,5.736,3.23,6.344,0.102,0.199,0.068,0.133,,,,,,,,,,,,,,,,0.102,,,,,0.109,,,0.056,0,0,0,0,2.92,0.098,,
Congo,1857,COG,509289,,,,,,,,,,,,,,,,,,,,,,,,,,,22.448,,,,,,,,,0.193,3.439,2.03,3.986,0.102,0.2,0.069,0.135,,,,,,,,,,,,,,,,0.098,,,,,0.069,,,0.054,0,0,0,0,1.751,0.098,,
Congo,1858,COG,509522,,,,,,,,,,,,,,,,,,,,,,,,,,,24.358,,,,,,,,,0.194,3.165,1.91,3.749,0.102,0.201,0.069,0.136,,,,,,,,,,,,,,,,0.094,,,,,0.064,,,0.051,0,0,0,0,1.613,0.099,,
Congo,1859,COG,510368,,,,,,,,,,,,,,,,,,,,,,,,,,,28.925,,,,,,,,,0.195,8.429,4.568,8.949,0.103,0.201,0.07,0.137,,,,,,,,,,,,,,,,0.1,,,,,0.15,,,0.056,0,0,0,0,4.302,0.099,,
Congo,1860,COG,511829,,,,,,,,,,,,,,,,,,,,,,,,,,,30.889,,,,,,,,,0.195,3.218,1.964,3.837,0.103,0.202,0.07,0.137,,,,,,,,,,,,,,,,0.097,,,,,0.071,,,0.054,0,0,0,0,1.647,0.1,,
Congo,1861,COG,513912,,,,,,,,,,,,,,,,,,,,,,,,,,,32.721,,,,,,,,,0.195,2.922,1.832,3.565,0.104,0.202,0.07,0.137,,,,,,,,,,,,,,,,0.095,,,,,0.066,,,0.053,0,0,0,0,1.502,0.1,,
Congo,1862,COG,516619,,,,,,,,,,,,,,,,,,,,,,,,,,,35.924,,,,,,,,,0.195,5.534,3.203,6.199,0.104,0.202,0.07,0.136,,,,,,,,,,,,,,,,0.096,,,,,0.117,,,0.054,0,0,0,0,2.859,0.101,,
Congo,1863,COG,519957,,,,,,,,,,,,,,,,,,,,,,,,,,,41.54,,,,,,,,,0.195,9.961,5.616,10.802,0.105,0.201,0.07,0.135,,,,,,,,,,,,,,,,0.104,,,,,0.207,,,0.059,0,0,0,0,5.179,0.101,,
Congo,1864,COG,523316,,,,,,,,,,,,,,,,,,,,,,,,,,,46.367,,,,,,,,,0.195,8.471,4.827,9.223,0.105,0.201,0.071,0.135,,,,,,,,,,,,,,,,0.109,,,,,0.184,,,0.062,0,0,0,0,4.433,0.102,,
Congo,1865,COG,526697,,,,,,,,,,,,,,,,,,,,,,,,,,,49.934,,,,,,,,,0.194,6.029,3.567,6.772,0.106,0.201,0.071,0.134,,,,,,,,,,,,,,,,0.111,,,,,0.139,,,0.063,0,0,0,0,3.176,0.102,,
Congo,1866,COG,530099,,,,,,,,,,,,,,,,,,,,,,,,,,,52.374,,,,,,,,,0.194,3.793,2.441,4.604,0.106,0.2,0.071,0.134,,,,,,,,,,,,,,,,0.11,,,,,0.094,,,0.061,0,0,0,0,2.011,0.103,,
Congo,1867,COG,533523,,,,,,,,,,,,,,,,,,,,,,,,,,,54.446,,,,,,,,,0.194,3.141,2.072,3.884,0.107,0.2,0.071,0.133,,,,,,,,,,,,,,,,0.108,,,,,0.081,,,0.06,0,0,0,0,1.676,0.104,,
Congo,1868,COG,536969,,,,,,,,,,,,,,,,,,,,,,,,,,,57.168,,,,,,,,,0.194,4.252,2.722,5.069,0.107,0.2,0.071,0.132,,,,,,,,,,,,,,,,0.108,,,,,0.107,,,0.06,0,0,0,0,2.283,0.104,,
Congo,1869,COG,540655,,,,,,,,,,,,,,,,,,,,,,,,,,,59.931,,,,,,,,,0.193,4.329,2.763,5.11,0.108,0.199,0.071,0.132,,,,,,,,,,,,,,,,0.108,,,,,0.107,,,0.059,0,0,0,0,2.34,0.105,,
Congo,1870,COG,544584,,,,,,,,,,,,,,,,,,,,,,,,,,,64.889,,,,,,,,,0.193,8.228,4.958,9.104,0.108,0.199,0.071,0.131,,,,,,,,,,,,,,,,0.111,,,,,0.175,,,0.061,0,0,0,0,4.481,0.105,,
Congo,1871,COG,548760,,,,,,,,,,,,,,,,,,,,,,,,,,,70.096,,,,,,,,,0.193,8.576,5.207,9.489,0.109,0.198,0.072,0.132,,,,,,,,,,,,,,,,0.115,,,,,0.182,,,0.063,0,0,0,0,4.706,0.106,,
Congo,1872,COG,553186,,,,,,,,,,,,,,,,,,,,,,,,,,,72.415,,,,,,,,,0.192,3.259,2.319,4.192,0.109,0.197,0.075,0.136,,,,,,,,,,,,,,,,0.113,,,,,0.076,,,0.062,0,0,0,0,1.803,0.106,,
Congo,1873,COG,557865,,,,,,,,,,,,,,,,,,,,,,,,,,,75.329,,,,,,,,,0.192,4.223,2.914,5.223,0.11,0.197,0.079,0.142,,,,,,,,,,,,,,,,0.112,,,,,0.098,,,0.061,0,0,0,0,2.356,0.107,,
Congo,1874,COG,562584,,,,,,,,,,,,,,,,,,,,,,,,,,,78.836,,,,,,,,,0.192,5.265,3.507,6.235,0.11,0.196,0.084,0.149,,,,,,,,,,,,,,,,0.112,,,,,0.11,,,0.061,0,0,0,0,2.962,0.108,,
Congo,1875,COG,567343,,,,,,,,,,,,,,,,,,,,,,,,,,,83.304,,,,,,,,,0.192,6.888,4.468,7.876,0.111,0.195,0.089,0.158,,,,,,,,,,,,,,,,0.113,,,,,0.137,,,0.061,0,0,0,0,3.908,0.109,,
Congo,1876,COG,572142,,,,,,,,,,,,,,,,,,,,,,,,,,,85.292,,,,,,,,,0.192,2.452,1.988,3.474,0.111,0.195,0.095,0.166,,,,,,,,,,,,,,,,0.111,,,,,0.061,,,0.059,0,0,0,0,1.403,0.11,,
Congo,1877,COG,576981,,,,,,,,,,,,,,,,,,,,,,,,,,,87.591,,,,,,,,,0.192,3.015,2.299,3.984,0.112,0.194,0.1,0.173,,,,,,,,,,,,,,,,0.109,,,,,0.072,,,0.058,0,0,0,0,1.74,0.111,,
Congo,1878,COG,581862,,,,,,,,,,,,,,,,,,,,,,,,,,,91.164,,,,,,,,,0.191,5.201,3.573,6.141,0.112,0.193,0.105,0.18,,,,,,,,,,,,,,,,0.109,,,,,0.109,,,0.058,0,0,0,0,3.026,0.111,,
Congo,1879,COG,586665,,,,,,,,,,,,,,,,,,,,,,,,,,,95.594,,,,,,,,,0.191,6.548,4.43,7.552,0.113,0.192,0.108,0.184,,,,,,,,,,,,,,,,0.11,,,,,0.135,,,0.058,0,0,0,0,3.841,0.112,,
Congo,1880,COG,591389,,,,,,,,,,,,,,,,,,,,,,,,,,,97.91,,,,,,,,,0.191,2.708,2.316,3.915,0.113,0.192,0.11,0.187,,,,,,,,,,,,,,,,0.109,,,,,0.068,,,0.057,0,0,0,0,1.601,0.113,,
