country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Costa Rica,1850,CRI,101627,,,,,,,,,,,,,,,,,,,,,,,,,,,2.622,,,,,,,,,0.414,23.374,2.622,25.805,0.171,1.682,0.021,0.21,,,,,,,,,,,,,,,,0.099,,,,,0.099,,,,,,,,2.375,0.042,,
Costa Rica,1851,CRI,103127,,,,,,,,,,,,,,,,,,,,,,,,,,,4.967,,,,,,,,,0.414,21.326,2.345,22.735,0.173,1.682,0.022,0.21,,,,,,,,,,,,,,,,0.091,,,,,0.083,,,0.055,0,0,0,0,2.199,0.043,,
Costa Rica,1852,CRI,104857,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,,,,,,,,,0.412,22.59,2.603,24.822,0.176,1.678,0.022,0.21,,,,,,,,,,,,,,,,0.091,,,,,0.091,,,0.057,0,0,0,0,2.369,0.043,,
Costa Rica,1853,CRI,106824,,,,,,,,,,,,,,,,,,,,,,,,,,,9.714,,,,,,,,,0.41,19.104,2.145,20.075,0.178,1.67,0.022,0.209,,,,,,,,,,,,,,,,0.087,,,,,0.074,,,0.054,0,0,0,0,2.041,0.044,,
Costa Rica,1854,CRI,108828,,,,,,,,,,,,,,,,,,,,,,,,,,,11.875,,,,,,,,,0.407,19.325,2.161,19.854,0.181,1.663,0.023,0.208,,,,,,,,,,,,,,,,0.084,,,,,0.074,,,0.053,0,0,0,0,2.103,0.044,,
Costa Rica,1855,CRI,110870,,,,,,,,,,,,,,,,,,,,,,,,,,,14.095,,,,,,,,,0.405,19.254,2.22,20.023,0.183,1.655,0.023,0.206,,,,,,,,,,,,,,,,0.083,,,,,0.077,,,0.053,0,0,0,0,2.135,0.045,,
Costa Rica,1856,CRI,112949,,,,,,,,,,,,,,,,,,,,,,,,,,,16.313,,,,,,,,,0.402,19.364,2.218,19.64,0.186,1.646,0.023,0.205,,,,,,,,,,,,,,,,0.082,,,,,0.075,,,0.053,0,0,0,0,2.187,0.045,,
Costa Rica,1857,CRI,115067,,,,,,,,,,,,,,,,,,,,,,,,,,,18.451,,,,,,,,,0.399,18.551,2.138,18.581,0.188,1.638,0.023,0.203,,,,,,,,,,,,,,,,0.08,,,,,0.072,,,0.052,0,0,0,0,2.135,0.046,,
Costa Rica,1858,CRI,117225,,,,,,,,,,,,,,,,,,,,,,,,,,,21.035,,,,,,,,,0.397,20.246,2.583,22.037,0.191,1.629,0.024,0.201,,,,,,,,,,,,,,,,0.081,,,,,0.087,,,0.053,0,0,0,0,2.373,0.046,,
Costa Rica,1859,CRI,119325,,,,,,,,,,,,,,,,,,,,,,,,,,,23.377,,,,,,,,,0.394,18.777,2.342,19.629,0.193,1.621,0.024,0.199,,,,,,,,,,,,,,,,0.081,,,,,0.077,,,0.052,0,0,0,0,2.241,0.047,,
