country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Croatia,1850,HRV,1597319,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,,,,,,,0.123,1.892,3.35,2.097,0.842,0.527,0.127,0.08,,,,,,,,,,,,,,,,0.127,,,,,0.127,,,,,,,,3.022,0.196,,
Croatia,1851,HRV,1611606,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,,,,,,,,,0.123,1.847,3.32,2.06,0.847,0.525,0.129,0.08,,,,,,,,,,,,,,,,0.122,,,,,0.118,,,0.066,0,0,0,0,2.976,0.198,,
Croatia,1852,HRV,1626020,,,,,,,,,,,,,,,,,,,,,,,,,,,10.111,,,,,,,,,0.122,1.888,3.441,2.116,0.852,0.524,0.131,0.081,,,,,,,,,,,,,,,,0.122,,,,,0.12,,,0.067,0,0,0,0,3.07,0.199,,
Croatia,1853,HRV,1640564,,,,,,,,,,,,,,,,,,,,,,,,,,,13.588,,,,,,,,,0.122,1.874,3.477,2.119,0.857,0.522,0.133,0.081,,,,,,,,,,,,,,,,0.121,,,,,0.12,,,0.067,0,0,0,0,3.075,0.201,,
Croatia,1854,HRV,1655237,,,,,,,,,,,,,,,,,,,,,,,,,,,17.007,,,,,,,,,0.122,1.802,3.419,2.066,0.862,0.521,0.135,0.081,,,,,,,,,,,,,,,,0.12,,,,,0.117,,,0.066,0,0,0,0,2.983,0.202,,
Croatia,1855,HRV,1670042,,,,,,,,,,,,,,,,,,,,,,,,,,,20.495,,,,,,,,,0.122,1.807,3.488,2.089,0.867,0.519,0.137,0.082,,,,,,,,,,,,,,,,0.12,,,,,0.121,,,0.066,0,0,0,0,3.017,0.203,,
Croatia,1856,HRV,1684979,,,,,,,,,,,,,,,,,,,,,,,,,,,24.061,,,,,,,,,0.122,1.816,3.566,2.116,0.872,0.518,0.138,0.082,,,,,,,,,,,,,,,,0.12,,,,,0.12,,,0.066,0,0,0,0,3.059,0.205,,
Croatia,1857,HRV,1700050,,,,,,,,,,,,,,,,,,,,,,,,,,,27.724,,,,,,,,,0.121,1.835,3.663,2.155,0.877,0.516,0.14,0.082,,,,,,,,,,,,,,,,0.121,,,,,0.124,,,0.066,0,0,0,0,3.12,0.206,,
Croatia,1858,HRV,1715255,,,,,,,,,,,,,,,,,,,,,,,,,,,31.393,,,,,,,,,0.121,1.801,3.669,2.139,0.882,0.514,0.141,0.082,,,,,,,,,,,,,,,,0.121,,,,,0.123,,,0.066,0,0,0,0,3.089,0.208,,
Croatia,1859,HRV,1730597,,,,,,,,,,,,,,,,,,,,,,,,,,,34.99,,,,,,,,,0.121,1.722,3.597,2.078,0.887,0.513,0.142,0.082,,,,,,,,,,,,,,,,0.121,,,,,0.118,,,0.065,0,0,0,0,2.979,0.209,,
Croatia,1860,HRV,1746076,,,,,,,,,,,,,,,,,,,,,,,,,,,39.358,,,,,,,,,0.12,1.936,4.368,2.502,0.892,0.511,0.143,0.082,,,,,,,,,,,,,,,,0.124,,,,,0.157,,,0.066,0,0,0,0,3.381,0.21,,
