country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Cuba,1850,CUB,1186396,1053168000,,,,,,,,,,,,,,,,,,,,,,,,,,5.366,,,,,,,,,3.682,7.274,5.366,4.523,5.734,4.833,0.149,0.125,,,,,,,,,,,,,,,,0.203,,,,,0.203,,,,,,,,8.63,4.368,,
Cuba,1851,CUB,1206408,,,,,,,,,,,,,,,,,,,,,,,,,,,9.883,,,,,,,,,3.642,6.946,4.517,3.744,5.768,4.781,0.151,0.125,,,,,,,,,,,,,,,,0.181,,,,,0.16,,,0.296,0,0,0,0,8.38,4.394,,
Cuba,1852,CUB,1226785,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98,,,,,,,,,3.603,6.767,4.096,3.339,5.802,4.729,0.153,0.125,,,,,,,,,,,,,,,,0.168,,,,,0.143,,,0.29,0,0,0,0,8.301,4.42,,
Cuba,1853,CUB,1247533,,,,,,,,,,,,,,,,,,,,,,,,,,,17.811,,,,,,,,,3.564,6.64,3.832,3.071,5.836,4.678,0.155,0.124,,,,,,,,,,,,,,,,0.159,,,,,0.132,,,0.284,0,0,0,0,8.283,4.446,,
Cuba,1854,CUB,1268632,,,,,,,,,,,,,,,,,,,,,,,,,,,21.452,,,,,,,,,3.526,6.519,3.64,2.87,5.87,4.627,0.157,0.124,,,,,,,,,,,,,,,,0.152,,,,,0.125,,,0.279,0,0,0,0,8.271,4.473,,
Cuba,1855,CUB,1290088,,,,,,,,,,,,,,,,,,,,,,,,,,,24.955,,,,,,,,,3.488,6.41,3.503,2.715,5.905,4.577,0.159,0.123,,,,,,,,,,,,,,,,0.147,,,,,0.122,,,0.275,0,0,0,0,8.27,4.499,,
Cuba,1856,CUB,1311906,,,,0.385,,,3.778,,,2.88,,,0.293,,,0.385,0.293,,,,,0.385,3.778,0.385,,,28.348,,,,,,,,,3.743,6.6,3.394,2.587,5.939,4.527,0.161,0.123,,,,,,,0.138,0.116,0.138,,0.006,0.017,0.006,,,0.142,,,,,0.114,,,0.272,0,0,0,0,8.659,4.911,,
Cuba,1857,CUB,1334093,,,,0.361,-0.024,-6.187,3.668,-0.11,-2.904,2.75,,,0.27,,,0.361,0.27,,,,,0.745,7.447,0.745,,,31.656,,,,,,,,,3.683,6.483,3.308,2.479,5.974,4.478,0.162,0.122,,,,,,,0.128,0.113,0.128,,0.012,0.03,0.012,,,0.138,,,,,0.112,,,0.269,0,0,0,0,8.649,4.914,,
Cuba,1858,CUB,1356654,,,,0.338,-0.022,-6.187,3.57,-0.098,-2.675,2.632,,,0.249,,,0.338,0.249,,,,,1.084,11.017,1.084,,,34.888,,,,,,,,,3.625,6.368,3.232,2.382,6.009,4.429,0.164,0.121,,,,,,,0.119,0.11,0.119,,0.016,0.039,0.016,,,0.135,,,,,0.109,,,0.266,0,0,0,0,8.64,4.918,,
Cuba,1859,CUB,1373615,,,,0.317,-0.021,-6.187,3.484,-0.086,-2.404,2.537,,,0.231,,,0.317,0.231,,,,,1.401,14.501,1.401,,,38.055,,,,,,,,,3.585,6.287,3.167,2.306,6.044,4.4,0.165,0.12,,,,,,,0.105,0.104,0.105,,0.02,0.046,0.02,,,0.131,,,,,0.104,,,0.262,0,0,0,0,8.636,4.924,,
