country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Czechia,1850,CZE,6826465,,,,,,,,,,,,,,,,,,,,,,,,,,,10.566,,,,,,,,,0.649,2.295,10.566,1.548,8.233,1.206,0.494,0.072,,,,,,,,,,,,,,,,0.4,,,,,0.4,,,,,,,,15.668,4.433,,
Czechia,1851,CZE,6870309,,,,,,,,,,,,,,,,,,,,,,,,,,,21.411,,,,,,,,,0.649,2.28,10.846,1.579,8.288,1.206,0.501,0.073,,,,,,,,,,,,,,,,0.392,,,,,0.385,,,0.36,0,0,0,0,15.666,4.462,,
Czechia,1852,CZE,6914435,,,,,,,,,,,,,,,,,,,,,,,,,,,32.398,,,,,,,,,0.649,2.272,10.987,1.589,8.343,1.207,0.508,0.073,,,,,,,,,,,,,,,,0.39,,,,,0.384,,,0.355,0,0,0,0,15.708,4.491,,
Czechia,1853,CZE,6958845,,,,,,,,,,,,,,,,,,,,,,,,,,,43.405,,,,,,,,,0.65,2.25,11.007,1.582,8.398,1.207,0.514,0.074,,,,,,,,,,,,,,,,0.387,,,,,0.379,,,0.35,0,0,0,0,15.656,4.52,,
Czechia,1854,CZE,7003540,,,,,,,,,,,,,,,,,,,,,,,,,,,54.476,,,,,,,,,0.65,2.235,11.07,1.581,8.453,1.207,0.52,0.074,,,,,,,,,,,,,,,,0.385,,,,,0.38,,,0.345,0,0,0,0,15.655,4.549,,
Czechia,1855,CZE,7048521,,,,,,,,,,,,,,,,,,,,,,,,,,,65.584,,,,,,,,,0.65,2.223,11.108,1.576,8.509,1.207,0.526,0.075,,,,,,,,,,,,,,,,0.385,,,,,0.386,,,0.342,0,0,0,0,15.669,4.579,,
Czechia,1856,CZE,7093792,,,,,,,,,,,,,,,,,,,,,,,,,,,76.656,,,,,,,,,0.65,2.201,11.072,1.561,8.565,1.207,0.532,0.075,,,,,,,,,,,,,,,,0.384,,,,,0.373,,,0.337,0,0,0,0,15.612,4.608,,
Czechia,1857,CZE,7139353,,,,,,,,,,,,,,,,,,,,,,,,,,,87.732,,,,,,,,,0.65,2.185,11.076,1.551,8.62,1.207,0.537,0.075,,,,,,,,,,,,,,,,0.383,,,,,0.375,,,0.333,0,0,0,0,15.602,4.637,,
Czechia,1858,CZE,7185208,,,,,,,,,,,,,,,,,,,,,,,,,,,98.773,,,,,,,,,0.65,2.166,11.04,1.537,8.676,1.208,0.542,0.075,,,,,,,,,,,,,,,,0.381,,,,,0.371,,,0.329,0,0,0,0,15.562,4.667,,
Czechia,1859,CZE,7231356,,,,,,,,,,,,,,,,,,,,,,,,,,,109.836,,,,,,,,,0.649,2.154,11.063,1.53,8.732,1.208,0.547,0.076,,,,,,,,,,,,,,,,0.379,,,,,0.364,,,0.325,0,0,0,0,15.577,4.696,,
Czechia,1860,CZE,7277801,,0,0,0.202,,,11.61,,,1.595,,,0.028,,,0.202,0.028,,,,0,0.202,11.61,0.202,0,0,121.244,0,,,,0,0,0,0,0.682,2.2,11.408,1.568,8.821,1.212,0.551,0.076,0,0,,,,,0.061,0.373,0.061,,0.003,0.034,0.003,,,0.382,0,,,,0.41,0,,0.324,0,0,0,0,16.013,4.961,,
Czechia,1861,CZE,7318846,,0,0,0.665,0.463,228.768,12.104,0.494,4.251,1.654,,,0.091,,,0.665,0.091,,,,0,0.868,23.715,0.868,0,0,132.683,0,,,,0,0,0,0,0.756,2.258,11.439,1.563,8.959,1.224,0.554,0.076,0,0,,,,,0.191,0.388,0.191,,0.011,0.063,0.011,,,0.385,0,,,,0.413,0,,0.325,0,0,0,0,16.53,5.531,,
Czechia,1862,CZE,7360123,,0,0,1.131,0.466,70,12.639,0.535,4.42,1.717,,,0.154,,,1.131,0.154,,,,0,1.999,36.354,1.999,0,0,144.19,0,,,,0,0,0,0,0.829,2.326,11.508,1.564,9.098,1.236,0.558,0.076,0,0,,,,,0.318,0.408,0.319,,0.025,0.089,0.025,,,0.387,0,,,,0.42,0,,0.328,0,0,0,0,17.116,6.104,,
