country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Democratic Republic of Congo,1850,COD,8149850,,,,,,,,,,,,,,,,,,,,,,,,,,,28.04,,,,,,,,,0.146,2.768,28.04,3.441,1.489,0.183,0.556,0.068,,,,,,,,,,,,,,,,1.063,,,,,1.063,,,,,,,,22.56,1.188,,
Democratic Republic of Congo,1851,COD,8203394,,,,,,,,,,,,,,,,,,,,,,,,,,,50.802,,,,,,,,,0.146,2.275,22.762,2.775,1.496,0.182,0.567,0.069,,,,,,,,,,,,,,,,0.931,,,,,0.807,,,0.425,0,0,0,0,18.666,1.197,,
Democratic Republic of Congo,1852,COD,8232967,,,,,,,,,,,,,,,,,,,,,,,,,,,75.409,,,,,,,,,0.146,2.815,24.607,2.989,1.504,0.183,0.577,0.07,,,,,,,,,,,,,,,,0.907,,,,,0.861,,,0.477,0,0,0,0,23.173,1.205,,
Democratic Republic of Congo,1853,COD,8238175,,,,,,,,,,,,,,,,,,,,,,,,,,,81.187,,,,,,,,,0.147,0.674,5.778,0.701,1.512,0.183,0.587,0.071,,,,,,,,,,,,,,,,0.723,,,,,0.199,,,0.353,0,0,0,0,5.549,1.214,,
Democratic Republic of Congo,1854,COD,8243387,,,,,,,,,,,,,,,,,,,,,,,,,,,93.949,,,,,,,,,0.148,1.583,12.762,1.548,1.519,0.184,0.597,0.072,,,,,,,,,,,,,,,,0.665,,,,,0.438,,,0.334,0,0,0,0,13.049,1.222,,
Democratic Republic of Congo,1855,COD,8248602,,,,,,,,,,,,,,,,,,,,,,,,,,,107.088,,,,,,,,,0.149,1.588,13.139,1.593,1.527,0.185,0.606,0.073,,,,,,,,,,,,,,,,0.629,,,,,0.456,,,0.324,0,0,0,0,13.101,1.231,,
Democratic Republic of Congo,1856,COD,8253820,,,,,,,,,,,,,,,,,,,,,,,,,,,120.529,,,,,,,,,0.15,1.672,13.441,1.628,1.535,0.186,0.614,0.074,,,,,,,,,,,,,,,,0.603,,,,,0.453,,,0.319,0,0,0,0,13.8,1.24,,
Democratic Republic of Congo,1857,COD,8259041,,,,,,,,,,,,,,,,,,,,,,,,,,,127.874,,,,,,,,,0.151,0.952,7.345,0.889,1.544,0.187,0.62,0.075,,,,,,,,,,,,,,,,0.558,,,,,0.249,,,0.296,0,0,0,0,7.865,1.249,,
Democratic Republic of Congo,1858,COD,8264265,,,,,,,,,,,,,,,,,,,,,,,,,,,135.033,,,,,,,,,0.152,0.939,7.159,0.866,1.552,0.188,0.626,0.076,,,,,,,,,,,,,,,,0.521,,,,,0.241,,,0.278,0,0,0,0,7.764,1.258,,
Democratic Republic of Congo,1859,COD,8279072,,,,,,,,,,,,,,,,,,,,,,,,,,,154.864,,,,,,,,,0.153,2.406,19.831,2.395,1.56,0.188,0.63,0.076,,,,,,,,,,,,,,,,0.535,,,,,0.653,,,0.295,0,0,0,0,19.923,1.266,,
Democratic Republic of Congo,1860,COD,8303530,,,,,,,,,,,,,,,,,,,,,,,,,,,164.041,,,,,,,,,0.154,1.153,9.178,1.105,1.569,0.189,0.633,0.076,,,,,,,,,,,,,,,,0.517,,,,,0.33,,,0.286,0,0,0,0,9.578,1.276,,
Democratic Republic of Congo,1861,COD,8337707,,,,,,,,,,,,,,,,,,,,,,,,,,,173.221,,,,,,,,,0.154,1.195,9.18,1.101,1.579,0.189,0.635,0.076,,,,,,,,,,,,,,,,0.502,,,,,0.332,,,0.28,0,0,0,0,9.961,1.285,,
Democratic Republic of Congo,1862,COD,8381672,,,,,,,,,,,,,,,,,,,,,,,,,,,187.92,,,,,,,,,0.155,1.795,14.699,1.754,1.589,0.19,0.636,0.076,,,,,,,,,,,,,,,,0.505,,,,,0.536,,,0.284,0,0,0,0,15.043,1.295,,
Democratic Republic of Congo,1863,COD,8435495,,,,,,,,,,,,,,,,,,,,,,,,,,,206.324,,,,,,,,,0.155,2.284,18.404,2.182,1.599,0.19,0.637,0.076,,,,,,,,,,,,,,,,0.517,,,,,0.68,,,0.296,0,0,0,0,19.267,1.306,,
Democratic Republic of Congo,1864,COD,8489664,,,,,,,,,,,,,,,,,,,,,,,,,,,220.772,,,,,,,,,0.155,1.766,14.448,1.702,1.61,0.19,0.638,0.075,,,,,,,,,,,,,,,,0.519,,,,,0.552,,,0.299,0,0,0,0,14.989,1.316,,
Democratic Republic of Congo,1865,COD,8544180,,,,,,,,,,,,,,,,,,,,,,,,,,,235.248,,,,,,,,,0.155,1.646,14.476,1.694,1.62,0.19,0.639,0.075,,,,,,,,,,,,,,,,0.521,,,,,0.563,,,0.3,0,0,0,0,14.066,1.326,,
Democratic Republic of Congo,1866,COD,8599047,,,,,,,,,,,,,,,,,,,,,,,,,,,247.215,,,,,,,,,0.155,1.299,11.967,1.392,1.631,0.19,0.641,0.074,,,,,,,,,,,,,,,,0.518,,,,,0.459,,,0.296,0,0,0,0,11.171,1.337,,
Democratic Republic of Congo,1867,COD,8654266,,,,,,,,,,,,,,,,,,,,,,,,,,,258.81,,,,,,,,,0.156,1.281,11.595,1.34,1.641,0.19,0.642,0.074,,,,,,,,,,,,,,,,0.514,,,,,0.451,,,0.293,0,0,0,0,11.09,1.347,,
Democratic Republic of Congo,1868,COD,8709839,,,,,,,,,,,,,,,,,,,,,,,,,,,268.443,,,,,,,,,0.156,1.125,9.633,1.106,1.652,0.19,0.643,0.074,,,,,,,,,,,,,,,,0.508,,,,,0.379,,,0.289,0,0,0,0,9.802,1.358,,
Democratic Republic of Congo,1869,COD,8768035,,,,,,,,,,,,,,,,,,,,,,,,,,,278.416,,,,,,,,,0.156,1.133,9.973,1.137,1.663,0.19,0.644,0.074,,,,,,,,,,,,,,,,0.502,,,,,0.386,,,0.285,0,0,0,0,9.935,1.369,,
Democratic Republic of Congo,1870,COD,8828887,,,,,,,,,,,,,,,,,,,,,,,,,,,296.946,,,,,,,,,0.156,2.099,18.53,2.099,1.674,0.19,0.646,0.073,,,,,,,,,,,,,,,,0.51,,,,,0.654,,,0.291,0,0,0,0,18.53,1.38,,
Democratic Republic of Congo,1871,COD,8892430,,,,,,,,,,,,,,,,,,,,,,,,,,,313.645,,,,,,,,,0.157,1.871,16.699,1.878,1.685,0.19,0.656,0.074,,,,,,,,,,,,,,,,0.513,,,,,0.585,,,0.294,0,0,0,0,16.639,1.392,,
Democratic Republic of Congo,1872,COD,8958700,,,,,,,,,,,,,,,,,,,,,,,,,,,321.48,,,,,,,,,0.157,0.842,7.835,0.875,1.697,0.189,0.681,0.076,,,,,,,,,,,,,,,,0.501,,,,,0.257,,,0.286,0,0,0,0,7.545,1.404,,
