country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Denmark,1843,DNK,1398265,3275376128,,,0.136,,,,,,,,,0.097,0.041,,0.136,0.097,,,,,0.136,,0.136,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.102,,0.102,,0.004,,0.004,,,,,,,,,,,,,,,,,,,
Denmark,1844,DNK,1412250,3441676032,,,0.158,0.022,16.216,,,,,,,0.112,0.046,,0.158,0.112,,,,,0.293,,0.293,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.111,,0.111,,0.008,,0.008,,,,,,,,,,,,,,,,,,,
Denmark,1845,DNK,1426375,3534960128,,,0.209,0.051,32.558,,,,,,,0.146,0.059,,0.209,0.146,,,,,0.502,,0.502,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.135,,0.135,,0.013,,0.013,,,,,,,,,,,,,,,,,,,
Denmark,1846,DNK,1440642,3611443968,,,0.227,0.018,8.772,,,,,,,0.158,0.063,,0.227,0.158,,,,,0.729,,0.729,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.144,,0.144,,0.018,,0.018,,,,,,,,,,,,,,,,,,,
Denmark,1847,DNK,1455051,3590496000,,,0.172,-0.055,-24.194,,,,,,,0.118,0.048,,0.172,0.118,,,,,0.901,,0.901,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.101,,0.101,,0.021,,0.021,,,,,,,,,,,,,,,,,,,
Denmark,1848,DNK,1469604,3777900032,,,0.311,0.139,80.851,,,,,,,0.212,0.082,,0.311,0.212,,,,,1.213,,1.213,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.179,,0.179,,0.028,,0.028,,,,,,,,,,,,,,,,,,,
Denmark,1849,DNK,1485029,3999379968,,,0.271,-0.04,-12.941,,,,,,,0.183,0.068,,0.271,0.183,,,,,1.484,,1.484,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.147,,0.147,,0.032,,0.032,,,,,,,,,,,,,,,,,,,
Denmark,1850,DNK,1501343,4222682880,,,0.341,0.07,25.676,8.705,,,5.798,2.061,,0.227,0.081,,0.341,0.227,,,,,1.825,8.705,1.825,,0,8.364,0,,,,,,0,0,0.546,5.684,8.364,5.571,2.264,1.508,0.526,0.351,0,0,,,,,0.173,0.307,0.173,,0.038,0.307,0.038,,,0.317,,,,,0.317,,,,,,,,8.534,0.819,,
Denmark,1851,DNK,1518598,4018533120,,,0.311,-0.029,-8.602,9.028,0.323,3.715,5.945,2.247,,0.205,0.078,,0.311,0.205,,,,,2.136,17.732,2.136,,0,17.08,0,,,,,,0,0,0.523,5.703,8.716,5.74,2.293,1.51,0.536,0.353,0,0,,,,,0.157,0.299,0.157,,0.043,0.303,0.043,,,0.313,,,,,0.309,,,0.203,0,0,0,0,8.66,0.795,,
Denmark,1852,DNK,1536779,4167168000,,,0.333,0.022,7.059,9.358,0.33,3.653,6.089,2.246,,0.217,0.08,,0.333,0.217,,,,,2.47,27.09,2.47,,0,26.104,0,,,,,,0,0,0.535,5.759,9.024,5.872,2.322,1.511,0.545,0.355,0,0,,,,,0.161,0.305,0.161,,0.048,0.304,0.048,,,0.314,,,,,0.316,,,0.205,0,0,0,0,8.851,0.822,,
