country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Djibouti,1850,DJI,39961,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,0.121,1.213,0.016,0.395,0.029,0.713,0.005,0.12,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.048,0.005,,
Djibouti,1851,DJI,40259,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,0.121,1.207,0.016,0.391,0.029,0.709,0.005,0.121,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.049,0.005,,
Djibouti,1852,DJI,40408,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,,,,,,,,,0.121,1.204,0.016,0.389,0.029,0.706,0.005,0.122,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.049,0.005,,
Djibouti,1853,DJI,40405,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,,,,,,,,,0.121,1.206,0.016,0.388,0.029,0.707,0.005,0.124,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.049,0.005,,
Djibouti,1854,DJI,40402,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,,,,,,,,,0.122,1.208,0.016,0.388,0.029,0.708,0.005,0.126,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.049,0.005,,
Djibouti,1855,DJI,40399,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,,,,,,,,,0.122,1.21,0.016,0.387,0.029,0.708,0.005,0.128,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.049,0.005,,
Djibouti,1856,DJI,40396,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,0.123,1.212,0.016,0.387,0.029,0.709,0.005,0.13,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.049,0.005,,
Djibouti,1857,DJI,40392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,,,,,,,,,0.123,1.214,0.016,0.386,0.029,0.71,0.005,0.131,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.049,0.005,,
Djibouti,1858,DJI,40389,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,,,,,,,,,0.124,1.215,0.016,0.386,0.029,0.71,0.005,0.132,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.049,0.005,,
Djibouti,1859,DJI,40386,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,,,,,,,,,0.124,1.217,0.016,0.386,0.029,0.711,0.005,0.133,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.049,0.005,,
