country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Dominica,1850,DMA,23453,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,,,,,,,,0.158,1.29,0.071,3.014,0.006,0.243,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,,,,,,0.03,0.004,,
Dominica,1851,DMA,23593,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,,,,,,,,,0.159,1.375,0.076,3.241,0.006,0.245,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.001,0,0,0,0,0.032,0.004,,
Dominica,1852,DMA,23734,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,,,,,,,,,0.161,1.401,0.079,3.338,0.006,0.247,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.001,0,0,0,0,0.033,0.004,,
Dominica,1853,DMA,23876,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,,,,,,,,,0.162,1.435,0.081,3.411,0.006,0.25,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.001,0,0,0,0,0.034,0.004,,
Dominica,1854,DMA,24018,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391,,,,,,,,,0.164,1.442,0.083,3.445,0.006,0.253,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.001,0,0,0,0,0.035,0.004,,
Dominica,1855,DMA,24162,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474,,,,,,,,,0.166,1.446,0.084,3.465,0.006,0.256,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.001,0,0,0,0,0.035,0.004,,
Dominica,1856,DMA,24306,,,,,,,,,,,,,,,,,,,,,,,,,,,0.559,,,,,,,,,0.168,1.463,0.085,3.49,0.006,0.26,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.001,0,0,0,0,0.036,0.004,,
Dominica,1857,DMA,24451,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645,,,,,,,,,0.171,1.472,0.086,3.504,0.006,0.263,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.001,0,0,0,0,0.036,0.004,,
Dominica,1858,DMA,24597,,,,,,,,,,,,,,,,,,,,,,,,,,,0.731,,,,,,,,,0.173,1.468,0.086,3.501,0.007,0.267,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.001,0,0,0,0,0.036,0.004,,
Dominica,1859,DMA,24750,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816,,,,,,,,,0.175,1.427,0.086,3.457,0.007,0.27,0,0.014,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.001,0,0,0,0,0.035,0.004,,
