country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
East Timor,1850,TLS,203636,,,,,,,,,,,,,,,,,,,,,,,,,,,2.758,,,,,,,,,0.159,6.378,2.758,13.543,0.238,1.169,0.005,0.026,,,,,,,,,,,,,,,,0.105,,,,,0.105,,,,,,,,1.299,0.032,,
East Timor,1851,TLS,206109,,,,,,,,,,,,,,,,,,,,,,,,,,,4.608,,,,,,,,,0.159,5.214,1.85,8.978,0.24,1.165,0.005,0.026,,,,,,,,,,,,,,,,0.084,,,,,0.066,,,0.025,0,0,0,0,1.075,0.033,,
East Timor,1852,TLS,208613,,,,,,,,,,,,,,,,,,,,,,,,,,,6.422,,,,,,,,,0.159,5.122,1.814,8.695,0.242,1.161,0.005,0.026,,,,,,,,,,,,,,,,0.077,,,,,0.063,,,0.025,0,0,0,0,1.069,0.033,,
East Timor,1853,TLS,211146,,,,,,,,,,,,,,,,,,,,,,,,,,,7.992,,,,,,,,,0.159,4.756,1.57,7.437,0.244,1.157,0.006,0.026,,,,,,,,,,,,,,,,0.071,,,,,0.054,,,0.025,0,0,0,0,1.004,0.033,,
East Timor,1854,TLS,213710,,,,,,,,,,,,,,,,,,,,,,,,,,,9.476,,,,,,,,,0.158,4.608,1.483,6.94,0.247,1.154,0.006,0.027,,,,,,,,,,,,,,,,0.067,,,,,0.051,,,0.024,0,0,0,0,0.985,0.034,,
East Timor,1855,TLS,216305,,,,,,,,,,,,,,,,,,,,,,,,,,,11.544,,,,,,,,,0.158,5.365,2.068,9.562,0.249,1.15,0.006,0.027,,,,,,,,,,,,,,,,0.068,,,,,0.072,,,0.024,0,0,0,0,1.161,0.034,,
East Timor,1856,TLS,218932,,,,,,,,,,,,,,,,,,,,,,,,,,,13.404,,,,,,,,,0.158,5.066,1.86,8.495,0.251,1.146,0.006,0.027,,,,,,,,,,,,,,,,0.067,,,,,0.063,,,0.025,0,0,0,0,1.109,0.035,,
East Timor,1857,TLS,221589,,,,,,,,,,,,,,,,,,,,,,,,,,,14.981,,,,,,,,,0.158,4.651,1.577,7.117,0.253,1.142,0.006,0.027,,,,,,,,,,,,,,,,0.065,,,,,0.053,,,0.024,0,0,0,0,1.031,0.035,,
East Timor,1858,TLS,224279,,,,,,,,,,,,,,,,,,,,,,,,,,,16.466,,,,,,,,,0.157,4.489,1.485,6.623,0.255,1.137,0.006,0.027,,,,,,,,,,,,,,,,0.064,,,,,0.05,,,0.024,0,0,0,0,1.007,0.035,,
East Timor,1859,TLS,227002,,,,,,,,,,,,,,,,,,,,,,,,,,,17.911,,,,,,,,,0.157,4.403,1.444,6.363,0.257,1.133,0.006,0.026,,,,,,,,,,,,,,,,0.062,,,,,0.048,,,0.024,0,0,0,0,0.999,0.036,,
