country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Ecuador,1850,ECU,813456,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09,,,,,,,,,0.296,11.765,10.09,12.404,0.843,1.037,0.044,0.054,,,,,,,,,,,,,,,,0.382,,,,,0.382,,,,,,,,9.57,0.241,,
Ecuador,1851,ECU,824644,,,,,,,,,,,,,,,,,,,,,,,,,,,11.187,,,,,,,,,0.299,0.286,1.097,1.33,0.857,1.039,0.044,0.054,,,,,,,,,,,,,,,,0.205,,,,,0.039,,,0.011,0,0,0,0,0.236,0.246,,
Ecuador,1852,ECU,835079,,,,,,,,,,,,,,,,,,,,,,,,,,,19.988,,,,,,,,,0.303,10.206,8.801,10.539,0.87,1.042,0.045,0.054,,,,,,,,,,,,,,,,0.24,,,,,0.308,,,0.11,0,0,0,0,8.523,0.253,,
Ecuador,1853,ECU,844735,,,,,,,,,,,,,,,,,,,,,,,,,,,34.135,,,,,,,,,0.306,16.323,14.147,16.747,0.884,1.046,0.046,0.054,,,,,,,,,,,,,,,,0.304,,,,,0.487,,,0.184,0,0,0,0,13.788,0.259,,
Ecuador,1854,ECU,854502,,,,,,,,,,,,,,,,,,,,,,,,,,,28.289,,,,,,,,,0.31,-7.74,-5.846,-6.842,0.897,1.05,0.046,0.054,,,,,,,,,,,,,,,,0.2,,,,,-0.201,,,0.1,0,0,0,0,-6.614,0.265,,
Ecuador,1855,ECU,864382,,,,,,,,,,,,,,,,,,,,,,,,,,,45.877,,,,,,,,,0.313,19.421,17.588,20.347,0.91,1.053,0.047,0.054,,,,,,,,,,,,,,,,0.27,,,,,0.611,,,0.16,0,0,0,0,16.787,0.271,,
Ecuador,1856,ECU,874375,,,,,,,,,,,,,,,,,,,,,,,,,,,48.92,,,,,,,,,0.33,3.495,3.044,3.481,0.935,1.069,0.047,0.054,,,,,,,,,,,,,,,,0.245,,,,,0.103,,,0.145,0,0,0,0,3.056,0.288,,
Ecuador,1857,ECU,884484,,,,,,,,,,,,,,,,,,,,,,,,,,,59.453,,,,,,,,,0.323,11.048,10.532,11.908,0.939,1.062,0.048,0.054,,,,,,,,,,,,,,,,0.259,,,,,0.357,,,0.157,0,0,0,0,9.772,0.285,,
Ecuador,1858,ECU,894709,,,,,,,,,,,,,,,,,,,,,,,,,,,68.681,,,,,,,,,0.316,9.328,9.229,10.315,0.944,1.055,0.048,0.054,,,,,,,,,,,,,,,,0.265,,,,,0.31,,,0.162,0,0,0,0,8.346,0.283,,
Ecuador,1859,ECU,905052,,,,,,,,,,,,,,,,,,,,,,,,,,,65.156,,,,,,,,,0.314,-4.629,-3.526,-3.895,0.953,1.053,0.049,0.054,,,,,,,,,,,,,,,,0.225,,,,,-0.116,,,0.133,0,0,0,0,-4.19,0.284,,
Ecuador,1860,ECU,915515,,,,,,,,,,,,,,,,,,,,,,,,,,,54.147,,,,,,,,,0.311,-12.844,-11.009,-12.025,0.961,1.05,0.049,0.053,,,,,,,,,,,,,,,,0.171,,,,,-0.396,,,0.094,0,0,0,0,-11.759,0.285,,
Ecuador,1861,ECU,926097,,,,,,,,,,,,,,,,,,,,,,,,,,,82.466,,,,,,,,,0.309,30.478,28.32,30.58,0.97,1.047,0.049,0.053,,,,,,,,,,,,,,,,0.239,,,,,1.023,,,0.145,0,0,0,0,28.226,0.286,,
Ecuador,1862,ECU,936802,,,,,,,,,,,,,,,,,,,,,,,,,,,100.066,,,,,,,,,0.307,18.205,17.599,18.786,0.978,1.044,0.049,0.053,,,,,,,,,,,,,,,,0.269,,,,,0.642,,,0.166,0,0,0,0,17.054,0.288,,
Ecuador,1863,ECU,947630,,,,,,,,,,,,,,,,,,,,,,,,,,,95.904,,,,,,,,,0.305,-4.263,-4.162,-4.392,0.987,1.041,0.05,0.052,,,,,,,,,,,,,,,,0.24,,,,,-0.154,,,0.147,0,0,0,0,-4.04,0.289,,
Ecuador,1864,ECU,958582,,,,,,,,,,,,,,,,,,,,,,,,,,,103.164,,,,,,,,,0.302,7.592,7.26,7.573,0.996,1.039,0.05,0.052,,,,,,,,,,,,,,,,0.242,,,,,0.277,,,0.149,0,0,0,0,7.278,0.29,,
Ecuador,1865,ECU,969661,,,,,,,,,,,,,,,,,,,,,,,,,,,118.205,,,,,,,,,0.3,15.778,15.041,15.512,1.004,1.036,0.05,0.052,,,,,,,,,,,,,,,,0.262,,,,,0.585,,,0.163,0,0,0,0,15.299,0.291,,
Ecuador,1866,ECU,980867,,,,,,,,,,,,,,,,,,,,,,,,,,,111.177,,,,,,,,,0.298,-7.583,-7.028,-7.165,1.013,1.032,0.05,0.051,,,,,,,,,,,,,,,,0.233,,,,,-0.269,,,0.142,0,0,0,0,-7.438,0.292,,
Ecuador,1867,ECU,992202,,,,,,,,,,,,,,,,,,,,,,,,,,,114.497,,,,,,,,,0.296,3.201,3.32,3.346,1.021,1.029,0.051,0.051,,,,,,,,,,,,,,,,0.228,,,,,0.129,,,0.138,0,0,0,0,3.176,0.294,,
Ecuador,1868,ECU,1003668,,,,,,,,,,,,,,,,,,,,,,,,,,,126.401,,,,,,,,,0.294,11.827,11.904,11.86,1.03,1.026,0.051,0.051,,,,,,,,,,,,,,,,0.239,,,,,0.469,,,0.146,0,0,0,0,11.871,0.295,,
Ecuador,1869,ECU,1015261,,,,,,,,,,,,,,,,,,,,,,,,,,,128.11,,,,,,,,,0.292,1.868,1.709,1.683,1.038,1.023,0.051,0.05,,,,,,,,,,,,,,,,0.231,,,,,0.066,,,0.141,0,0,0,0,1.897,0.296,,
Ecuador,1870,ECU,1026980,769880000,,,,,,,,,,,,,,,,,,,,,,,,,,142.332,,,,,,,,,0.289,13.496,14.223,13.849,1.047,1.02,0.051,0.05,,,,,,,,,,,,,,,,0.244,,,,,0.502,,,0.149,0,0,0,0,13.86,0.297,,
Ecuador,1871,ECU,1038829,,,,,,,,,,,,,,,,,,,,,,,,,,,163.021,,,,,,,,,0.284,18.484,20.688,19.915,1.056,1.016,0.052,0.05,,,,,,,,,,,,,,,,0.267,,,,,0.725,,,0.163,0,0,0,0,19.201,0.295,,
Ecuador,1872,ECU,1050809,,,,,,,,,,,,,,,,,,,,,,,,,,,163.752,,,,,,,,,0.279,-0.448,0.731,0.696,1.065,1.013,0.053,0.051,,,,,,,,,,,,,,,,0.255,,,,,0.024,,,0.154,0,0,0,0,-0.471,0.294,,
Ecuador,1873,ECU,1062920,,,,,,,,,,,,,,,,,,,,,,,,,,,176.134,,,,,,,,,0.275,9.764,12.381,11.649,1.074,1.01,0.055,0.052,,,,,,,,,,,,,,,,0.262,,,,,0.415,,,0.156,0,0,0,0,10.379,0.292,,
Ecuador,1874,ECU,1075170,,,,,,,,,,,,,,,,,,,,,,,,,,,183.834,,,,,,,,,0.271,5.888,7.701,7.162,1.083,1.008,0.057,0.053,,,,,,,,,,,,,,,,0.261,,,,,0.242,,,0.155,0,0,0,0,6.33,0.291,,
Ecuador,1875,ECU,1087561,,,,,,,,,,,,,,,,,,,,,,,,,,,204.997,,,,,,,,,0.267,18.914,21.163,19.459,1.093,1.005,0.06,0.055,,,,,,,,,,,,,,,,0.279,,,,,0.649,,,0.166,0,0,0,0,20.57,0.29,,
Ecuador,1876,ECU,1100095,,,,,,,,,,,,,,,,,,,,,,,,,,,234.483,,,,,,,,,0.269,25.879,29.486,26.803,1.109,1.008,0.062,0.057,,,,,,,,,,,,,,,,0.305,,,,,0.898,,,0.182,0,0,0,0,28.469,0.296,,
Ecuador,1877,ECU,1112772,,,,,,,,,,,,,,,,,,,,,,,,,,,238.306,,,,,,,,,0.272,-0.246,3.823,3.436,1.126,1.012,0.065,0.058,,,,,,,,,,,,,,,,0.298,,,,,0.12,,,0.174,0,0,0,0,-0.273,0.303,,
Ecuador,1878,ECU,1125595,,,,,,,,,,,,,,,,,,,,,,,,,,,250.063,,,,,,,,,0.274,7.12,11.757,10.445,1.142,1.015,0.067,0.059,,,,,,,,,,,,,,,,0.3,,,,,0.359,,,0.173,0,0,0,0,8.015,0.309,,
Ecuador,1879,ECU,1138565,,,,,,,,,,,,,,,,,,,,,,,,,,,240.478,,,,,,,,,0.274,-9.839,-9.586,-8.419,1.156,1.016,0.069,0.06,,,,,,,,,,,,,,,,0.278,,,,,-0.293,,,0.157,0,0,0,0,-11.202,0.312,,
