country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Egypt,1850,EGY,5638537,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,0.453,0.727,0.091,0.016,3.793,0.673,0.275,0.049,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,,,,,,4.101,2.552,,
Egypt,1851,EGY,5723732,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,,,,,,,,,0.446,0.713,-0.016,-0.003,3.797,0.663,0.28,0.049,,,,,,,,,,,,,,,,0.001,,,,,-0.001,,,0.056,0,0,0,0,4.08,2.553,,
Egypt,1852,EGY,5794492,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,,,,,,,,,0.447,0.707,-0.104,-0.018,3.838,0.662,0.285,0.049,,,,,,,,,,,,,,,,0,,,,,-0.004,,,0.057,0,0,0,0,4.099,2.589,,
Egypt,1853,EGY,5850322,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.209,,,,,,,,,0.449,0.705,-0.18,-0.031,3.878,0.663,0.29,0.05,,,,,,,,,,,,,,,,-0.002,,,,,-0.006,,,0.058,0,0,0,0,4.123,2.626,,
Egypt,1854,EGY,5906690,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.457,,,,,,,,,0.451,0.702,-0.248,-0.042,3.919,0.663,0.294,0.05,,,,,,,,,,,,,,,,-0.003,,,,,-0.009,,,0.059,0,0,0,0,4.149,2.663,,
Egypt,1855,EGY,5963599,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.765,,,,,,,,,0.453,0.7,-0.308,-0.052,3.96,0.664,0.299,0.05,,,,,,,,,,,,,,,,-0.004,,,,,-0.011,,,0.06,0,0,0,0,4.177,2.7,,
Egypt,1856,EGY,6021055,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.128,,,,,,,,,0.447,0.691,-0.363,-0.06,3.956,0.657,0.303,0.05,,,,,,,,,,,,,,,,-0.006,,,,,-0.012,,,0.061,0,0,0,0,4.161,2.692,,
Egypt,1857,EGY,6079064,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.541,,,,,,,,,0.449,0.689,-0.413,-0.068,3.997,0.658,0.306,0.05,,,,,,,,,,,,,,,,-0.007,,,,,-0.014,,,0.061,0,0,0,0,4.191,2.728,,
Egypt,1858,EGY,6137630,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,0.451,0.688,-0.459,-0.075,4.04,0.658,0.309,0.05,,,,,,,,,,,,,,,,-0.008,,,,,-0.015,,,0.062,0,0,0,0,4.222,2.766,,
Egypt,1859,EGY,6196759,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.501,,,,,,,,,0.452,0.687,-0.501,-0.081,4.082,0.659,0.311,0.05,,,,,,,,,,,,,,,,-0.009,,,,,-0.016,,,0.063,0,0,0,0,4.254,2.804,,
Egypt,1860,EGY,6256456,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.819,,,,,,,,,0.454,0.696,-0.318,-0.051,4.124,0.659,0.312,0.05,,,,,,,,,,,,,,,,-0.009,,,,,-0.011,,,0.064,0,0,0,0,4.355,2.842,,
Egypt,1861,EGY,6316727,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.021,,,,,,,,,0.457,0.705,-0.203,-0.032,4.188,0.663,0.313,0.05,,,,,,,,,,,,,,,,-0.009,,,,,-0.007,,,0.066,0,0,0,0,4.456,2.886,,
Egypt,1862,EGY,6377577,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.142,,,,,,,,,0.46,0.713,-0.12,-0.019,4.252,0.667,0.314,0.049,,,,,,,,,,,,,,,,-0.008,,,,,-0.004,,,0.068,0,0,0,0,4.546,2.931,,
Egypt,1863,EGY,6439012,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.199,,,,,,,,,0.462,0.719,-0.057,-0.009,4.316,0.67,0.315,0.049,,,,,,,,,,,,,,,,-0.008,,,,,-0.002,,,0.07,0,0,0,0,4.629,2.976,,
Egypt,1864,EGY,6501037,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.204,,,,,,,,,0.465,0.724,-0.005,-0.001,4.381,0.674,0.315,0.049,,,,,,,,,,,,,,,,-0.008,,,,,0,,,0.072,0,0,0,0,4.709,3.022,,
Egypt,1865,EGY,6563659,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.166,,,,,,,,,0.467,0.73,0.038,0.006,4.446,0.677,0.316,0.048,,,,,,,,,,,,,,,,-0.007,,,,,0.001,,,0.075,0,0,0,0,4.789,3.068,,
Egypt,1866,EGY,6626882,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.091,,,,,,,,,0.463,0.727,0.076,0.011,4.463,0.674,0.317,0.048,,,,,,,,,,,,,,,,-0.006,,,,,0.003,,,0.077,0,0,0,0,4.818,3.066,,
Egypt,1867,EGY,6690713,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.982,,,,,,,,,0.465,0.731,0.109,0.016,4.529,0.677,0.318,0.047,,,,,,,,,,,,,,,,-0.006,,,,,0.004,,,0.079,0,0,0,0,4.894,3.112,,
Egypt,1868,EGY,6755157,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.844,,,,,,,,,0.468,0.736,0.138,0.02,4.595,0.68,0.318,0.047,,,,,,,,,,,,,,,,-0.005,,,,,0.005,,,0.081,0,0,0,0,4.97,3.159,,
Egypt,1869,EGY,6820220,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.681,,,,,,,,,0.47,0.74,0.164,0.024,4.661,0.683,0.319,0.047,,,,,,,,,,,,,,,,-0.005,,,,,0.006,,,0.084,0,0,0,0,5.045,3.206,,
Egypt,1870,EGY,6885909,8423555072,,,,,,,,,,,,,,,,,,,,,,,,,,-2.465,,,,,,,,,0.473,0.745,0.215,0.031,4.728,0.687,0.32,0.046,,,,,,,,,,,,,,,,-0.004,,,,,0.008,,,0.086,0,0,0,0,5.133,3.254,,
Egypt,1871,EGY,6952229,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.214,,,,,,,,,0.513,0.789,0.252,0.036,5.059,0.728,0.325,0.047,,,,,,,,,,,,,,,,-0.004,,,,,0.009,,,0.089,0,0,0,0,5.483,3.564,,
Egypt,1872,EGY,7019186,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.933,,,,,,,,,0.478,0.757,0.28,0.04,4.871,0.694,0.336,0.048,,,,,,,,,,,,,,,,-0.003,,,,,0.009,,,0.091,0,0,0,0,5.316,3.356,,
Egypt,1873,EGY,7086786,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.629,,,,,,,,,0.481,0.764,0.304,0.043,4.943,0.698,0.353,0.05,,,,,,,,,,,,,,,,-0.002,,,,,0.01,,,0.093,0,0,0,0,5.412,3.408,,
Egypt,1874,EGY,7155036,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.306,,,,,,,,,0.484,0.77,0.323,0.045,5.016,0.701,0.373,0.052,,,,,,,,,,,,,,,,-0.002,,,,,0.01,,,0.094,0,0,0,0,5.51,3.462,,
Egypt,1875,EGY,7223941,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.966,,,,,,,,,0.487,0.777,0.34,0.047,5.089,0.704,0.395,0.055,,,,,,,,,,,,,,,,-0.001,,,,,0.01,,,0.096,0,0,0,0,5.609,3.516,,
Egypt,1876,EGY,7293509,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.611,,,,,,,,,0.49,0.783,0.355,0.049,5.163,0.708,0.417,0.057,,,,,,,,,,,,,,,,-0.001,,,,,0.011,,,0.097,0,0,0,0,5.71,3.572,,
Egypt,1877,EGY,7363745,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.244,,,,,,,,,0.493,0.789,0.367,0.05,5.238,0.711,0.439,0.06,,,,,,,,,,,,,,,,0,,,,,0.012,,,0.099,0,0,0,0,5.809,3.628,,
Egypt,1878,EGY,7434655,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,,,,,,,,,0.495,0.794,0.377,0.051,5.313,0.715,0.458,0.062,,,,,,,,,,,,,,,,0,,,,,0.012,,,0.101,0,0,0,0,5.906,3.683,,
Egypt,1879,EGY,7511621,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519,,,,,,,,,0.498,0.799,0.386,0.051,5.388,0.717,0.472,0.063,,,,,,,,,,,,,,,,0.001,,,,,0.012,,,0.102,0,0,0,0,5.999,3.74,,
Egypt,1880,EGY,7594768,,,,,,,,,,,,,,,,,,,,,,,,,,,1.342,,,,,,,,,0.5,0.819,0.823,0.108,5.465,0.72,0.482,0.063,,,,,,,,,,,,,,,,0.001,,,,,0.024,,,0.103,0,0,0,0,6.223,3.795,,
Egypt,1881,EGY,7684226,,,,,,,,,,,,,,,,,,,,,,,,,,,2.411,,,,,,,,,0.504,0.839,1.069,0.139,5.609,0.73,0.487,0.063,,,,,,,,,,,,,,,,0.003,,,,,0.032,,,0.105,0,0,0,0,6.45,3.87,,
Egypt,1882,EGY,7780124,,,,,,,,,,,,,,,,,,,,,,,,,,,3.642,,,,,,,,,0.507,0.855,1.231,0.158,5.753,0.739,0.492,0.063,,,,,,,,,,,,,,,,0.004,,,,,0.035,,,0.107,0,0,0,0,6.649,3.946,,
Egypt,1883,EGY,7882597,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99,,,,,,,,,0.51,0.867,1.348,0.171,5.898,0.748,0.496,0.063,,,,,,,,,,,,,,,,0.005,,,,,0.039,,,0.108,0,0,0,0,6.83,4.022,,
Egypt,1884,EGY,7986417,,,,,,,,,,,,,,,,,,,,,,,,,,,6.427,,,,,,,,,0.509,0.873,1.437,0.18,6.015,0.753,0.499,0.063,,,,,,,,,,,,,,,,0.006,,,,,0.04,,,0.11,0,0,0,0,6.975,4.069,,
