country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Equatorial Guinea,1850,GNQ,108091,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,0.518,-0.172,0.008,0.078,0.06,0.556,0.001,0.01,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,-0.019,0.056,,
Equatorial Guinea,1851,GNQ,108945,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988,,,,,,,,,0.51,9.377,0.979,8.989,0.06,0.549,0.001,0.01,,,,,,,,,,,,,,,,0.018,,,,,0.035,,,0.024,0,0,0,0,1.022,0.056,,
Equatorial Guinea,1852,GNQ,109718,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.105,,,,,,,,,0.503,-9.301,-1.093,-9.961,0.059,0.541,0.001,0.01,,,,,,,,,,,,,,,,-0.001,,,,,-0.038,,,-0.001,0,0,0,0,-1.02,0.055,,
Equatorial Guinea,1853,GNQ,110411,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.606,,,,,,,,,0.497,-3.817,-0.501,-4.535,0.059,0.534,0.001,0.01,,,,,,,,,,,,,,,,-0.005,,,,,-0.017,,,-0.004,0,0,0,0,-0.421,0.055,,
Equatorial Guinea,1854,GNQ,111108,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.721,,,,,,,,,0.49,-0.252,-0.116,-1.04,0.059,0.528,0.001,0.011,,,,,,,,,,,,,,,,-0.005,,,,,-0.004,,,-0.004,0,0,0,0,-0.028,0.054,,
Equatorial Guinea,1855,GNQ,111810,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.035,,,,,,,,,0.484,-19.863,-2.314,-20.692,0.058,0.521,0.001,0.011,,,,,,,,,,,,,,,,-0.018,,,,,-0.08,,,-0.014,0,0,0,0,-2.221,0.054,,
Equatorial Guinea,1856,GNQ,112515,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,,,,,,,,,0.478,-5.945,-0.765,-6.798,0.058,0.515,0.001,0.011,,,,,,,,,,,,,,,,-0.019,,,,,-0.026,,,-0.014,0,0,0,0,-0.669,0.054,,
Equatorial Guinea,1857,GNQ,113226,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.427,,,,,,,,,0.472,4.156,0.373,3.29,0.058,0.508,0.001,0.011,,,,,,,,,,,,,,,,-0.015,,,,,0.013,,,-0.011,0,0,0,0,0.471,0.053,,
Equatorial Guinea,1858,GNQ,113940,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.693,,,,,,,,,0.466,-1.458,-0.266,-2.33,0.057,0.502,0.001,0.011,,,,,,,,,,,,,,,,-0.014,,,,,-0.009,,,-0.01,0,0,0,0,-0.166,0.053,,
Equatorial Guinea,1859,GNQ,114660,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.247,,,,,,,,,0.46,30.369,3.446,30.051,0.057,0.496,0.001,0.011,,,,,,,,,,,,,,,,-0.001,,,,,0.113,,,0,0,0,0,0,3.482,0.053,,
Equatorial Guinea,1860,GNQ,115383,,,,,,,,,,,,,,,,,,,,,,,,,,,0.872,,,,,,,,,0.454,10.278,1.119,9.701,0.057,0.49,0.001,0.011,,,,,,,,,,,,,,,,0.003,,,,,0.04,,,0.003,0,0,0,0,1.186,0.052,,
Equatorial Guinea,1861,GNQ,116112,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.146,,,,,,,,,0.448,-8.134,-1.019,-8.772,0.056,0.484,0.001,0.011,,,,,,,,,,,,,,,,0,,,,,-0.037,,,0,0,0,0,0,-0.944,0.052,,
Equatorial Guinea,1862,GNQ,116845,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.371,,,,,,,,,0.443,-18.384,-2.225,-19.04,0.056,0.478,0.001,0.011,,,,,,,,,,,,,,,,-0.006,,,,,-0.081,,,-0.004,0,0,0,0,-2.148,0.052,,
Equatorial Guinea,1863,GNQ,117582,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.303,,,,,,,,,0.444,9.666,1.068,9.084,0.056,0.48,0.001,0.011,,,,,,,,,,,,,,,,-0.003,,,,,0.039,,,-0.002,0,0,0,0,1.137,0.052,,
Equatorial Guinea,1864,GNQ,118324,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.164,,,,,,,,,0.439,1.211,0.139,1.175,0.056,0.474,0.001,0.011,,,,,,,,,,,,,,,,-0.003,,,,,0.005,,,-0.001,0,0,0,0,0.143,0.052,,
Equatorial Guinea,1865,GNQ,119071,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.539,,,,,,,,,0.434,5.611,0.625,5.249,0.056,0.469,0.001,0.011,,,,,,,,,,,,,,,,-0.001,,,,,0.024,,,0,0,0,0,0,0.668,0.052,,
Equatorial Guinea,1866,GNQ,119823,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,,,,,,,,0.429,6.591,0.777,6.488,0.056,0.463,0.001,0.011,,,,,,,,,,,,,,,,0,,,,,0.03,,,0.001,0,0,0,0,0.79,0.051,,
Equatorial Guinea,1867,GNQ,120579,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.044,,,,,,,,,0.423,-10.221,-1.283,-10.639,0.055,0.458,0.001,0.011,,,,,,,,,,,,,,,,-0.002,,,,,-0.05,,,-0.001,0,0,0,0,-1.232,0.051,,
Equatorial Guinea,1868,GNQ,121340,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.952,,,,,,,,,0.418,-23.424,-2.908,-23.965,0.055,0.453,0.001,0.011,,,,,,,,,,,,,,,,-0.007,,,,,-0.115,,,-0.005,0,0,0,0,-2.842,0.051,,
Equatorial Guinea,1869,GNQ,122130,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.755,,,,,,,,,0.413,10.268,1.197,9.801,0.055,0.448,0.001,0.01,,,,,,,,,,,,,,,,-0.005,,,,,0.046,,,-0.003,0,0,0,0,1.254,0.05,,
Equatorial Guinea,1870,GNQ,122950,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.884,,,,,,,,,0.408,-1.587,-0.128,-1.044,0.054,0.442,0.001,0.01,,,,,,,,,,,,,,,,-0.005,,,,,-0.005,,,-0.003,0,0,0,0,-0.195,0.05,,
Equatorial Guinea,1871,GNQ,123801,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.195,,,,,,,,,0.403,5.304,0.688,5.558,0.054,0.437,0.001,0.011,,,,,,,,,,,,,,,,-0.004,,,,,0.024,,,-0.002,0,0,0,0,0.657,0.05,,
Equatorial Guinea,1872,GNQ,124681,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.976,,,,,,,,,0.398,9.546,1.219,9.78,0.054,0.432,0.001,0.011,,,,,,,,,,,,,,,,-0.002,,,,,0.04,,,-0.001,0,0,0,0,1.19,0.05,,
