country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Eritrea,1850,ERI,684015,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235,,,,,,,,,0.084,0.292,0.235,0.344,0.05,0.073,0.06,0.088,,,,,,,,,,,,,,,,0.009,,,,,0.009,,,,,,,,0.199,0.057,,
Eritrea,1851,ERI,692108,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488,,,,,,,,,0.083,0.296,0.253,0.365,0.05,0.073,0.062,0.089,,,,,,,,,,,,,,,,0.009,,,,,0.009,,,0.004,0,0,0,0,0.205,0.058,,
Eritrea,1852,ERI,694755,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,0.084,0.288,0.232,0.334,0.051,0.073,0.063,0.09,,,,,,,,,,,,,,,,0.009,,,,,0.008,,,0.004,0,0,0,0,0.2,0.058,,
Eritrea,1853,ERI,691802,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941,,,,,,,,,0.085,0.285,0.221,0.319,0.051,0.074,0.064,0.092,,,,,,,,,,,,,,,,0.008,,,,,0.008,,,0.004,0,0,0,0,0.198,0.059,,
Eritrea,1854,ERI,688848,,,,,,,,,,,,,,,,,,,,,,,,,,,1.167,,,,,,,,,0.086,0.293,0.226,0.329,0.051,0.075,0.065,0.094,,,,,,,,,,,,,,,,0.008,,,,,0.008,,,0.004,0,0,0,0,0.202,0.059,,
Eritrea,1855,ERI,685894,,,,,,,,,,,,,,,,,,,,,,,,,,,1.402,,,,,,,,,0.087,0.298,0.235,0.343,0.052,0.076,0.066,0.096,,,,,,,,,,,,,,,,0.008,,,,,0.008,,,0.004,0,0,0,0,0.204,0.06,,
Eritrea,1856,ERI,682940,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,,,,0.088,0.305,0.247,0.362,0.052,0.076,0.067,0.098,,,,,,,,,,,,,,,,0.008,,,,,0.008,,,0.004,0,0,0,0,0.208,0.06,,
Eritrea,1857,ERI,679986,,,,,,,,,,,,,,,,,,,,,,,,,,,1.874,,,,,,,,,0.089,0.299,0.225,0.33,0.053,0.077,0.068,0.099,,,,,,,,,,,,,,,,0.008,,,,,0.008,,,0.004,0,0,0,0,0.203,0.061,,
Eritrea,1858,ERI,677032,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,0.09,0.303,0.226,0.333,0.053,0.078,0.068,0.101,,,,,,,,,,,,,,,,0.008,,,,,0.008,,,0.004,0,0,0,0,0.205,0.061,,
Eritrea,1859,ERI,674078,,,,,,,,,,,,,,,,,,,,,,,,,,,2.403,,,,,,,,,0.091,0.334,0.303,0.449,0.053,0.079,0.069,0.102,,,,,,,,,,,,,,,,0.008,,,,,0.01,,,0.004,0,0,0,0,0.225,0.061,,
Eritrea,1860,ERI,671124,,,,,,,,,,,,,,,,,,,,,,,,,,,2.654,,,,,,,,,0.092,0.324,0.252,0.375,0.054,0.08,0.069,0.103,,,,,,,,,,,,,,,,0.008,,,,,0.009,,,0.004,0,0,0,0,0.217,0.062,,
Eritrea,1861,ERI,668171,,,,,,,,,,,,,,,,,,,,,,,,,,,2.902,,,,,,,,,0.094,0.324,0.248,0.371,0.054,0.081,0.069,0.103,,,,,,,,,,,,,,,,0.008,,,,,0.009,,,0.004,0,0,0,0,0.216,0.063,,
Eritrea,1862,ERI,665217,,,,,,,,,,,,,,,,,,,,,,,,,,,3.145,,,,,,,,,0.095,0.329,0.243,0.365,0.055,0.083,0.069,0.104,,,,,,,,,,,,,,,,0.008,,,,,0.009,,,0.004,0,0,0,0,0.219,0.063,,
Eritrea,1863,ERI,662263,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,,,,,,,,,0.097,0.321,0.235,0.355,0.056,0.084,0.069,0.105,,,,,,,,,,,,,,,,0.008,,,,,0.009,,,0.004,0,0,0,0,0.212,0.064,,
Eritrea,1864,ERI,659309,,,,,,,,,,,,,,,,,,,,,,,,,,,3.635,,,,,,,,,0.098,0.331,0.255,0.386,0.056,0.085,0.069,0.105,,,,,,,,,,,,,,,,0.009,,,,,0.01,,,0.004,0,0,0,0,0.218,0.065,,
Eritrea,1865,ERI,656355,,,,,,,,,,,,,,,,,,,,,,,,,,,3.887,,,,,,,,,0.099,0.33,0.252,0.384,0.057,0.087,0.069,0.106,,,,,,,,,,,,,,,,0.009,,,,,0.01,,,0.004,0,0,0,0,0.217,0.065,,
Eritrea,1866,ERI,653401,,,,,,,,,,,,,,,,,,,,,,,,,,,4.117,,,,,,,,,0.101,0.324,0.229,0.351,0.057,0.088,0.07,0.107,,,,,,,,,,,,,,,,0.009,,,,,0.009,,,0.004,0,0,0,0,0.211,0.066,,
Eritrea,1867,ERI,650447,,,,,,,,,,,,,,,,,,,,,,,,,,,4.347,,,,,,,,,0.102,0.329,0.23,0.354,0.058,0.089,0.07,0.107,,,,,,,,,,,,,,,,0.009,,,,,0.009,,,0.004,0,0,0,0,0.214,0.067,,
Eritrea,1868,ERI,647493,,,,,,,,,,,,,,,,,,,,,,,,,,,4.583,,,,,,,,,0.104,0.332,0.237,0.365,0.059,0.091,0.07,0.108,,,,,,,,,,,,,,,,0.009,,,,,0.009,,,0.004,0,0,0,0,0.215,0.067,,
Eritrea,1869,ERI,644668,,,,,,,,,,,,,,,,,,,,,,,,,,,4.819,,,,,,,,,0.105,0.335,0.236,0.365,0.059,0.092,0.07,0.109,,,,,,,,,,,,,,,,0.009,,,,,0.009,,,0.004,0,0,0,0,0.216,0.068,,
Eritrea,1870,ERI,641971,,,,,,,,,,,,,,,,,,,,,,,,,,,5.051,,,,,,,,,0.107,0.335,0.232,0.362,0.06,0.093,0.07,0.109,,,,,,,,,,,,,,,,0.009,,,,,0.008,,,0.004,0,0,0,0,0.215,0.069,,
Eritrea,1871,ERI,639399,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,,,,,,,,,0.108,0.342,0.238,0.373,0.06,0.095,0.071,0.111,,,,,,,,,,,,,,,,0.009,,,,,0.008,,,0.004,0,0,0,0,0.219,0.069,,
Eritrea,1872,ERI,636951,,,,,,,,,,,,,,,,,,,,,,,,,,,5.586,,,,,,,,,0.11,0.371,0.297,0.466,0.061,0.096,0.074,0.116,,,,,,,,,,,,,,,,0.009,,,,,0.01,,,0.004,0,0,0,0,0.236,0.07,,
Eritrea,1873,ERI,634625,,,,,,,,,,,,,,,,,,,,,,,,,,,5.894,,,,,,,,,0.112,0.39,0.307,0.484,0.062,0.097,0.078,0.123,,,,,,,,,,,,,,,,0.009,,,,,0.01,,,0.004,0,0,0,0,0.248,0.071,,
