country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Estonia,1830,EST,376880,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Estonia,1831,EST,381439,,,,0,0,19.459,,,,,,,0.001,,,0,0.001,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Estonia,1832,EST,386053,,,,0,0,-33.032,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Estonia,1833,EST,390722,,,,0,0,25,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Estonia,1850,EST,479333,,,,0.001,,,14.563,,,30.382,,,0.002,,,0.001,0.002,,,,,0.002,14.563,0.002,0,0,14.562,0,,,,0,0,0,0,0.275,19.016,14.562,30.379,0.727,1.516,0.28,0.584,0,0,,,,,0.001,0.514,0.001,,0,0.514,0,,,0.552,,,,,0.552,,,,,,,,9.115,0.132,,
Estonia,1851,EST,485120,,,,,,,,,,,,,,,,,,,,,,,,,,,29.085,,,,,,,,,0.272,18.626,14.523,29.938,0.731,1.507,0.286,0.589,,,,,,,,,,,,,,,,0.533,,,,,0.515,,,0.213,0,0,0,0,9.036,0.132,,
Estonia,1852,EST,490976,,,,,,,,,,,,,,,,,,,,,,,,,,,43.563,,,,,,,,,0.271,18.246,14.477,29.487,0.736,1.498,0.291,0.592,,,,,,,,,,,,,,,,0.524,,,,,0.507,,,0.211,0,0,0,0,8.958,0.133,,
Estonia,1853,EST,496904,,,,,,,,,,,,,,,,,,,,,,,,,,,58.083,,,,,,,,,0.27,18.059,14.521,29.222,0.74,1.489,0.296,0.596,,,,,,,,,,,,,,,,0.518,,,,,0.5,,,0.209,0,0,0,0,8.973,0.134,,
Estonia,1854,EST,502902,,,,,,,,,,,,,,,,,,,,,,,,,,,72.751,,,,,,,,,0.269,18.084,14.668,29.167,0.744,1.48,0.301,0.598,,,,,,,,,,,,,,,,0.515,,,,,0.503,,,0.208,0,0,0,0,9.095,0.135,,
Estonia,1855,EST,508974,,,,0.003,,,14.694,,,28.87,,,0.007,,,0.003,0.007,,,,,0.005,29.257,0.005,0,0,87.442,0,,,,0,0,0,0,0.275,17.869,14.691,28.863,0.749,1.472,0.305,0.6,0,0,,,,,0.001,0.468,0.001,,0,0.159,0,,,0.514,0,,,,0.51,0,,0.208,0,0,0,0,9.095,0.14,,
Estonia,1856,EST,515118,,,,,,,,,,,,,,,,,,,,,,,,,,,102.176,,,,,,,,,0.266,17.685,14.734,28.603,0.753,1.463,0.309,0.6,,,,,,,,,,,,,,,,0.511,,,,,0.496,,,0.207,0,0,0,0,9.11,0.137,,
