country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Finland,1850,FIN,1622623,2472932096,,,,,,,,,,,,,,,,,,,,,,,,,,18.406,,,,,,,,,0.299,11.758,18.406,11.343,1.657,1.021,0.496,0.306,,,,,,,,,,,,,,,,0.698,,,,,0.698,,,,,,,,19.078,0.486,,
Finland,1851,FIN,1636889,,,,,,,,,,,,,,,,,,,,,,,,,,,35.802,,,,,,,,,0.3,10.976,17.396,10.628,1.668,1.019,0.505,0.309,,,,,,,,,,,,,,,,0.656,,,,,0.617,,,0.431,0,0,0,0,17.966,0.491,,
Finland,1852,FIN,1649431,,,,,,,,,,,,,,,,,,,,,,,,,,,53.564,,,,,,,,,0.301,11.034,17.762,10.768,1.678,1.017,0.514,0.312,,,,,,,,,,,,,,,,0.644,,,,,0.622,,,0.432,0,0,0,0,18.199,0.496,,
Finland,1853,FIN,1660217,,,,,,,,,,,,,,,,,,,,,,,,,,,71.519,,,,,,,,,0.302,11.014,17.955,10.815,1.688,1.017,0.522,0.315,,,,,,,,,,,,,,,,0.637,,,,,0.618,,,0.43,0,0,0,0,18.286,0.501,,
Finland,1854,FIN,1671073,,,,,,,,,,,,,,,,,,,,,,,,,,,89.78,,,,,,,,,0.303,11.064,18.261,10.928,1.699,1.017,0.53,0.317,,,,,,,,,,,,,,,,0.635,,,,,0.626,,,0.429,0,0,0,0,18.489,0.506,,
Finland,1855,FIN,1682000,,,,,,,,,,,,,,,,,,,,,,,,,,,108.041,,,,,,,,,0.304,10.932,18.261,10.857,1.709,1.016,0.538,0.32,,,,,,,,,,,,,,,,0.635,,,,,0.634,,,0.429,0,0,0,0,18.387,0.511,,
Finland,1856,FIN,1692999,,,,,,,,,,,,,,,,,,,,,,,,,,,126.724,,,,,,,,,0.305,11.05,18.683,11.035,1.719,1.016,0.544,0.321,,,,,,,,,,,,,,,,0.634,,,,,0.629,,,0.428,0,0,0,0,18.708,0.516,,
Finland,1857,FIN,1704069,,,,,,,,,,,,,,,,,,,,,,,,,,,145.339,,,,,,,,,0.305,10.883,18.616,10.924,1.73,1.015,0.55,0.323,,,,,,,,,,,,,,,,0.634,,,,,0.631,,,0.427,0,0,0,0,18.546,0.521,,
Finland,1858,FIN,1715212,,,,,,,,,,,,,,,,,,,,,,,,,,,163.903,,,,,,,,,0.306,10.729,18.564,10.823,1.741,1.015,0.555,0.324,,,,,,,,,,,,,,,,0.633,,,,,0.624,,,0.425,0,0,0,0,18.402,0.525,,
Finland,1859,FIN,1724467,,,,,,,,,,,,,,,,,,,,,,,,,,,181.977,,,,,,,,,0.307,10.334,18.073,10.481,1.751,1.016,0.559,0.324,,,,,,,,,,,,,,,,0.629,,,,,0.595,,,0.422,0,0,0,0,17.821,0.53,,
