country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
France,1802,FRA,29217510,,,,2.239,,,,,,,,,0.077,,,2.239,0.077,,,,,2.239,,2.239,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.554,,5.554,,0.259,,0.259,,,,,,,,,,,,,,,,,,,
France,1804,FRA,29436651,,,,2.176,,,,,,,,,0.074,,,2.176,0.074,,,,,4.415,,4.415,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,6.851,,6.851,,0.477,,0.477,,,,,,,,,,,,,,,,,,,
France,1810,FRA,30104407,,,,2.121,,,,,,,,,0.07,,,2.121,0.07,,,,,6.537,,6.537,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.372,,5.372,,0.575,,0.575,,,,,,,,,,,,,,,,,,,
France,1811,FRA,30217092,,,,2.052,-0.07,-3.282,,,,,,,0.068,,,2.052,0.068,,,,,8.588,,8.588,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.107,,5.107,,0.73,,0.73,,,,,,,,,,,,,,,,,,,
France,1812,FRA,30330200,,,,2.217,0.165,8.036,,,,,,,0.073,,,2.217,0.073,,,,,10.805,,10.805,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.431,,5.431,,0.887,,0.887,,,,,,,,,,,,,,,,,,,
France,1813,FRA,30443731,,,,2.048,-0.169,-7.603,,,,,,,0.067,,,2.048,0.067,,,,,12.853,,12.853,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,4.971,,4.971,,1.021,,1.021,,,,,,,,,,,,,,,,,,,
France,1814,FRA,30557687,,,,2.092,0.044,2.147,,,,,,,0.068,,,2.092,0.068,,,,,14.945,,14.945,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,4.955,,4.955,,1.148,,1.148,,,,,,,,,,,,,,,,,,,
France,1815,FRA,30672069,,,,2.341,0.249,11.909,,,,,,,0.076,,,2.341,0.076,,,,,17.287,,17.287,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.372,,5.372,,1.285,,1.285,,,,,,,,,,,,,,,,,,,
France,1816,FRA,30786880,,,,2.499,0.158,6.729,,,,,,,0.081,,,2.499,0.081,,,,,19.786,,19.786,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.492,,5.492,,1.423,,1.423,,,,,,,,,,,,,,,,,,,
France,1817,FRA,30902120,,,,2.66,0.161,6.452,,,,,,,0.086,,,2.66,0.086,,,,,22.446,,22.446,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.398,,5.398,,1.559,,1.559,,,,,,,,,,,,,,,,,,,
France,1818,FRA,31017792,,,,2.382,-0.278,-10.468,,,,,,,0.077,,,2.382,0.077,,,,,24.827,,24.827,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,4.634,,4.634,,1.665,,1.665,,,,,,,,,,,,,,,,,,,
France,1819,FRA,31150340,,,,2.557,0.176,7.385,,,,,,,0.082,,,2.557,0.082,,,,,27.385,,27.385,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.022,,5.022,,1.776,,1.776,,,,,,,,,,,,,,,,,,,
France,1820,FRA,31299931,56534515712,,,2.902,0.344,13.467,,,,,,,0.093,0.051,,2.902,0.093,,,,,30.287,,30.287,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.72,,5.72,,1.901,,1.901,,,,,,,,,,,,,,,,,,,
France,1821,FRA,31466736,61405655040,,,3.012,0.11,3.788,,,,,,,0.096,0.049,,3.012,0.096,,,,,33.298,,33.298,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.785,,5.785,,2.024,,2.024,,,,,,,,,,,,,,,,,,,
France,1822,FRA,31650924,59402047488,,,3.169,0.158,5.231,,,,,,,0.1,0.053,,3.169,0.1,,,,,36.468,,36.468,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.867,,5.867,,2.147,,2.147,,,,,,,,,,,,,,,,,,,
France,1823,FRA,31852668,61695754240,,,3.169,0,0,,,,,,,0.1,0.051,,3.169,0.1,,,,,39.637,,39.637,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,5.624,,5.624,,2.258,,2.258,,,,,,,,,,,,,,,,,,,
France,1824,FRA,32055698,63798181888,,,3.517,0.348,10.983,,,,,,,0.11,0.055,,3.517,0.11,,,,,43.155,,43.155,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,6.108,,6.108,,2.38,,2.38,,,,,,,,,,,,,,,,,,,
