country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Gabon,1850,GAB,294784,,,,,,,,,,,,,,,,,,,,,,,,,,,1.537,,,,,,,,,0.121,3.993,1.537,5.214,0.034,0.116,0.013,0.044,,,,,,,,,,,,,,,,0.058,,,,,0.058,,,,,,,,1.177,0.036,,
Gabon,1851,GAB,298381,,,,,,,,,,,,,,,,,,,,,,,,,,,2.986,,,,,,,,,0.12,4.129,1.449,4.856,0.034,0.115,0.013,0.044,,,,,,,,,,,,,,,,0.055,,,,,0.051,,,0.029,0,0,0,0,1.232,0.036,,
Gabon,1852,GAB,301131,,,,,,,,,,,,,,,,,,,,,,,,,,,2.622,,,,,,,,,0.12,-1.738,-0.364,-1.208,0.034,0.114,0.013,0.045,,,,,,,,,,,,,,,,0.032,,,,,-0.013,,,0.008,0,0,0,0,-0.523,0.036,,
Gabon,1853,GAB,303009,,,,,,,,,,,,,,,,,,,,,,,,,,,2.923,,,,,,,,,0.12,0.478,0.301,0.992,0.034,0.114,0.014,0.045,,,,,,,,,,,,,,,,0.026,,,,,0.01,,,0.006,0,0,0,0,0.145,0.036,,
Gabon,1854,GAB,304898,,,,,,,,,,,,,,,,,,,,,,,,,,,3.336,,,,,,,,,0.119,0.863,0.413,1.355,0.034,0.113,0.014,0.045,,,,,,,,,,,,,,,,0.024,,,,,0.014,,,0.006,0,0,0,0,0.263,0.036,,
Gabon,1855,GAB,306799,,,,,,,,,,,,,,,,,,,,,,,,,,,1.885,,,,,,,,,0.119,-5.147,-1.45,-4.728,0.035,0.113,0.014,0.046,,,,,,,,,,,,,,,,0.011,,,,,-0.05,,,-0.003,0,0,0,0,-1.579,0.037,,
Gabon,1856,GAB,308712,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,0.119,-0.595,-0.055,-0.179,0.035,0.112,0.014,0.046,,,,,,,,,,,,,,,,0.009,,,,,-0.002,,,-0.003,0,0,0,0,-0.184,0.037,,
Gabon,1857,GAB,310637,,,,,,,,,,,,,,,,,,,,,,,,,,,2.307,,,,,,,,,0.119,1.154,0.477,1.536,0.035,0.112,0.014,0.046,,,,,,,,,,,,,,,,0.01,,,,,0.016,,,-0.001,0,0,0,0,0.359,0.037,,
Gabon,1858,GAB,312574,,,,,,,,,,,,,,,,,,,,,,,,,,,2.705,,,,,,,,,0.118,0.906,0.397,1.272,0.035,0.111,0.014,0.046,,,,,,,,,,,,,,,,0.01,,,,,0.013,,,-0.001,0,0,0,0,0.283,0.037,,
Gabon,1859,GAB,314523,,,,,,,,,,,,,,,,,,,,,,,,,,,8.403,,,,,,,,,0.118,17.736,5.699,18.118,0.035,0.111,0.015,0.046,,,,,,,,,,,,,,,,0.029,,,,,0.188,,,0.014,0,0,0,0,5.578,0.037,,
Gabon,1860,GAB,316484,,,,,,,,,,,,,,,,,,,,,,,,,,,10.41,,,,,,,,,0.118,5.693,2.007,6.342,0.035,0.11,0.015,0.046,,,,,,,,,,,,,,,,0.033,,,,,0.072,,,0.017,0,0,0,0,1.802,0.037,,
Gabon,1861,GAB,318458,,,,,,,,,,,,,,,,,,,,,,,,,,,10.308,,,,,,,,,0.118,-0.869,-0.103,-0.322,0.035,0.11,0.015,0.046,,,,,,,,,,,,,,,,0.03,,,,,-0.004,,,0.014,0,0,0,0,-0.277,0.038,,
Gabon,1862,GAB,320443,,,,,,,,,,,,,,,,,,,,,,,,,,,7.875,,,,,,,,,0.118,-8.142,-2.433,-7.591,0.035,0.11,0.015,0.046,,,,,,,,,,,,,,,,0.021,,,,,-0.089,,,0.008,0,0,0,0,-2.609,0.038,,
Gabon,1863,GAB,322441,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04,,,,,,,,,0.118,9.31,3.165,9.816,0.036,0.11,0.015,0.046,,,,,,,,,,,,,,,,0.028,,,,,0.117,,,0.013,0,0,0,0,3.002,0.038,,
Gabon,1864,GAB,324452,,,,,,,,,,,,,,,,,,,,,,,,,,,11.415,,,,,,,,,0.118,0.632,0.375,1.157,0.036,0.11,0.015,0.046,,,,,,,,,,,,,,,,0.027,,,,,0.014,,,0.012,0,0,0,0,0.205,0.038,,
Gabon,1865,GAB,326475,,,,,,,,,,,,,,,,,,,,,,,,,,,13.387,,,,,,,,,0.118,5.541,1.972,6.041,0.036,0.11,0.015,0.046,,,,,,,,,,,,,,,,0.03,,,,,0.077,,,0.014,0,0,0,0,1.809,0.038,,
