country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Gambia,1850,GMB,112288,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142,,,,,,,,,0.151,1.818,0.142,1.261,0.146,1.304,0.008,0.073,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,,,,,,0.204,0.017,,
Gambia,1851,GMB,112886,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291,,,,,,,,,0.151,1.834,0.149,1.324,0.146,1.298,0.008,0.074,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.003,0,0,0,0,0.207,0.017,,
Gambia,1852,GMB,113561,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445,,,,,,,,,0.15,1.838,0.154,1.358,0.147,1.291,0.009,0.075,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.003,0,0,0,0,0.209,0.017,,
Gambia,1853,GMB,114313,,,,,,,,,,,,,,,,,,,,,,,,,,,0.603,,,,,,,,,0.149,1.834,0.157,1.376,0.147,1.284,0.009,0.076,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.003,0,0,0,0,0.21,0.017,,
Gambia,1854,GMB,115070,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762,,,,,,,,,0.149,1.828,0.159,1.386,0.147,1.276,0.009,0.077,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.003,0,0,0,0,0.21,0.017,,
Gambia,1855,GMB,115832,,,,,,,,,,,,,,,,,,,,,,,,,,,0.923,,,,,,,,,0.148,1.82,0.161,1.391,0.147,1.269,0.009,0.077,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.003,0,0,0,0,0.211,0.017,,
Gambia,1856,GMB,116599,,,,,,,,,,,,,,,,,,,,,,,,,,,1.085,,,,,,,,,0.147,1.812,0.162,1.39,0.147,1.262,0.009,0.078,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.003,0,0,0,0,0.211,0.017,,
Gambia,1857,GMB,117371,,,,,,,,,,,,,,,,,,,,,,,,,,,1.248,,,,,,,,,0.146,1.802,0.162,1.384,0.147,1.254,0.009,0.078,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.003,0,0,0,0,0.211,0.017,,
Gambia,1858,GMB,118148,,,,,,,,,,,,,,,,,,,,,,,,,,,1.411,,,,,,,,,0.146,1.792,0.163,1.379,0.147,1.247,0.009,0.078,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.003,0,0,0,0,0.212,0.017,,
Gambia,1859,GMB,118931,,,,,,,,,,,,,,,,,,,,,,,,,,,1.574,,,,,,,,,0.145,1.783,0.163,1.374,0.147,1.24,0.009,0.078,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.003,0,0,0,0,0.212,0.017,,
Gambia,1860,GMB,119718,,,,,,,,,,,,,,,,,,,,,,,,,,,1.784,,,,,,,,,0.144,1.886,0.21,1.755,0.148,1.233,0.009,0.078,,,,,,,,,,,,,,,,0.006,,,,,0.008,,,0.003,0,0,0,0,0.226,0.017,,
Gambia,1861,GMB,120511,,,,,,,,,,,,,,,,,,,,,,,,,,,2.016,,,,,,,,,0.143,1.93,0.232,1.927,0.148,1.227,0.009,0.078,,,,,,,,,,,,,,,,0.006,,,,,0.008,,,0.003,0,0,0,0,0.233,0.017,,
