country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Georgia,1830,GEO,1174830,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Georgia,1831,GEO,1185611,,,,0,0,20,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Georgia,1832,GEO,1196490,,,,0,0,-33.333,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Georgia,1833,GEO,1207470,,,,0,0,25,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Georgia,1850,GEO,1410322,,,,0,,,9.2,,,6.523,,,0,,,0,0,,,,,0.001,9.2,0.001,0,0,9.199,0,,,,0,0,0,0,0.316,5.235,9.199,6.523,1.05,0.744,0.137,0.097,0,0,,,,,0,0.324,0,,0,0.324,0,,,0.349,,,,,0.349,,,,,,,,7.383,0.446,,
Georgia,1851,GEO,1423177,,,,,,,,,,,,,,,,,,,,,,,,,,,18.311,,,,,,,,,0.316,5.156,9.111,6.402,1.054,0.741,0.14,0.098,,,,,,,,,,,,,,,,0.335,,,,,0.323,,,0.161,0,0,0,0,7.337,0.45,,
Georgia,1852,GEO,1436149,,,,,,,,,,,,,,,,,,,,,,,,,,,27.338,,,,,,,,,0.316,5.076,9.028,6.286,1.059,0.737,0.142,0.099,,,,,,,,,,,,,,,,0.329,,,,,0.316,,,0.159,0,0,0,0,7.289,0.454,,
Georgia,1853,GEO,1449239,,,,,,,,,,,,,,,,,,,,,,,,,,,36.373,,,,,,,,,0.316,5.057,9.035,6.234,1.063,0.734,0.144,0.1,,,,,,,,,,,,,,,,0.324,,,,,0.311,,,0.159,0,0,0,0,7.329,0.458,,
Georgia,1854,GEO,1462448,,,,,,,,,,,,,,,,,,,,,,,,,,,45.325,,,,,,,,,0.316,4.973,8.952,6.121,1.068,0.73,0.146,0.1,,,,,,,,,,,,,,,,0.321,,,,,0.307,,,0.157,0,0,0,0,7.273,0.462,,
Georgia,1855,GEO,1475778,,,,0.001,,,8.886,,,6.021,,,0.001,,,0.001,0.001,,,,,0.002,18.086,0.002,0,0,54.21,0,,,,0,0,0,0,0.317,4.901,8.885,6.021,1.072,0.727,0.148,0.101,0,0,,,,,0.001,0.283,0.001,,0,0.099,0,,,0.319,0,,,,0.309,0,,0.157,0,0,0,0,7.233,0.468,,
Georgia,1856,GEO,1489229,,,,,,,,,,,,,,,,,,,,,,,,,,,63.178,,,,,,,,,0.316,4.928,8.968,6.022,1.077,0.723,0.15,0.101,,,,,,,,,,,,,,,,0.316,,,,,0.302,,,0.156,0,0,0,0,7.34,0.471,,
Georgia,1857,GEO,1502803,,,,,,,,,,,,,,,,,,,,,,,,,,,72.064,,,,,,,,,0.316,4.841,8.886,5.913,1.082,0.72,0.152,0.101,,,,,,,,,,,,,,,,0.314,,,,,0.301,,,0.155,0,0,0,0,7.275,0.476,,
