country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Germany,1792,DEU,,,,,0.469,,,,,,,,,,,,0.469,,,,,,0.469,,0.469,,0,,0,,,,,,0,,,,,,,,,,0,,,,,,2.139,,2.139,,0.079,,0.079,,,,,,,,,,,,,,,,,,,
Germany,1793,DEU,,,,,0.48,0.011,2.344,,,,,,,,,,0.48,,,,,,0.949,,0.949,,0,,0,,,,,,0,,,,,,,,,,0,,,,,,2.153,,2.153,,0.153,,0.153,,,,,,,,,,,,,,,,,,,
Germany,1794,DEU,,,,,0.443,-0.037,-7.634,,,,,,,,,,0.443,,,,,,1.392,,1.392,,0,,0,,,,,,0,,,,,,,,,,0,,,,,,1.969,,1.969,,0.217,,0.217,,,,,,,,,,,,,,,,,,,
Germany,1795,DEU,,,,,0.447,0.004,0.826,,,,,,,,,,0.447,,,,,,1.839,,1.839,,0,,0,,,,,,0,,,,,,,,,,0,,,,,,2.003,,2.003,,0.277,,0.277,,,,,,,,,,,,,,,,,,,
Germany,1796,DEU,,,,,0.535,0.088,19.672,,,,,,,,,,0.535,,,,,,2.374,,2.374,,0,,0,,,,,,0,,,,,,,,,,0,,,,,,2.418,,2.418,,0.346,,0.346,,,,,,,,,,,,,,,,,,,
Germany,1797,DEU,,,,,0.55,0.015,2.74,,,,,,,,,,0.55,,,,,,2.924,,2.924,,0,,0,,,,,,0,,,,,,,,,,0,,,,,,2.488,,2.488,,0.413,,0.413,,,,,,,,,,,,,,,,,,,
Germany,1798,DEU,,,,,0.575,0.026,4.667,,,,,,,,,,0.575,,,,,,3.499,,3.499,,0,,0,,,,,,0,,,,,,,,,,0,,,,,,2.49,,2.49,,0.478,,0.478,,,,,,,,,,,,,,,,,,,
Germany,1799,DEU,,,,,0.627,0.051,8.917,,,,,,,,,,0.627,,,,,,4.126,,4.126,,0,,0,,,,,,0,,,,,,,,,,0,,,,,,2.28,,2.28,,0.543,,0.543,,,,,,,,,,,,,,,,,,,
Germany,1800,DEU,18000000,,,,0.795,0.169,26.901,,,,,,,0.044,,,0.795,0.044,,,,,4.921,,4.921,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,2.424,,2.424,,0.621,,0.621,,,,,,,,,,,,,,,,,,,
Germany,1801,DEU,18294612,,,,0.535,-0.26,-32.719,,,,,,,0.029,,,0.535,0.029,,,,,5.456,,5.456,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.672,,1.672,,0.662,,0.662,,,,,,,,,,,,,,,,,,,
