country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Grenada,1850,GRD,32863,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,,,,,,0.36,0.896,0.028,0.86,0.021,0.641,0,0.006,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.029,0.012,,
Grenada,1851,GRD,32851,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,0.358,0.883,0.027,0.823,0.021,0.64,0,0.006,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1852,GRD,32793,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082,,,,,,,,,0.357,0.879,0.026,0.803,0.021,0.641,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1853,GRD,32690,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,,,,,,,,,0.359,0.879,0.026,0.791,0.021,0.645,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1854,GRD,32587,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,,,,,,,,,0.361,0.88,0.025,0.781,0.021,0.648,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1855,GRD,32485,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158,,,,,,,,,0.363,0.882,0.025,0.775,0.021,0.652,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1856,GRD,32382,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,,,,,,,,,0.368,0.887,0.025,0.771,0.021,0.659,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1857,GRD,32281,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208,,,,,,,,,0.372,0.893,0.025,0.766,0.021,0.665,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1858,GRD,32179,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232,,,,,,,,,0.377,0.899,0.025,0.764,0.022,0.672,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1859,GRD,32208,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,,,,,,,,,0.381,0.9,0.024,0.758,0.022,0.676,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1860,GRD,32370,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282,,,,,,,,,0.382,0.906,0.025,0.773,0.022,0.677,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.029,0.012,,
Grenada,1861,GRD,32667,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,,,,,,,,,0.382,0.903,0.025,0.772,0.022,0.674,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.012,,
Grenada,1862,GRD,33100,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332,,,,,,,,,0.379,0.894,0.025,0.762,0.022,0.669,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1863,GRD,33671,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357,,,,,,,,,0.375,0.883,0.025,0.75,0.022,0.661,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1864,GRD,34252,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383,,,,,,,,,0.371,0.871,0.025,0.737,0.022,0.654,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1865,GRD,34843,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408,,,,,,,,,0.366,0.859,0.025,0.725,0.022,0.644,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1866,GRD,35445,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433,,,,,,,,,0.361,0.846,0.025,0.712,0.023,0.635,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1867,GRD,36057,,,,,,,,,,,,,,,,,,,,,,,,,,,0.458,,,,,,,,,0.356,0.833,0.025,0.7,0.023,0.626,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1868,GRD,36679,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484,,,,,,,,,0.351,0.821,0.025,0.688,0.023,0.618,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1869,GRD,37257,,,,,,,,,,,,,,,,,,,,,,,,,,,0.509,,,,,,,,,0.346,0.81,0.025,0.678,0.023,0.609,0,0.006,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1870,GRD,37789,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,,,,,,,,,0.341,0.801,0.026,0.676,0.023,0.602,0,0.006,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1871,GRD,38274,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,0.338,0.794,0.026,0.67,0.023,0.596,0,0.006,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1872,GRD,38710,,,,,,,,,,,,,,,,,,,,,,,,,,,0.586,,,,,,,,,0.335,0.787,0.026,0.664,0.023,0.592,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.03,0.013,,
Grenada,1873,GRD,39097,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612,,,,,,,,,0.333,0.782,0.026,0.658,0.023,0.588,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.031,0.013,,
Grenada,1874,GRD,39487,,,,,,,,,,,,,,,,,,,,,,,,,,,0.637,,,,,,,,,0.331,0.777,0.026,0.652,0.023,0.584,0,0.007,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.031,0.013,,
