country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Guinea-Bissau,1850,GNB,211038,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,0.147,1.899,0.26,1.232,0.125,0.592,0.023,0.109,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,0.401,0.031,,
Guinea-Bissau,1851,GNB,211574,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558,,,,,,,,,0.147,2.116,0.298,1.409,0.125,0.591,0.023,0.111,,,,,,,,,,,,,,,,0.01,,,,,0.011,,,0.009,0,0,0,0,0.448,0.031,,
Guinea-Bissau,1852,GNB,212290,,,,,,,,,,,,,,,,,,,,,,,,,,,0.904,,,,,,,,,0.147,2.269,0.346,1.628,0.125,0.59,0.024,0.113,,,,,,,,,,,,,,,,0.011,,,,,0.012,,,0.009,0,0,0,0,0.482,0.031,,
Guinea-Bissau,1853,GNB,213185,,,,,,,,,,,,,,,,,,,,,,,,,,,1.257,,,,,,,,,0.147,2.273,0.353,1.658,0.125,0.588,0.024,0.114,,,,,,,,,,,,,,,,0.011,,,,,0.012,,,0.009,0,0,0,0,0.485,0.031,,
Guinea-Bissau,1854,GNB,214083,,,,,,,,,,,,,,,,,,,,,,,,,,,1.659,,,,,,,,,0.146,2.479,0.402,1.877,0.125,0.586,0.025,0.116,,,,,,,,,,,,,,,,0.012,,,,,0.014,,,0.01,0,0,0,0,0.531,0.031,,
Guinea-Bissau,1855,GNB,214985,,,,,,,,,,,,,,,,,,,,,,,,,,,2.056,,,,,,,,,0.146,2.4,0.397,1.847,0.126,0.584,0.025,0.117,,,,,,,,,,,,,,,,0.012,,,,,0.014,,,0.01,0,0,0,0,0.516,0.031,,
Guinea-Bissau,1856,GNB,215890,,,,,,,,,,,,,,,,,,,,,,,,,,,2.453,,,,,,,,,0.146,2.376,0.397,1.84,0.126,0.582,0.025,0.118,,,,,,,,,,,,,,,,0.012,,,,,0.013,,,0.01,0,0,0,0,0.513,0.031,,
Guinea-Bissau,1857,GNB,216799,,,,,,,,,,,,,,,,,,,,,,,,,,,2.865,,,,,,,,,0.145,2.375,0.412,1.9,0.126,0.58,0.026,0.119,,,,,,,,,,,,,,,,0.012,,,,,0.014,,,0.01,0,0,0,0,0.515,0.032,,
Guinea-Bissau,1858,GNB,217712,,,,,,,,,,,,,,,,,,,,,,,,,,,3.265,,,,,,,,,0.145,2.364,0.4,1.837,0.126,0.578,0.026,0.119,,,,,,,,,,,,,,,,0.013,,,,,0.013,,,0.01,0,0,0,0,0.515,0.032,,
Guinea-Bissau,1859,GNB,218671,,,,,,,,,,,,,,,,,,,,,,,,,,,3.663,,,,,,,,,0.145,2.361,0.398,1.818,0.126,0.576,0.026,0.119,,,,,,,,,,,,,,,,0.013,,,,,0.013,,,0.01,0,0,0,0,0.516,0.032,,
