country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Guyana,1850,GUY,127122,,,,,,,,,,,,,,,,,,,,,,,,,,,5.706,,,,,,,,,1.164,51.443,5.706,44.883,1.136,8.934,0.011,0.088,,,,,,,,,,,,,,,,0.216,,,,,0.216,,,,,,,,6.54,0.148,,
Guyana,1851,GUY,129537,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,,,,,,,,,1.156,-6.753,-1.816,-14.02,1.148,8.866,0.011,0.088,,,,,,,,,,,,,,,,0.071,,,,,-0.064,,,-0.019,0,0,0,0,-0.875,0.15,,
Guyana,1852,GUY,131684,,,,,,,,,,,,,,,,,,,,,,,,,,,6.585,,,,,,,,,1.151,28.107,2.695,20.466,1.161,8.818,0.012,0.087,,,,,,,,,,,,,,,,0.079,,,,,0.094,,,0.036,0,0,0,0,3.701,0.152,,
Guyana,1853,GUY,133552,,,,,,,,,,,,,,,,,,,,,,,,,,,7.574,,,,,,,,,1.148,15.045,0.99,7.411,1.174,8.79,0.012,0.087,,,,,,,,,,,,,,,,0.067,,,,,0.034,,,0.041,0,0,0,0,2.009,0.153,,
Guyana,1854,GUY,135446,,,,,,,,,,,,,,,,,,,,,,,,,,,9.225,,,,,,,,,1.145,18.934,1.651,12.19,1.187,8.761,0.012,0.087,,,,,,,,,,,,,,,,0.065,,,,,0.057,,,0.046,0,0,0,0,2.565,0.155,,
Guyana,1855,GUY,137367,,,,,,,,,,,,,,,,,,,,,,,,,,,12.369,,,,,,,,,1.142,26.996,3.143,22.883,1.199,8.732,0.012,0.087,,,,,,,,,,,,,,,,0.073,,,,,0.109,,,0.055,0,0,0,0,3.708,0.157,,
Guyana,1856,GUY,139315,,,,,,,,,,,,,,,,,,,,,,,,,,,14.929,,,,,,,,,1.138,24.79,2.56,18.379,1.212,8.7,0.012,0.087,,,,,,,,,,,,,,,,0.075,,,,,0.086,,,0.059,0,0,0,0,3.454,0.158,,
Guyana,1857,GUY,141290,,,,,,,,,,,,,,,,,,,,,,,,,,,17.724,,,,,,,,,1.133,26.19,2.794,19.778,1.225,8.668,0.012,0.086,,,,,,,,,,,,,,,,0.077,,,,,0.095,,,0.063,0,0,0,0,3.7,0.16,,
Guyana,1858,GUY,143294,,,,,,,,,,,,,,,,,,,,,,,,,,,21.419,,,,,,,,,1.129,33.082,3.695,25.789,1.237,8.634,0.012,0.086,,,,,,,,,,,,,,,,0.083,,,,,0.124,,,0.069,0,0,0,0,4.74,0.162,,
Guyana,1859,GUY,145688,,,,,,,,,,,,,,,,,,,,,,,,,,,23.493,,,,,,,,,1.121,22.013,2.074,14.237,1.25,8.579,0.012,0.085,,,,,,,,,,,,,,,,0.081,,,,,0.068,,,0.07,0,0,0,0,3.207,0.163,,
Guyana,1860,GUY,148488,,,,,,,,,,,,,,,,,,,,,,,,,,,25.891,,,,,,,,,1.111,22.62,2.398,16.147,1.263,8.502,0.013,0.084,,,,,,,,,,,,,,,,0.082,,,,,0.086,,,0.071,0,0,0,0,3.359,0.165,,
Guyana,1861,GUY,151708,,,,,,,,,,,,,,,,,,,,,,,,,,,28.211,,,,,,,,,1.103,21.832,2.32,15.294,1.281,8.441,0.013,0.083,,,,,,,,,,,,,,,,0.082,,,,,0.084,,,0.071,0,0,0,0,3.312,0.167,,
Guyana,1862,GUY,155365,,,,,,,,,,,,,,,,,,,,,,,,,,,30.263,,,,,,,,,1.093,19.99,2.052,13.208,1.299,8.36,0.013,0.081,,,,,,,,,,,,,,,,0.081,,,,,0.075,,,0.072,0,0,0,0,3.106,0.17,,
Guyana,1863,GUY,159475,,,,,,,,,,,,,,,,,,,,,,,,,,,32.815,,,,,,,,,1.081,22.477,2.551,15.999,1.317,8.259,0.013,0.08,,,,,,,,,,,,,,,,0.082,,,,,0.094,,,0.073,0,0,0,0,3.585,0.172,,
Guyana,1864,GUY,163693,,,,,,,,,,,,,,,,,,,,,,,,,,,35.023,,,,,,,,,1.069,19.701,2.208,13.489,1.335,8.158,0.013,0.078,,,,,,,,,,,,,,,,0.082,,,,,0.084,,,0.074,0,0,0,0,3.225,0.175,,
Guyana,1865,GUY,168024,,,,,,,,,,,,,,,,,,,,,,,,,,,38.233,,,,,,,,,1.056,25.443,3.211,19.108,1.354,8.056,0.013,0.077,,,,,,,,,,,,,,,,0.085,,,,,0.125,,,0.076,0,0,0,0,4.275,0.177,,
Guyana,1866,GUY,172469,,,,,,,,,,,,,,,,,,,,,,,,,,,40.378,,,,,,,,,1.043,18.509,2.145,12.437,1.372,7.954,0.013,0.075,,,,,,,,,,,,,,,,0.085,,,,,0.082,,,0.076,0,0,0,0,3.192,0.18,,
Guyana,1867,GUY,177031,,,,,,,,,,,,,,,,,,,,,,,,,,,43.518,,,,,,,,,1.03,24.106,3.14,17.738,1.39,7.852,0.013,0.074,,,,,,,,,,,,,,,,0.086,,,,,0.122,,,0.077,0,0,0,0,4.268,0.182,,
Guyana,1868,GUY,181714,,,,,,,,,,,,,,,,,,,,,,,,,,,46.627,,,,,,,,,1.017,23.067,3.109,17.11,1.408,7.749,0.013,0.072,,,,,,,,,,,,,,,,0.088,,,,,0.122,,,0.079,0,0,0,0,4.192,0.185,,
Guyana,1869,GUY,186526,,,,,,,,,,,,,,,,,,,,,,,,,,,49.878,,,,,,,,,1.004,23.651,3.251,17.428,1.426,7.647,0.013,0.071,,,,,,,,,,,,,,,,0.09,,,,,0.126,,,0.08,0,0,0,0,4.412,0.187,,
Guyana,1870,GUY,191470,,,,,,,,,,,,,,,,,,,,,,,,,,,53.565,,,,,,,,,0.991,24.265,3.687,19.255,1.445,7.545,0.013,0.069,,,,,,,,,,,,,,,,0.092,,,,,0.13,,,0.082,0,0,0,0,4.646,0.19,,
Guyana,1871,GUY,196550,,,,,,,,,,,,,,,,,,,,,,,,,,,56.624,,,,,,,,,0.98,20.71,3.059,15.563,1.466,7.456,0.013,0.068,,,,,,,,,,,,,,,,0.093,,,,,0.107,,,0.082,0,0,0,0,4.07,0.193,,
