country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
High-income countries,1750,,164555494,,0,0,9.306,,,,,,,,,0.049,,,9.306,0.049,,,,0,9.306,,9.306,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1751,,,,0,,9.407,0.101,1.088,,,,,,,,,,9.407,,,,,0,18.713,,18.713,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1752,,,,0,,9.505,0.098,1.041,,,,,,,,,,9.505,,,,,0,28.218,,28.218,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1753,,,,0,,9.61,0.105,1.108,,,,,,,,,,9.61,,,,,0,37.829,,37.829,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1754,,,,0,,9.734,0.123,1.281,,,,,,,,,,9.734,,,,,0,47.562,,47.562,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1755,,,,0,,9.793,0.06,0.615,,,,,,,,,,9.793,,,,,0,57.356,,57.356,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1756,,,,0,,9.91,0.116,1.189,,,,,,,,,,9.91,,,,,0,67.266,,67.266,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1757,,,,0,,10.094,0.184,1.857,,,,,,,,,,10.094,,,,,0,77.36,,77.36,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1758,,,,0,,10.216,0.122,1.213,,,,,,,,,,10.216,,,,,0,87.576,,87.576,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1759,,,,0,,10.339,0.122,1.199,,,,,,,,,,10.339,,,,,0,97.915,,97.915,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1760,,170242713,,0,0,10.514,0.175,1.697,,,,,,,0.054,,,10.514,0.054,,,,0,108.429,,108.429,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1761,,,,0,,10.748,0.234,2.221,,,,,,,,,,10.748,,,,,0,119.177,,119.177,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1762,,,,0,,10.952,0.204,1.901,,,,,,,,,,10.952,,,,,0,130.129,,130.129,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1763,,,,0,,11.192,0.239,2.186,,,,,,,,,,11.192,,,,,0,141.321,,141.321,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
High-income countries,1764,,,,0,,11.397,0.205,1.835,,,,,,,,,,11.397,,,,,0,152.718,,152.718,0,0,,0,,,,0,,0,,,,,,,,,,0,,,,,,100,,100,,100,,100,,,,,,,,,,,,,,,,,,,
