country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Hong Kong,1850,HKG,38893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648,0.709,,,0.006,0.156,0.022,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.025,,
Hong Kong,1851,HKG,40811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.641,0.703,,,0.007,0.169,0.022,0.535,,,,,,,,,,,,,,,,,,,,,,,,0.001,0,0,0,0,0.029,0.026,,
Hong Kong,1852,HKG,42928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632,0.695,,,0.008,0.18,0.022,0.516,,,,,,,,,,,,,,,,,,,,,,,,0.001,0,0,0,0,0.03,0.027,,
Hong Kong,1853,HKG,45258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.685,,,0.009,0.189,0.022,0.496,,,,,,,,,,,,,,,,,,,,,,,,0.001,0,0,0,0,0.031,0.028,,
Hong Kong,1854,HKG,47817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607,0.671,,,0.009,0.196,0.023,0.475,,,,,,,,,,,,,,,,,,,,,,,,0.001,0,0,0,0,0.032,0.029,,
Hong Kong,1855,HKG,50623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592,0.656,,,0.01,0.202,0.023,0.455,,,,,,,,,,,,,,,,,,,,,,,,0.001,0,0,0,0,0.033,0.03,,
Hong Kong,1856,HKG,53692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576,0.639,,,0.011,0.206,0.023,0.433,,,,,,,,,,,,,,,,,,,,,,,,0.001,0,0,0,0,0.034,0.031,,
Hong Kong,1857,HKG,57045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558,0.621,,,0.012,0.209,0.024,0.412,,,,,,,,,,,,,,,,,,,,,,,,0.001,0,0,0,0,0.035,0.032,,
Hong Kong,1858,HKG,60702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.601,,,0.013,0.21,0.024,0.391,,,,,,,,,,,,,,,,,,,,,,,,0.001,0,0,0,0,0.036,0.033,,
Hong Kong,1859,HKG,64685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.581,,,0.014,0.211,0.024,0.37,,,,,,,,,,,,,,,,,,,,,,,,0.001,0,0,0,0,0.038,0.034,,
