country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Hungary,1830,HUN,4460196,,,,0.114,,,,,,,,,0.025,,,0.114,0.025,,,,,0.114,,0.114,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.128,,0.128,,0.005,,0.005,,,,,,,,,,,,,,,,,,,
Hungary,1831,HUN,4492873,,,,0.07,-0.044,-38.71,,,,,,,0.015,,,0.07,0.015,,,,,0.183,,0.183,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.084,,0.084,,0.008,,0.008,,,,,,,,,,,,,,,,,,,
Hungary,1832,HUN,4525789,,,,0.088,0.018,26.316,,,,,,,0.019,,,0.088,0.019,,,,,0.271,,0.271,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.107,,0.107,,0.011,,0.011,,,,,,,,,,,,,,,,,,,
Hungary,1833,HUN,4558946,,,,0.066,-0.022,-25,,,,,,,0.014,,,0.066,0.014,,,,,0.337,,0.337,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.079,,0.079,,0.014,,0.014,,,,,,,,,,,,,,,,,,,
Hungary,1834,HUN,4592346,,,,0.07,0.004,5.556,,,,,,,0.015,,,0.07,0.015,,,,,0.407,,0.407,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.078,,0.078,,0.016,,0.016,,,,,,,,,,,,,,,,,,,
Hungary,1835,HUN,4625990,,,,0.051,-0.018,-26.316,,,,,,,0.011,,,0.051,0.011,,,,,0.458,,0.458,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.053,,0.053,,0.017,,0.017,,,,,,,,,,,,,,,,,,,
Hungary,1836,HUN,4659881,,,,0.084,0.033,64.286,,,,,,,0.018,,,0.084,0.018,,,,,0.542,,0.542,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.079,,0.079,,0.02,,0.02,,,,,,,,,,,,,,,,,,,
Hungary,1837,HUN,4694021,,,,0.07,-0.015,-17.391,,,,,,,0.015,,,0.07,0.015,,,,,0.612,,0.612,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.066,,0.066,,0.021,,0.021,,,,,,,,,,,,,,,,,,,
Hungary,1838,HUN,4728411,,,,0.062,-0.007,-10.526,,,,,,,0.013,,,0.062,0.013,,,,,0.674,,0.674,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.059,,0.059,,0.023,,0.023,,,,,,,,,,,,,,,,,,,
Hungary,1839,HUN,4763052,,,,0.139,0.077,123.529,,,,,,,0.029,,,0.139,0.029,,,,,0.813,,0.813,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.127,,0.127,,0.026,,0.026,,,,,,,,,,,,,,,,,,,
