country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Indonesia,1850,IDN,21979198,16635347968,,,,,,,,,,,,,,,,,,,,,,,,,,89.678,,,,,,,,,0.235,4.41,89.678,4.08,17.159,0.781,0.863,0.039,,,,,,,,,,,,,,,,3.399,,,,,3.399,,,,,,,,96.917,5.171,,
Indonesia,1851,IDN,22178120,17292791808,,,,,,,,,,,,,,,,,,,,,,,,,,257.241,,,,,,,,,0.236,6.459,167.563,7.555,17.379,0.784,0.879,0.04,,,,,,,,,,,,,,,,4.713,,,,,5.943,,,3.407,0,0,0,0,143.241,5.235,,
Indonesia,1852,IDN,22382251,16858103808,,,,,,,,,,,,,,,,,,,,,,,,,,445.137,,,,,,,,,0.237,6.788,187.896,8.395,17.598,0.786,0.894,0.04,,,,,,,,,,,,,,,,5.353,,,,,6.576,,,3.495,0,0,0,0,151.931,5.299,,
Indonesia,1853,IDN,22591664,17671512064,,,,,,,,,,,,,,,,,,,,,,,,,,656.1,,,,,,,,,0.237,7.449,210.963,9.338,17.818,0.789,0.908,0.04,,,,,,,,,,,,,,,,5.847,,,,,7.261,,,3.638,0,0,0,0,168.279,5.364,,
Indonesia,1854,IDN,22806435,17105948672,,,,,,,,,,,,,,,,,,,,,,,,,,904.657,,,,,,,,,0.238,8.411,248.557,10.899,18.038,0.791,0.922,0.04,,,,,,,,,,,,,,,,6.4,,,,,8.527,,,3.833,0,0,0,0,191.823,5.428,,
Indonesia,1855,IDN,23026638,18156148736,,,,,,,,,,,,,,,,,,,,,,,,,,1149.786,,,,,,,,,0.239,8.077,245.129,10.645,18.258,0.793,0.935,0.041,,,,,,,,,,,,,,,,6.758,,,,,8.516,,,3.929,0,0,0,0,185.995,5.493,,
Indonesia,1856,IDN,23252349,19621343232,,,,,,,,,,,,,,,,,,,,,,,,,,1411.098,,,,,,,,,0.239,8.515,261.312,11.238,18.478,0.795,0.947,0.041,,,,,,,,,,,,,,,,7.061,,,,,8.802,,,4.024,0,0,0,0,198.002,5.558,,
Indonesia,1857,IDN,23483647,19026655232,,,,,,,,,,,,,,,,,,,,,,,,,,1657.522,,,,,,,,,0.239,8.032,246.425,10.493,18.699,0.796,0.957,0.041,,,,,,,,,,,,,,,,7.227,,,,,8.35,,,4.062,0,0,0.001,0,188.624,5.623,,
Indonesia,1858,IDN,23720608,20531480576,,,,,,,,,,,,,,,,,,,,,,,,,,1920.354,,,,,,,,,0.24,8.558,262.832,11.08,18.92,0.798,0.966,0.041,,,,,,,,,,,,,,,,7.412,,,,,8.835,,,4.131,0,0.001,0.001,0,203.008,5.688,,
Indonesia,1859,IDN,23963313,20794943488,,,,,,,,,,,,,,,,,,,,,,,,,,2195.805,,,,,,,,,0.24,8.882,275.451,11.495,19.141,0.799,0.973,0.041,,,,,,,,,,,,,,,,7.585,,,,,9.065,,,4.201,0,0.001,0.001,0,212.838,5.753,,
Indonesia,1860,IDN,24211841,21113001984,,,,,,,,,,,,,,,,,,,,,,,,,,2473.956,,,,,,,,,0.24,9.026,278.151,11.488,19.363,0.8,0.978,0.04,,,,,,,,,,,,,,,,7.797,,,,,10.002,,,4.291,0,0.001,0.001,0,218.538,5.818,,
Indonesia,1861,IDN,24475468,21487448064,,,,,,,,,,,,,,,,,,,,,,,,,,2739.454,,,,,,,,,0.24,8.526,265.497,10.847,19.584,0.8,0.981,0.04,,,,,,,,,,,,,,,,7.941,,,,,9.594,,,4.343,0,0.001,0.001,0,208.687,5.883,,
Indonesia,1862,IDN,24753229,20311830528,,,,,,,,,,,,,,,,,,,,,,,,,,3015.421,,,,,,,,,0.24,8.785,275.967,11.149,19.807,0.8,0.984,0.04,,,,,,,,,,,,,,,,8.098,,,,,10.07,,,4.406,0,0.001,0.001,0,217.465,5.948,,
Indonesia,1863,IDN,25040404,20626731008,,,,,,,,,,,,,,,,,,,,,,,,,,3285.427,,,,,,,,,0.24,8.57,270.006,10.783,20.029,0.8,0.987,0.039,,,,,,,,,,,,,,,,8.225,,,,,9.974,,,4.454,0,0.001,0.001,0,214.594,6.014,,
Indonesia,1864,IDN,25332913,20622651392,,,,,,,,,,,,,,,,,,,,,,,,,,3524.63,,,,,,,,,0.24,7.704,239.203,9.442,20.252,0.799,0.99,0.039,,,,,,,,,,,,,,,,8.281,,,,,9.134,,,4.466,0,0.001,0.001,0,195.168,6.08,,
Indonesia,1865,IDN,25622963,21407119360,,,,,,,,,,,,,,,,,,,,,,,,,,3770.725,,,,,,,,,0.24,7.761,246.095,9.604,20.475,0.799,0.993,0.039,,,,,,,,,,,,,,,,8.354,,,,,9.57,,,4.484,0,0.001,0.001,0,198.86,6.146,,
Indonesia,1866,IDN,25908734,22096799744,,,,,,,,,,,,,,,,,,,,,,,,,,4028.703,,,,,,,,,0.24,8.104,257.978,9.957,20.698,0.799,0.996,0.038,,,,,,,,,,,,,,,,8.438,,,,,9.891,,,4.511,0,0.001,0.001,0,209.97,6.213,,
Indonesia,1867,IDN,26196694,23079266304,,,,,,,,,,,,,,,,,,,,,,,,,,4285.053,,,,,,,,,0.24,7.938,256.349,9.786,20.921,0.799,0.998,0.038,,,,,,,,,,,,,,,,8.517,,,,,9.974,,,4.533,0,0.001,0.001,0,207.946,6.28,,
Indonesia,1868,IDN,26484434,22611200000,,,,,,,,,,,,,,,,,,,,,,,,,,4539.8,,,,,,,,,0.24,7.843,254.747,9.619,21.145,0.798,1.001,0.038,,,,,,,,,,,,,,,,8.59,,,,,10.035,,,4.553,0,0.001,0.002,0,207.71,6.347,,
Indonesia,1869,IDN,26770170,22501117952,,,,,,,,,,,,,,,,,,,,,,,,,,4805.021,,,,,,,,,0.24,8.092,265.221,9.907,21.369,0.798,1.005,0.038,,,,,,,,,,,,,,,,8.668,,,,,10.26,,,4.578,0,0.002,0.002,0,216.623,6.414,,
Indonesia,1870,IDN,27068109,26521829376,,,,,,,,,,,,,,,,,,,,,,,,,,5043.387,,,,,,,,,0.24,7.186,238.366,8.806,21.597,0.798,1.008,0.037,,,,,,,,,,,,,,,,8.655,,,,,8.408,,,4.561,0,0.002,0.002,0,194.498,6.485,,
Indonesia,1871,IDN,27359831,26818148352,,,,,,,,,,,,,,,,,,,,,,,,,,5283.985,,,,,,,,,0.241,7.356,240.598,8.794,21.903,0.801,1.023,0.037,,,,,,,,,,,,,,,,8.644,,,,,8.429,,,4.548,0,0.002,0.002,0,201.263,6.583,,
Indonesia,1872,IDN,27677143,27719510016,,,,,,,,,,,,,,,,,,,,,,,,,,5518.442,,,,,,,,,0.242,7.147,234.457,8.471,22.214,0.803,1.056,0.038,,,,,,,,,,,,,,,,8.599,,,,,7.681,,,4.518,0,0.002,0.002,0,197.805,6.689,,
Indonesia,1873,IDN,27991648,27423303680,,,,,,,,,,,,,,,,,,,,,,,,,,5765.343,,,,,,,,,0.242,7.485,246.901,8.821,22.516,0.804,1.104,0.039,,,,,,,,,,,,,,,,8.585,,,,,8.285,,,4.503,0,0.002,0.002,0,209.504,6.787,,
Indonesia,1874,IDN,28299937,27323338752,,,,,,,,,,,,,,,,,,,,,,,,,,6005.872,,,,,,,,,0.243,7.355,240.528,8.499,22.811,0.806,1.162,0.041,,,,,,,,,,,,,,,,8.539,,,,,7.569,,,4.482,0,0.002,0.002,0,208.139,6.88,,
Indonesia,1875,IDN,28628960,28630784000,,,,,,,,,,,,,,,,,,,,,,,,,,6243.456,,,,,,,,,0.243,7.178,237.584,8.299,23.091,0.807,1.226,0.043,,,,,,,,,,,,,,,,8.483,,,,,7.282,,,4.453,0,0.002,0.002,0,205.501,6.958,,
Indonesia,1876,IDN,28957731,28746520576,,,,,,,,,,,,,,,,,,,,,,,,,,6466.372,,,,,,,,,0.243,6.786,222.916,7.698,23.369,0.807,1.291,0.045,,,,,,,,,,,,,,,,8.411,,,,,6.789,,,4.417,0,0.002,0.002,0,196.52,7.035,,
