country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Iran,1850,IRN,7506013,,,,,,,,,,,,,,,,,,,,,,,,,,,5.921,,,,,,,,,0.301,1.449,5.921,0.789,6.092,0.812,0.516,0.069,,,,,,,,,,,,,,,,0.224,,,,,0.224,,,,,,,,10.875,2.26,,
Iran,1851,IRN,7547398,,,,,,,,,,,,,,,,,,,,,,,,,,,11.832,,,,,,,,,0.301,1.445,5.911,0.783,6.12,0.811,0.526,0.07,,,,,,,,,,,,,,,,0.217,,,,,0.21,,,0.215,0,0,0,0,10.909,2.271,,
Iran,1852,IRN,7590963,,,,,,,,,,,,,,,,,,,,,,,,,,,17.739,,,,,,,,,0.301,1.442,5.907,0.778,6.149,0.81,0.535,0.071,,,,,,,,,,,,,,,,0.213,,,,,0.207,,,0.214,0,0,0,0,10.946,2.282,,
Iran,1853,IRN,7636730,,,,,,,,,,,,,,,,,,,,,,,,,,,23.645,,,,,,,,,0.3,1.438,5.906,0.773,6.177,0.809,0.545,0.071,,,,,,,,,,,,,,,,0.211,,,,,0.203,,,0.212,0,0,0,0,10.984,2.293,,
Iran,1854,IRN,7682773,,,,,,,,,,,,,,,,,,,,,,,,,,,29.552,,,,,,,,,0.3,1.435,5.907,0.769,6.205,0.808,0.553,0.072,,,,,,,,,,,,,,,,0.209,,,,,0.203,,,0.211,0,0,0,0,11.022,2.303,,
Iran,1855,IRN,7729093,,,,,,,,,,,,,,,,,,,,,,,,,,,35.46,,,,,,,,,0.299,1.431,5.908,0.764,6.233,0.806,0.561,0.073,,,,,,,,,,,,,,,,0.208,,,,,0.205,,,0.21,0,0,0,0,11.06,2.314,,
Iran,1856,IRN,7775691,,,,,,,,,,,,,,,,,,,,,,,,,,,41.369,,,,,,,,,0.299,1.427,5.909,0.76,6.261,0.805,0.568,0.073,,,,,,,,,,,,,,,,0.207,,,,,0.199,,,0.209,0,0,0,0,11.097,2.324,,
Iran,1857,IRN,7822570,,,,,,,,,,,,,,,,,,,,,,,,,,,47.279,,,,,,,,,0.298,1.423,5.91,0.756,6.289,0.804,0.574,0.073,,,,,,,,,,,,,,,,0.206,,,,,0.2,,,0.209,0,0,0,0,11.134,2.335,,
Iran,1858,IRN,7869731,,,,,,,,,,,,,,,,,,,,,,,,,,,53.19,,,,,,,,,0.298,1.419,5.911,0.751,6.317,0.803,0.58,0.074,,,,,,,,,,,,,,,,0.205,,,,,0.199,,,0.208,0,0,0,0,11.169,2.345,,
Iran,1859,IRN,7917176,,,,,,,,,,,,,,,,,,,,,,,,,,,59.101,,,,,,,,,0.297,1.415,5.911,0.747,6.345,0.801,0.584,0.074,,,,,,,,,,,,,,,,0.204,,,,,0.195,,,0.207,0,0,0,0,11.203,2.355,,
