country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Iraq,1850,IRQ,1249026,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546,,,,,,,,,0.203,1.151,0.546,0.437,0.907,0.726,0.199,0.159,,,,,,,,,,,,,,,,0.021,,,,,0.021,,,,,,,,1.438,0.253,,
Iraq,1851,IRQ,1255461,,,,,,,,,,,,,,,,,,,,,,,,,,,1.095,,,,,,,,,0.203,1.157,0.549,0.437,0.913,0.727,0.203,0.162,,,,,,,,,,,,,,,,0.02,,,,,0.019,,,0.027,0,0,0,0,1.453,0.255,,
Iraq,1852,IRQ,1261594,,,,,,,,,,,,,,,,,,,,,,,,,,,1.645,,,,,,,,,0.204,1.163,0.55,0.436,0.919,0.729,0.207,0.164,,,,,,,,,,,,,,,,0.02,,,,,0.019,,,0.027,0,0,0,0,1.467,0.257,,
Iraq,1853,IRQ,1267421,,,,,,,,,,,,,,,,,,,,,,,,,,,2.194,,,,,,,,,0.204,1.168,0.55,0.434,0.926,0.73,0.21,0.166,,,,,,,,,,,,,,,,0.02,,,,,0.019,,,0.027,0,0,0,0,1.481,0.259,,
Iraq,1854,IRQ,1273272,,,,,,,,,,,,,,,,,,,,,,,,,,,2.743,,,,,,,,,0.205,1.174,0.548,0.431,0.932,0.732,0.214,0.168,,,,,,,,,,,,,,,,0.019,,,,,0.019,,,0.027,0,0,0,0,1.494,0.26,,
Iraq,1855,IRQ,1279148,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,,,,,,,0.205,1.178,0.547,0.428,0.938,0.733,0.217,0.17,,,,,,,,,,,,,,,,0.019,,,,,0.019,,,0.028,0,0,0,0,1.507,0.262,,
Iraq,1856,IRQ,1285047,,,,,,,,,,,,,,,,,,,,,,,,,,,3.835,,,,,,,,,0.206,1.183,0.545,0.424,0.944,0.735,0.22,0.171,,,,,,,,,,,,,,,,0.019,,,,,0.018,,,0.028,0,0,0,0,1.52,0.264,,
Iraq,1857,IRQ,1290972,,,,,,,,,,,,,,,,,,,,,,,,,,,4.379,,,,,,,,,0.206,1.187,0.544,0.421,0.95,0.736,0.222,0.172,,,,,,,,,,,,,,,,0.019,,,,,0.018,,,0.028,0,0,0,0,1.532,0.266,,
Iraq,1858,IRQ,1296921,,,,,,,,,,,,,,,,,,,,,,,,,,,4.921,,,,,,,,,0.206,1.19,0.542,0.418,0.956,0.737,0.224,0.173,,,,,,,,,,,,,,,,0.019,,,,,0.018,,,0.028,0,0,0,0,1.543,0.268,,
Iraq,1859,IRQ,1307425,,,,,,,,,,,,,,,,,,,,,,,,,,,5.461,,,,,,,,,0.206,1.189,0.54,0.413,0.962,0.736,0.226,0.173,,,,,,,,,,,,,,,,0.019,,,,,0.018,,,0.028,0,0,0,0,1.554,0.269,,
