country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Israel,1850,ISR,210992,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,1.402,2.321,0.031,0.148,0.345,1.633,0.066,0.313,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.49,0.296,,
Israel,1851,ISR,211998,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,,,,,,,,,1.402,2.321,0.03,0.143,0.346,1.631,0.067,0.317,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.008,0,0,0,0,0.492,0.297,,
Israel,1852,ISR,213358,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,1.399,2.316,0.029,0.137,0.347,1.627,0.068,0.32,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.008,0,0,0,0,0.494,0.299,,
Israel,1853,ISR,215073,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,,,,,,,,1.394,2.307,0.028,0.13,0.348,1.62,0.069,0.322,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.008,0,0,0,0,0.496,0.3,,
Israel,1854,ISR,216802,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,,,,,,,,,1.389,2.298,0.027,0.123,0.35,1.613,0.07,0.324,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.008,0,0,0,0,0.498,0.301,,
Israel,1855,ISR,218545,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,1.384,2.289,0.025,0.115,0.351,1.606,0.071,0.325,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.008,0,0,0,0,0.5,0.303,,
Israel,1856,ISR,220302,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,,,,,,,,,1.379,2.279,0.024,0.108,0.352,1.599,0.072,0.327,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.008,0,0,0,0,0.502,0.304,,
Israel,1857,ISR,222073,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216,,,,,,,,,1.374,2.268,0.022,0.1,0.353,1.591,0.073,0.327,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.008,0,0,0,0,0.504,0.305,,
Israel,1858,ISR,223858,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237,,,,,,,,,1.368,2.258,0.021,0.092,0.355,1.584,0.073,0.328,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.008,0,0,0,0,0.505,0.306,,
Israel,1859,ISR,226101,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256,,,,,,,,,1.36,2.242,0.019,0.085,0.356,1.574,0.074,0.327,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.008,0,0,0,0,0.507,0.307,,
