country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Japan,1850,JPN,32050374,45952000000,,,,,,,,,,,,,,,,,,,,,,,,,,17.343,,,,,,,,,0.126,0.778,17.343,0.541,8.716,0.272,2.234,0.07,,,,,,,,,,,,,,,,0.657,,,,,0.657,,,,,,,,24.932,4.051,,
Japan,1851,JPN,32138471,,,,,,,,,,,,,,,,,,,,,,,,,,,31.494,,,,,,,,,0.127,0.678,14.151,0.44,8.746,0.272,2.26,0.07,,,,,,,,,,,,,,,,0.577,,,,,0.502,,,0.392,0,0,0,0,21.794,4.08,,
Japan,1852,JPN,32243620,,,,,,,,,,,,,,,,,,,,,,,,,,,44.677,,,,,,,,,0.127,0.647,13.183,0.409,8.777,0.272,2.287,0.071,,,,,,,,,,,,,,,,0.537,,,,,0.461,,,0.38,0,0,0,0,20.873,4.109,,
Japan,1853,JPN,32365906,,,,,,,,,,,,,,,,,,,,,,,,,,,57.663,,,,,,,,,0.128,0.64,12.986,0.401,8.807,0.272,2.312,0.071,,,,,,,,,,,,,,,,0.514,,,,,0.447,,,0.374,0,0,0,0,20.723,4.137,,
Japan,1854,JPN,32488655,,,,,,,,,,,,,,,,,,,,,,,,,,,71.483,,,,,,,,,0.128,0.665,13.82,0.425,8.838,0.272,2.338,0.072,,,,,,,,,,,,,,,,0.506,,,,,0.474,,,0.374,0,0,0,0,21.605,4.165,,
Japan,1855,JPN,32611870,,,,,,,,,,,,,,,,,,,,,,,,,,,87.118,,,,,,,,,0.129,0.72,15.635,0.479,8.868,0.272,2.363,0.072,,,,,,,,,,,,,,,,0.512,,,,,0.543,,,0.384,0,0,0,0,23.465,4.193,,
Japan,1856,JPN,32735551,,,,,,,,,,,,,,,,,,,,,,,,,,,101.359,,,,,,,,,0.129,0.676,14.241,0.435,8.898,0.272,2.387,0.073,,,,,,,,,,,,,,,,0.507,,,,,0.48,,,0.385,0,0,0,0,22.117,4.22,,
Japan,1857,JPN,32859701,,,,,,,,,,,,,,,,,,,,,,,,,,,117.527,,,,,,,,,0.129,0.733,16.168,0.492,8.928,0.272,2.41,0.073,,,,,,,,,,,,,,,,0.512,,,,,0.548,,,0.392,0,0,0,0,24.09,4.247,,
Japan,1858,JPN,32984321,,,,,,,,,,,,,,,,,,,,,,,,,,,133.263,,,,,,,,,0.13,0.719,15.737,0.477,8.959,0.272,2.432,0.074,,,,,,,,,,,,,,,,0.514,,,,,0.529,,,0.396,0,0,0,0,23.703,4.274,,
Japan,1859,JPN,33109414,,,,,,,,,,,,,,,,,,,,,,,,,,,150.982,,,,,,,,,0.13,0.777,17.719,0.535,8.989,0.271,2.454,0.074,,,,,,,,,,,,,,,,0.522,,,,,0.583,,,0.404,0,0,0,0,25.728,4.299,,
Japan,1860,JPN,33234981,,,,,,,,,,,,,,,,,,,,,,,,,,,164.725,,,,,,,,,0.13,0.652,13.742,0.413,9.019,0.271,2.474,0.074,,,,,,,,,,,,,,,,0.519,,,,,0.494,,,0.402,0,0,0,0,21.68,4.324,,
Japan,1861,JPN,33361024,,,,,,,,,,,,,,,,,,,,,,,,,,,180.834,,,,,,,,,0.13,0.721,16.109,0.483,9.049,0.271,2.493,0.075,,,,,,,,,,,,,,,,0.524,,,,,0.582,,,0.407,0,0,0,0,24.056,4.349,,
Japan,1862,JPN,33487544,,,,,,,,,,,,,,,,,,,,,,,,,,,196.466,,,,,,,,,0.131,0.705,15.632,0.467,9.079,0.271,2.513,0.075,,,,,,,,,,,,,,,,0.528,,,,,0.57,,,0.409,0,0,0,0,23.614,4.373,,
Japan,1863,JPN,33614544,,,,,,,,,,,,,,,,,,,,,,,,,,,211.145,,,,,,,,,0.131,0.675,14.679,0.437,9.112,0.271,2.532,0.075,,,,,,,,,,,,,,,,0.529,,,,,0.542,,,0.41,0,0,0,0,22.7,4.4,,
Japan,1864,JPN,33742025,,,,,,,,,,,,,,,,,,,,,,,,,,,227.48,,,,,,,,,0.131,0.723,16.335,0.484,9.142,0.271,2.551,0.076,,,,,,,,,,,,,,,,0.534,,,,,0.624,,,0.414,0,0,0,0,24.39,4.424,,
Japan,1865,JPN,33869990,,,,,,,,,,,,,,,,,,,,,,,,,,,244.137,,,,,,,,,0.131,0.731,16.657,0.492,9.172,0.271,2.57,0.076,,,,,,,,,,,,,,,,0.541,,,,,0.648,,,0.419,0,0,0,0,24.744,4.448,,
Japan,1866,JPN,33998439,,,,,,,,,,,,,,,,,,,,,,,,,,,259.887,,,,,,,,,0.132,0.702,15.75,0.463,9.202,0.271,2.589,0.076,,,,,,,,,,,,,,,,0.544,,,,,0.604,,,0.421,0,0,0,0,23.867,4.472,,
Japan,1867,JPN,34127374,,,,,,,,,,,,,,,,,,,,,,,,,,,277.305,,,,,,,,,0.132,0.749,17.418,0.51,9.232,0.271,2.608,0.076,,,,,,,,,,,,,,,,0.551,,,,,0.678,,,0.425,0,0,0,0,25.562,4.496,,
Japan,1868,JPN,34256799,,,,0.011,,,17.06,,,0.498,,,0,,,0.011,0,,,,,0.011,17.06,0.011,,0,294.354,0,,,,,,0,0,0.132,0.737,17.049,0.498,9.262,0.27,2.627,0.077,0,0,,,,,0.002,0.562,0.002,,0,0.029,0,,,0.557,0,,,,0.672,0,,0.428,0,0,0,0,25.233,4.532,,
Japan,1869,JPN,34407430,,,,0.018,0.007,66.667,18.821,1.761,10.322,0.547,,,0.001,,,0.018,0.001,,,,,0.029,35.881,0.029,,0,313.156,0,,,,,,0,0,0.133,0.785,18.803,0.546,9.293,0.27,2.646,0.077,0,0,,,,,0.003,0.605,0.004,,0,0.058,0,,,0.565,0,,,,0.727,0,,0.433,0,0,0,0,27.021,4.564,,
