country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Jordan,1850,JOR,296997,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,0.26,0.454,0.015,0.051,0.096,0.323,0.025,0.085,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.135,0.077,,
Jordan,1851,JOR,296270,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.261,0.457,0.014,0.049,0.096,0.324,0.026,0.087,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.135,0.077,,
Jordan,1852,JOR,294557,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,,,,,,0.263,0.461,0.014,0.046,0.096,0.325,0.026,0.089,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.002,0,0,0,0,0.136,0.077,,
Jordan,1853,JOR,291862,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,0.266,0.467,0.013,0.044,0.096,0.328,0.027,0.092,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.002,0,0,0,0,0.136,0.078,,
Jordan,1854,JOR,289190,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,,,,,,,,,0.269,0.473,0.012,0.042,0.096,0.331,0.027,0.094,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.137,0.078,,
Jordan,1855,JOR,286539,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,0.272,0.478,0.011,0.04,0.096,0.334,0.028,0.096,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.137,0.078,,
Jordan,1856,JOR,283909,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,0.274,0.484,0.011,0.037,0.096,0.337,0.028,0.099,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.137,0.078,,
Jordan,1857,JOR,281301,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,0.277,0.49,0.01,0.035,0.096,0.34,0.028,0.101,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.138,0.078,,
Jordan,1858,JOR,278714,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,,,,,,,,,0.28,0.495,0.009,0.032,0.096,0.343,0.029,0.102,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.138,0.078,,
Jordan,1859,JOR,276148,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117,,,,,,,,,0.283,0.501,0.008,0.03,0.095,0.346,0.029,0.104,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.138,0.078,,
Jordan,1860,JOR,273602,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,,,,,,,,,0.285,0.501,0.005,0.019,0.095,0.349,0.029,0.106,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.137,0.078,,
Jordan,1861,JOR,271077,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,,,,,,,,,0.288,0.504,0.003,0.012,0.095,0.352,0.029,0.107,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.137,0.078,,
Jordan,1862,JOR,268573,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,,,,,,,,,0.291,0.508,0.002,0.008,0.095,0.355,0.029,0.108,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.136,0.078,,
Jordan,1863,JOR,266088,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,,,0.293,0.513,0.001,0.004,0.095,0.358,0.029,0.109,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.136,0.078,,
Jordan,1864,JOR,263624,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,,,0.296,0.517,0,0.001,0.095,0.361,0.029,0.11,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.136,0.078,,
Jordan,1865,JOR,261180,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,,,0.299,0.522,-0.001,-0.002,0.095,0.364,0.029,0.112,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.136,0.078,,
Jordan,1866,JOR,258756,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,,,0.301,0.527,-0.001,-0.005,0.095,0.367,0.029,0.113,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.136,0.078,,
Jordan,1867,JOR,256351,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,0.304,0.533,-0.002,-0.007,0.095,0.371,0.029,0.114,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.137,0.078,,
Jordan,1868,JOR,253966,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,,,,,,,,,0.307,0.538,-0.003,-0.01,0.095,0.374,0.029,0.115,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.137,0.078,,
Jordan,1869,JOR,252101,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,0.309,0.542,-0.003,-0.013,0.095,0.376,0.029,0.116,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.137,0.078,,
