country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Kazakhstan,1830,KAZ,2236717,,,,0.001,,,,,,,,,0.001,,,0.001,0.001,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.001,,0.001,,0,,0,,,,,,,,,,,,,,,,,,,
Kazakhstan,1831,KAZ,2257242,,,,0.001,0,20,,,,,,,0.001,,,0.001,0.001,,,,,0.003,,0.003,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.002,,0.002,,0,,0,,,,,,,,,,,,,,,,,,,
Kazakhstan,1832,KAZ,2277956,,,,0.001,0,-33.333,,,,,,,0,,,0.001,0,,,,,0.004,,0.004,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.001,,0.001,,0,,0,,,,,,,,,,,,,,,,,,,
Kazakhstan,1833,KAZ,2298860,,,,0.001,0,25,,,,,,,0.001,,,0.001,0.001,,,,,0.005,,0.005,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.001,,0.001,,0,,0,,,,,,,,,,,,,,,,,,,
Kazakhstan,1850,KAZ,2685063,,,,0.008,,,21.711,,,8.086,,,0.003,,,0.008,0.003,,,,,0.012,21.711,0.012,0,0,21.703,0,,,,0,0,0,0,0.16,11.027,21.703,8.083,2.215,0.825,1.183,0.441,0,0,,,,,0.004,0.766,0.004,,0,0.766,0,,,0.823,,,,,0.823,,,,,,,,29.608,0.43,,
Kazakhstan,1851,KAZ,2708712,,,,,,,,,,,,,,,,,,,,,,,,,,,43.605,,,,,,,,,0.157,11.011,21.901,8.086,2.216,0.818,1.205,0.445,,,,,,,,,,,,,,,,0.799,,,,,0.777,,,0.684,0,0,0,0,29.825,0.424,,
Kazakhstan,1852,KAZ,2732569,,,,,,,,,,,,,,,,,,,,,,,,,,,65.543,,,,,,,,,0.156,10.939,21.938,8.028,2.219,0.812,1.226,0.449,,,,,,,,,,,,,,,,0.788,,,,,0.768,,,0.681,0,0,0,0,29.892,0.427,,
Kazakhstan,1853,KAZ,2756636,,,,,,,,,,,,,,,,,,,,,,,,,,,87.588,,,,,,,,,0.156,10.897,22.045,7.997,2.221,0.806,1.247,0.452,,,,,,,,,,,,,,,,0.781,,,,,0.759,,,0.678,0,0,0,0,30.038,0.43,,
Kazakhstan,1854,KAZ,2780914,,,,,,,,,,,,,,,,,,,,,,,,,,,109.635,,,,,,,,,0.156,10.819,22.047,7.928,2.224,0.8,1.266,0.455,,,,,,,,,,,,,,,,0.776,,,,,0.756,,,0.674,0,0,0,0,30.086,0.433,,
Kazakhstan,1855,KAZ,2805406,,,,0.023,,,22.146,,,7.894,,,0.008,,,0.023,0.008,,,,,0.035,43.857,0.035,0,0,131.758,0,,,,0,0,0,0,0.166,10.783,22.123,7.886,2.232,0.796,1.284,0.458,0,0,,,,,0.009,0.706,0.009,,0.001,0.239,0.001,,,0.774,0,,,,0.769,0,,0.673,0,0,0,0,30.251,0.465,,
