country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Kenya,1850,KEN,3354404,,,,,,,,,,,,,,,,,,,,,,,,,,,2.394,,,,,,,,,0.145,1.321,2.394,0.714,2.742,0.818,0.32,0.095,,,,,,,,,,,,,,,,0.091,,,,,0.091,,,,,,,,4.43,0.487,,
Kenya,1851,KEN,3370747,,,,,,,,,,,,,,,,,,,,,,,,,,,4.466,,,,,,,,,0.145,1.247,2.072,0.615,2.745,0.814,0.326,0.097,,,,,,,,,,,,,,,,0.082,,,,,0.073,,,0.058,0,0,0,0,4.204,0.489,,
Kenya,1852,KEN,3387635,,,,,,,,,,,,,,,,,,,,,,,,,,,6.426,,,,,,,,,0.145,1.23,1.96,0.579,2.748,0.811,0.332,0.098,,,,,,,,,,,,,,,,0.077,,,,,0.069,,,0.058,0,0,0,0,4.166,0.491,,
Kenya,1853,KEN,3405073,,,,,,,,,,,,,,,,,,,,,,,,,,,8.536,,,,,,,,,0.145,1.231,2.11,0.62,2.751,0.808,0.338,0.099,,,,,,,,,,,,,,,,0.076,,,,,0.073,,,0.057,0,0,0,0,4.193,0.493,,
Kenya,1854,KEN,3422599,,,,,,,,,,,,,,,,,,,,,,,,,,,10.529,,,,,,,,,0.145,1.219,1.994,0.583,2.754,0.805,0.343,0.1,,,,,,,,,,,,,,,,0.074,,,,,0.068,,,0.057,0,0,0,0,4.174,0.495,,
Kenya,1855,KEN,3440212,,,,,,,,,,,,,,,,,,,,,,,,,,,12.455,,,,,,,,,0.144,1.209,1.926,0.56,2.757,0.801,0.348,0.101,,,,,,,,,,,,,,,,0.073,,,,,0.067,,,0.056,0,0,0,0,4.16,0.497,,
Kenya,1856,KEN,3457913,,,,,,,,,,,,,,,,,,,,,,,,,,,14.36,,,,,,,,,0.144,1.202,1.905,0.551,2.76,0.798,0.353,0.102,,,,,,,,,,,,,,,,0.072,,,,,0.064,,,0.056,0,0,0,0,4.158,0.499,,
Kenya,1857,KEN,3475703,,,,,,,,,,,,,,,,,,,,,,,,,,,16.261,,,,,,,,,0.144,1.193,1.901,0.547,2.763,0.795,0.356,0.103,,,,,,,,,,,,,,,,0.071,,,,,0.064,,,0.056,0,0,0,0,4.148,0.501,,
Kenya,1858,KEN,3493582,,,,,,,,,,,,,,,,,,,,,,,,,,,18.202,,,,,,,,,0.144,1.189,1.941,0.556,2.766,0.792,0.36,0.103,,,,,,,,,,,,,,,,0.07,,,,,0.065,,,0.056,0,0,0,0,4.154,0.503,,
Kenya,1859,KEN,3511551,,,,,,,,,,,,,,,,,,,,,,,,,,,20.152,,,,,,,,,0.144,1.183,1.949,0.555,2.769,0.789,0.362,0.103,,,,,,,,,,,,,,,,0.07,,,,,0.064,,,0.055,0,0,0,0,4.156,0.505,,
Kenya,1860,KEN,3529609,,,,,,,,,,,,,,,,,,,,,,,,,,,22.09,,,,,,,,,0.144,1.182,1.938,0.549,2.772,0.785,0.364,0.103,,,,,,,,,,,,,,,,0.07,,,,,0.07,,,0.055,0,0,0,0,4.173,0.507,,
Kenya,1861,KEN,3547757,,,,,,,,,,,,,,,,,,,,,,,,,,,24.09,,,,,,,,,0.143,1.184,2,0.564,2.779,0.783,0.365,0.103,,,,,,,,,,,,,,,,0.07,,,,,0.072,,,0.055,0,0,0,0,4.201,0.509,,
