country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Kuwait,1850,KWT,81280,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012,,,,,,,,,0.729,0.745,-0.012,-0.146,0.037,0.455,0.029,0.356,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,0.061,0.059,,
Kuwait,1851,KWT,81306,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024,,,,,,,,,0.735,0.753,-0.012,-0.148,0.037,0.457,0.029,0.36,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.061,0.06,,
Kuwait,1852,KWT,81332,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.036,,,,,,,,,0.74,0.76,-0.012,-0.15,0.037,0.458,0.03,0.365,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.062,0.06,,
Kuwait,1853,KWT,81358,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.049,,,,,,,,,0.746,0.767,-0.012,-0.153,0.037,0.46,0.03,0.37,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.062,0.061,,
Kuwait,1854,KWT,81384,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.061,,,,,,,,,0.751,0.773,-0.013,-0.155,0.038,0.461,0.03,0.374,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.063,0.061,,
Kuwait,1855,KWT,81410,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074,,,,,,,,,0.756,0.779,-0.013,-0.157,0.038,0.463,0.031,0.378,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.063,0.062,,
Kuwait,1856,KWT,81436,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.087,,,,,,,,,0.761,0.785,-0.013,-0.159,0.038,0.465,0.031,0.382,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.064,0.062,,
Kuwait,1857,KWT,81462,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,0.766,0.791,-0.013,-0.161,0.038,0.466,0.031,0.386,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.064,0.062,,
Kuwait,1858,KWT,81488,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.113,,,,,,,,,0.77,0.796,-0.013,-0.163,0.038,0.468,0.032,0.389,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.065,0.063,,
Kuwait,1859,KWT,81514,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.127,,,,,,,,,0.775,0.801,-0.013,-0.165,0.038,0.469,0.032,0.393,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.065,0.063,,
