country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Kyrgyzstan,1830,KGZ,581119,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,1831,KGZ,586451,,,,0,0,20.192,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,1832,KGZ,591833,,,,0,0,-33.6,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,1833,KGZ,597264,,,,0,0,25.301,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,1850,KGZ,697603,,,,0.001,,,1.604,,,2.299,,,0.001,,,0.001,0.001,,,,,0.001,1.604,0.001,0,0,1.603,0,,,,0,0,0,0,0.225,3.929,1.603,2.298,0.78,1.118,0.161,0.231,0,0,,,,,0,0.057,0,,0,0.057,0,,,0.061,,,,,0.061,,,,,,,,2.741,0.157,,
Kyrgyzstan,1851,KGZ,703993,,,,,,,,,,,,,,,,,,,,,,,,,,,3.219,,,,,,,,,0.223,3.892,1.616,2.295,0.785,1.114,0.164,0.233,,,,,,,,,,,,,,,,0.059,,,,,0.057,,,0.061,0,0,0,0,2.74,0.157,,
Kyrgyzstan,1852,KGZ,710442,,,,,,,,,,,,,,,,,,,,,,,,,,,4.845,,,,,,,,,0.223,3.86,1.626,2.288,0.789,1.111,0.167,0.235,,,,,,,,,,,,,,,,0.058,,,,,0.057,,,0.061,0,0,0,0,2.742,0.158,,
Kyrgyzstan,1853,KGZ,716950,,,,,,,,,,,,,,,,,,,,,,,,,,,6.479,,,,,,,,,0.222,3.834,1.635,2.28,0.794,1.108,0.17,0.237,,,,,,,,,,,,,,,,0.058,,,,,0.056,,,0.061,0,0,0,0,2.749,0.159,,
Kyrgyzstan,1854,KGZ,723518,,,,,,,,,,,,,,,,,,,,,,,,,,,8.122,,,,,,,,,0.222,3.811,1.643,2.271,0.799,1.105,0.172,0.238,,,,,,,,,,,,,,,,0.057,,,,,0.056,,,0.06,0,0,0,0,2.757,0.161,,
Kyrgyzstan,1855,KGZ,730146,,,,0.002,,,1.652,,,2.263,,,0.003,,,0.002,0.003,,,,,0.003,3.256,0.003,0,0,9.773,0,,,,0,0,0,0,0.224,3.791,1.65,2.26,0.804,1.101,0.175,0.239,0,0,,,,,0.001,0.053,0.001,,0,0.018,0,,,0.057,0,,,,0.057,0,,0.06,0,0,0,0,2.768,0.164,,
Kyrgyzstan,1856,KGZ,736834,,,,,,,,,,,,,,,,,,,,,,,,,,,11.43,,,,,,,,,0.221,3.766,1.657,2.249,0.809,1.098,0.177,0.24,,,,,,,,,,,,,,,,0.057,,,,,0.056,,,0.06,0,0,0,0,2.775,0.163,,
Kyrgyzstan,1857,KGZ,743584,,,,,,,,,,,,,,,,,,,,,,,,,,,13.093,,,,,,,,,0.221,3.745,1.664,2.237,0.814,1.094,0.179,0.241,,,,,,,,,,,,,,,,0.057,,,,,0.056,,,0.06,0,0,0,0,2.784,0.164,,
Kyrgyzstan,1858,KGZ,750396,,,,0.003,,,1.672,,,2.229,,,0.004,,,0.003,0.004,,,,,0.006,4.928,0.006,0,0,14.763,0,,,,0,0,0,0,0.224,3.727,1.67,2.225,0.819,1.091,0.181,0.241,0,0,,,,,0.001,0.051,0.001,,0,0.018,0,,,0.057,0,,,,0.056,0,,0.06,0,0,0,0,2.797,0.168,,
Kyrgyzstan,1859,KGZ,757270,,,,0.003,0,6.064,1.678,0.006,0.339,2.216,,,0.004,,,0.003,0.004,,,,,0.009,6.606,0.009,0,0,16.438,0,,,,0,0,0,0,0.224,3.706,1.675,2.212,0.824,1.088,0.182,0.24,0,0,,,,,0.001,0.05,0.001,,0,0.021,0,,,0.057,0,,,,0.055,0,,0.06,0,0,0,0,2.807,0.169,,
Kyrgyzstan,1860,KGZ,764206,,,,0.004,0.001,32.112,1.684,0.006,0.333,2.203,,,0.005,,,0.004,0.005,,,,,0.013,8.29,0.012,0,0,18.118,0,,,,0,0,0,0,0.224,3.698,1.68,2.198,0.829,1.084,0.183,0.239,0,0,,,,,0.001,0.054,0.001,,0,0.024,0,,,0.057,0.013,,,,0.06,0.025,,0.06,0,0,0,0,2.826,0.172,,
Kyrgyzstan,1861,KGZ,771207,,,,0.005,0.001,27.028,1.693,0.01,0.573,2.196,,,0.006,,,0.005,0.006,,,,,0.017,9.983,0.017,0,0,19.806,0,,,,0,0,0,0,0.226,3.683,1.688,2.189,0.835,1.083,0.183,0.238,0,0,,,,,0.001,0.054,0.001,,0,0.027,0,,,0.057,0.009,,,,0.061,0.007,,0.06,0,0,0,0,2.84,0.174,,
Kyrgyzstan,1862,KGZ,778272,,,,0.004,0,-9.772,1.701,0.008,0.454,2.186,,,0.006,,,0.004,0.006,,,,,0.022,11.684,0.022,0,0,21.503,0,,,,0,0,0,0,0.225,3.663,1.697,2.18,0.842,1.081,0.184,0.236,0,0,,,,,0.001,0.055,0.001,,0,0.029,0,,,0.058,0.007,,,,0.062,0.005,,0.06,0,0,0,0,2.85,0.175,,
Kyrgyzstan,1863,KGZ,785401,,,,0.005,0,4.703,1.708,0.008,0.443,2.175,,,0.006,,,0.005,0.006,,,,,0.027,13.392,0.026,0,0,23.206,0,,,,0,0,0,0,0.224,3.644,1.704,2.169,0.848,1.08,0.184,0.235,0,0,,,,,0.001,0.055,0.001,,0,0.031,0,,,0.058,0.007,,,,0.063,0.009,,0.06,0,0,0,0,2.862,0.176,,
Kyrgyzstan,1864,KGZ,792596,,,,0.005,0.001,12.157,1.716,0.007,0.415,2.164,,,0.007,,,0.005,0.006,,,,,0.032,15.108,0.031,0,0,24.917,0,,,,0,0,0,0,0.225,3.627,1.71,2.158,0.854,1.078,0.185,0.233,0,0,,,,,0.001,0.057,0.001,,0,0.032,0,,,0.059,0.009,,,,0.065,0.014,,0.06,0,0,0,0,2.875,0.178,,
Kyrgyzstan,1865,KGZ,799856,,,,0.005,0,-4.409,1.721,0.006,0.333,2.152,,,0.006,,,0.005,0.006,,,,,0.037,16.829,0.036,0,0,26.633,0.001,,,,0,0,0,0,0.224,3.608,1.716,2.146,0.861,1.076,0.185,0.232,0,0,,,,,0.001,0.057,0.001,,0,0.034,0,,,0.059,0.01,,,,0.067,0.013,,0.061,0,0,0,0,2.886,0.179,,
Kyrgyzstan,1866,KGZ,807183,,,,0.016,0.011,215.972,1.737,0.016,0.934,2.152,,,0.019,,,0.015,0.019,,,,,0.052,18.567,0.052,0,0,28.355,0.001,,,,0,0,0,0,0.238,3.605,1.722,2.133,0.868,1.075,0.186,0.23,0,0,,,,,0.003,0.057,0.003,,0.001,0.035,0.001,,,0.059,0.01,,,,0.066,0.01,,0.061,0,0,0,0,2.91,0.192,,
Kyrgyzstan,1867,KGZ,814577,,,,0.018,0.002,14.757,1.745,0.007,0.414,2.142,,,0.022,,,0.018,0.022,,,,,0.07,20.311,0.069,0,0,30.081,0.001,,,,0,0,0,0,0.241,3.59,1.727,2.12,0.874,1.074,0.186,0.229,0,0,,,,,0.004,0.057,0.004,,0.001,0.036,0.001,,,0.06,0.011,,,,0.067,0.015,,0.061,0,0,0,0,2.924,0.196,,
Kyrgyzstan,1868,KGZ,822039,,,,0.015,-0.003,-16.797,1.746,0.001,0.083,2.124,,,0.018,,,0.014,0.018,,,,,0.085,22.057,0.084,0,0,31.812,0.002,,,,0,0,0,0,0.236,3.567,1.731,2.106,0.881,1.071,0.187,0.227,0.001,0.001,,,,,0.003,0.058,0.003,,0.001,0.037,0.001,,,0.06,0.013,,,,0.068,0.023,,0.061,0,0,0,0,2.932,0.194,,
Kyrgyzstan,1869,KGZ,829570,,,,0.02,0.005,35.65,1.755,0.009,0.541,2.116,,,0.024,,,0.02,0.024,,,,,0.106,23.812,0.103,0,0,33.547,0.002,,,,0,0,0,0,0.242,3.556,1.735,2.092,0.887,1.07,0.187,0.226,0.001,0.001,,,,,0.004,0.056,0.004,,0.001,0.038,0.001,,,0.061,0.014,,,,0.067,0.02,,0.061,0,0,0,0,2.95,0.201,,
