country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Latvia,1830,LVA,695058,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Latvia,1831,LVA,706453,,,,0,0,20.492,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Latvia,1832,LVA,718035,,,,0,0,-33.333,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Latvia,1833,LVA,729807,,,,0,0,24.49,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Latvia,1850,LVA,962199,,,,0.001,,,11.31,,,11.754,,,0.001,,,0.001,0.001,,,,,0.001,11.31,0.001,0,0,11.309,0,,,,0,0,0,0,0.641,9.744,11.309,11.754,2.112,2.195,0.331,0.344,0,0,,,,,0,0.399,0,,0,0.399,0,,,0.429,,,,,0.429,,,,,,,,9.376,0.617,,
Latvia,1851,LVA,977785,,,,,,,,,,,,,,,,,,,,,,,,,,,22.594,,,,,,,,,0.637,9.535,11.285,11.541,2.128,2.176,0.337,0.345,,,,,,,,,,,,,,,,0.414,,,,,0.4,,,0.21,0,0,0,0,9.323,0.623,,
Latvia,1852,LVA,993623,,,,,,,,,,,,,,,,,,,,,,,,,,,33.845,,,,,,,,,0.633,9.335,11.251,11.323,2.143,2.157,0.344,0.346,,,,,,,,,,,,,,,,0.407,,,,,0.394,,,0.208,0,0,0,0,9.275,0.629,,
Latvia,1853,LVA,1009718,,,,,,,,,,,,,,,,,,,,,,,,,,,45.17,,,,,,,,,0.63,9.248,11.324,11.215,2.158,2.138,0.35,0.346,,,,,,,,,,,,,,,,0.403,,,,,0.39,,,0.207,0,0,0,0,9.338,0.636,,
Latvia,1854,LVA,1026073,,,,,,,,,,,,,,,,,,,,,,,,,,,56.594,,,,,,,,,0.626,9.188,11.424,11.134,2.174,2.119,0.355,0.346,,,,,,,,,,,,,,,,0.4,,,,,0.392,,,0.207,0,0,0,0,9.428,0.642,,
Latvia,1855,LVA,1042693,,,,0.002,,,11.421,,,10.953,,,0.002,,,0.002,0.002,,,,,0.004,22.731,0.004,0,0,68.013,0,,,,0,0,0,0,0.625,9.027,11.419,10.951,2.189,2.1,0.361,0.346,0,0,,,,,0.001,0.364,0.001,,0,0.124,0,,,0.4,0,,,,0.397,0,,0.206,0,0,0,0,9.413,0.651,,
