country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Least developed countries (Jones et al.),1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.666,,12.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.245,21.265,,
Least developed countries (Jones et al.),1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.23,,12.485,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0,0,0,0,350.505,21.414,,
Least developed countries (Jones et al.),1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.797,,12.725,,,,,,,,,,,,,,,,,,,,,,,,,7.964,0,0,0,0,368.026,21.565,,
Least developed countries (Jones et al.),1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.364,,12.956,,,,,,,,,,,,,,,,,,,,,,,,,7.907,0,0,0,0,358.912,21.716,,
Least developed countries (Jones et al.),1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.932,,13.173,,,,,,,,,,,,,,,,,,,,,,,,,7.926,0,0,0.001,0,372.707,21.868,,
Least developed countries (Jones et al.),1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.501,,13.372,,,,,,,,,,,,,,,,,,,,,,,,,7.97,0,0.001,0.001,0,377.101,22.02,,
Least developed countries (Jones et al.),1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.071,,13.55,,,,,,,,,,,,,,,,,,,,,,,,,7.981,0,0.001,0.001,0,381.015,22.172,,
Least developed countries (Jones et al.),1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.641,,13.703,,,,,,,,,,,,,,,,,,,,,,,,,7.971,0,0.001,0.001,0,374.293,22.324,,
Least developed countries (Jones et al.),1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.212,,13.827,,,,,,,,,,,,,,,,,,,,,,,,,7.973,0,0.001,0.001,0,379.666,22.477,,
Least developed countries (Jones et al.),1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.786,,13.917,,,,,,,,,,,,,,,,,,,,,,,,,8.004,0,0.001,0.001,0,398.121,22.63,,
