country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Lebanon,1850,LBN,412137,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,0.234,0.487,0.09,0.218,0.111,0.268,0.034,0.081,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,,,,,,0.201,0.097,,
Lebanon,1851,LBN,415018,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181,,,,,,,,,0.235,0.489,0.091,0.219,0.111,0.268,0.034,0.082,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.203,0.097,,
Lebanon,1852,LBN,417919,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,,,,,,,,,0.235,0.49,0.092,0.22,0.112,0.268,0.035,0.083,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.205,0.098,,
Lebanon,1853,LBN,420840,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366,,,,,,,,,0.235,0.492,0.093,0.221,0.113,0.268,0.035,0.083,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.207,0.099,,
Lebanon,1854,LBN,423782,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459,,,,,,,,,0.235,0.493,0.094,0.221,0.114,0.268,0.035,0.084,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.209,0.1,,
Lebanon,1855,LBN,426744,,,,,,,,,,,,,,,,,,,,,,,,,,,0.553,,,,,,,,,0.235,0.494,0.094,0.22,0.114,0.268,0.036,0.084,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.211,0.1,,
Lebanon,1856,LBN,429727,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648,,,,,,,,,0.235,0.495,0.094,0.22,0.115,0.268,0.036,0.085,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.213,0.101,,
Lebanon,1857,LBN,432731,,,,,,,,,,,,,,,,,,,,,,,,,,,0.743,,,,,,,,,0.235,0.495,0.095,0.219,0.116,0.268,0.037,0.085,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.214,0.102,,
Lebanon,1858,LBN,435755,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838,,,,,,,,,0.235,0.496,0.095,0.218,0.117,0.268,0.037,0.085,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.216,0.103,,
Lebanon,1859,LBN,438801,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933,,,,,,,,,0.235,0.496,0.095,0.217,0.117,0.268,0.037,0.085,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.217,0.103,,
Lebanon,1860,LBN,441868,,,,,,,,,,,,,,,,,,,,,,,,,,,1.026,,,,,,,,,0.235,0.492,0.093,0.21,0.118,0.267,0.038,0.085,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.218,0.104,,
Lebanon,1861,LBN,444956,,,,,,,,,,,,,,,,,,,,,,,,,,,1.117,,,,,,,,,0.235,0.49,0.091,0.205,0.119,0.267,0.038,0.085,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.218,0.105,,
Lebanon,1862,LBN,448066,,,,,,,,,,,,,,,,,,,,,,,,,,,1.207,,,,,,,,,0.235,0.488,0.09,0.201,0.12,0.267,0.038,0.085,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.219,0.105,,
Lebanon,1863,LBN,451198,,,,,,,,,,,,,,,,,,,,,,,,,,,1.296,,,,,,,,,0.235,0.487,0.089,0.197,0.121,0.267,0.038,0.085,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.22,0.106,,
Lebanon,1864,LBN,454351,,,,,,,,,,,,,,,,,,,,,,,,,,,1.384,,,,,,,,,0.235,0.485,0.088,0.194,0.121,0.267,0.038,0.084,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.22,0.107,,
Lebanon,1865,LBN,457527,,,,,,,,,,,,,,,,,,,,,,,,,,,1.471,,,,,,,,,0.235,0.484,0.087,0.19,0.122,0.267,0.039,0.084,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.221,0.108,,
Lebanon,1866,LBN,460725,,,,,,,,,,,,,,,,,,,,,,,,,,,1.557,,,,,,,,,0.235,0.482,0.086,0.187,0.123,0.267,0.039,0.084,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.222,0.108,,
Lebanon,1867,LBN,463945,,,,,,,,,,,,,,,,,,,,,,,,,,,1.642,,,,,,,,,0.235,0.481,0.085,0.184,0.124,0.267,0.039,0.084,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.223,0.109,,
Lebanon,1868,LBN,467187,,,,,,,,,,,,,,,,,,,,,,,,,,,1.727,,,,,,,,,0.235,0.479,0.085,0.181,0.125,0.267,0.039,0.084,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.004,0,0,0,0,0.224,0.11,,
Lebanon,1869,LBN,469923,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,,,,,,0.235,0.479,0.084,0.178,0.126,0.267,0.039,0.084,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0.005,0,0,0,0,0.225,0.111,,
Lebanon,1870,LBN,472147,720664000,,,,,,,,,,,,,,,,,,,,,,,,,,1.961,,,,,,,,,0.236,0.535,0.15,0.318,0.126,0.268,0.04,0.084,,,,,,,,,,,,,,,,0.003,,,,,0.005,,,0.005,0,0,0,0,0.253,0.111,,
Lebanon,1871,LBN,473855,,,,,,,,,,,,,,,,,,,,,,,,,,,2.164,,,,,,,,,0.239,0.581,0.204,0.43,0.129,0.272,0.04,0.084,,,,,,,,,,,,,,,,0.004,,,,,0.007,,,0.005,0,0,0,0,0.275,0.113,,
Lebanon,1872,LBN,475044,,,,,,,,,,,,,,,,,,,,,,,,,,,2.406,,,,,,,,,0.243,0.617,0.242,0.509,0.131,0.276,0.041,0.086,,,,,,,,,,,,,,,,0.004,,,,,0.008,,,0.005,0,0,0,0,0.293,0.115,,
Lebanon,1873,LBN,475709,,,,,,,,,,,,,,,,,,,,,,,,,,,2.675,,,,,,,,,0.246,0.647,0.27,0.567,0.134,0.281,0.042,0.089,,,,,,,,,,,,,,,,0.004,,,,,0.009,,,0.005,0,0,0,0,0.308,0.117,,
Lebanon,1874,LBN,476374,,,,,,,,,,,,,,,,,,,,,,,,,,,2.967,,,,,,,,,0.251,0.673,0.291,0.612,0.136,0.286,0.044,0.092,,,,,,,,,,,,,,,,0.004,,,,,0.009,,,0.005,0,0,0,0,0.32,0.119,,
