country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Lesotho,1850,LSO,180549,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,,,,,,,,,0.187,1.044,0.121,0.671,0.057,0.316,0.031,0.172,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,,,,,,0.189,0.034,,
Lesotho,1851,LSO,180015,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246,,,,,,,,,0.19,1.075,0.125,0.693,0.058,0.323,0.032,0.176,,,,,,,,,,,,,,,,0.005,,,,,0.004,,,0.005,0,0,0,0,0.194,0.034,,
Lesotho,1852,LSO,180380,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373,,,,,,,,,0.193,1.091,0.127,0.707,0.059,0.328,0.032,0.179,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.005,0,0,0,0,0.197,0.035,,
Lesotho,1853,LSO,181631,,,,,,,,,,,,,,,,,,,,,,,,,,,0.503,,,,,,,,,0.194,1.107,0.13,0.714,0.06,0.331,0.033,0.181,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.005,0,0,0,0,0.201,0.035,,
Lesotho,1854,LSO,182889,,,,,,,,,,,,,,,,,,,,,,,,,,,0.635,,,,,,,,,0.195,1.118,0.132,0.72,0.061,0.334,0.033,0.182,,,,,,,,,,,,,,,,0.004,,,,,0.005,,,0.005,0,0,0,0,0.205,0.036,,
Lesotho,1855,LSO,184154,,,,,,,,,,,,,,,,,,,,,,,,,,,0.768,,,,,,,,,0.197,1.128,0.133,0.724,0.062,0.338,0.034,0.184,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.006,0,0,0,0,0.208,0.036,,
Lesotho,1856,LSO,185425,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903,,,,,,,,,0.198,1.136,0.135,0.726,0.063,0.341,0.034,0.185,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.006,0,0,0,0,0.211,0.037,,
Lesotho,1857,LSO,186704,,,,,,,,,,,,,,,,,,,,,,,,,,,1.038,,,,,,,,,0.199,1.136,0.136,0.728,0.064,0.344,0.035,0.186,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.006,0,0,0,0,0.212,0.037,,
Lesotho,1858,LSO,187990,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176,,,,,,,,,0.2,1.139,0.137,0.729,0.065,0.347,0.035,0.186,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.006,0,0,0,0,0.214,0.038,,
Lesotho,1859,LSO,189282,,,,,,,,,,,,,,,,,,,,,,,,,,,1.314,,,,,,,,,0.202,1.142,0.138,0.729,0.066,0.35,0.035,0.186,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.006,0,0,0,0,0.216,0.038,,
Lesotho,1860,LSO,190581,,,,,,,,,,,,,,,,,,,,,,,,,,,1.456,,,,,,,,,0.203,1.172,0.142,0.747,0.067,0.353,0.035,0.186,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.006,0,0,0,0,0.223,0.039,,
Lesotho,1861,LSO,191888,,,,,,,,,,,,,,,,,,,,,,,,,,,1.603,,,,,,,,,0.204,1.196,0.147,0.768,0.069,0.36,0.035,0.185,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.006,0,0,0,0,0.229,0.039,,
Lesotho,1862,LSO,193201,,,,,,,,,,,,,,,,,,,,,,,,,,,1.755,,,,,,,,,0.206,1.214,0.151,0.784,0.071,0.367,0.036,0.184,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.006,0,0,0,0,0.235,0.04,,
Lesotho,1863,LSO,194521,,,,,,,,,,,,,,,,,,,,,,,,,,,1.909,,,,,,,,,0.207,1.226,0.155,0.795,0.073,0.374,0.036,0.183,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.006,0,0,0,0,0.239,0.04,,
Lesotho,1864,LSO,195848,,,,,,,,,,,,,,,,,,,,,,,,,,,2.067,,,,,,,,,0.209,1.237,0.157,0.803,0.074,0.38,0.036,0.182,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.006,0,0,0,0,0.242,0.041,,
Lesotho,1865,LSO,197182,,,,,,,,,,,,,,,,,,,,,,,,,,,2.226,,,,,,,,,0.21,1.248,0.16,0.809,0.076,0.387,0.036,0.181,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.006,0,0,0,0,0.246,0.042,,
Lesotho,1866,LSO,198523,,,,,,,,,,,,,,,,,,,,,,,,,,,2.388,,,,,,,,,0.212,1.257,0.162,0.814,0.078,0.393,0.036,0.181,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.006,0,0,0,0,0.25,0.042,,
Lesotho,1867,LSO,199872,,,,,,,,,,,,,,,,,,,,,,,,,,,2.551,,,,,,,,,0.214,1.256,0.163,0.817,0.08,0.4,0.036,0.18,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.006,0,0,0,0,0.251,0.043,,
Lesotho,1868,LSO,201227,,,,,,,,,,,,,,,,,,,,,,,,,,,2.716,,,,,,,,,0.215,1.26,0.165,0.819,0.082,0.406,0.036,0.179,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.006,0,0,0,0,0.254,0.043,,
Lesotho,1869,LSO,202589,,,,,,,,,,,,,,,,,,,,,,,,,,,2.882,,,,,,,,,0.217,1.281,0.166,0.82,0.083,0.412,0.036,0.178,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.006,0,0,0,0,0.259,0.044,,
Lesotho,1870,LSO,203958,,,,,,,,,,,,,,,,,,,,,,,,,,,3.058,,,,,,,,,0.218,1.346,0.176,0.86,0.085,0.418,0.036,0.178,,,,,,,,,,,,,,,,0.005,,,,,0.006,,,0.006,0,0,0,0,0.275,0.044,,
Lesotho,1871,LSO,205334,,,,,,,,,,,,,,,,,,,,,,,,,,,3.248,,,,,,,,,0.22,1.402,0.19,0.926,0.088,0.427,0.037,0.179,,,,,,,,,,,,,,,,0.005,,,,,0.007,,,0.006,0,0,0,0,0.288,0.045,,
Lesotho,1872,LSO,206717,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,,,,,,,,,0.223,1.453,0.202,0.977,0.09,0.435,0.038,0.184,,,,,,,,,,,,,,,,0.005,,,,,0.007,,,0.006,0,0,0,0,0.3,0.046,,
Lesotho,1873,LSO,208107,,,,,,,,,,,,,,,,,,,,,,,,,,,3.661,,,,,,,,,0.225,1.493,0.211,1.016,0.092,0.443,0.04,0.192,,,,,,,,,,,,,,,,0.005,,,,,0.007,,,0.006,0,0,0,0,0.311,0.047,,
Lesotho,1874,LSO,209504,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,,,,,,,,,0.228,1.526,0.219,1.045,0.095,0.451,0.042,0.202,,,,,,,,,,,,,,,,0.006,,,,,0.007,,,0.006,0,0,0,0,0.32,0.048,,
Lesotho,1875,LSO,210907,,,,,,,,,,,,,,,,,,,,,,,,,,,4.105,,,,,,,,,0.231,1.564,0.225,1.068,0.097,0.459,0.045,0.212,,,,,,,,,,,,,,,,0.006,,,,,0.007,,,0.006,0,0,0,0,0.33,0.049,,
Lesotho,1876,LSO,212318,,,,,,,,,,,,,,,,,,,,,,,,,,,4.336,,,,,,,,,0.234,1.599,0.231,1.086,0.099,0.467,0.047,0.223,,,,,,,,,,,,,,,,0.006,,,,,0.007,,,0.007,0,0,0,0,0.34,0.05,,
Lesotho,1877,LSO,213736,,,,,,,,,,,,,,,,,,,,,,,,,,,4.571,,,,,,,,,0.237,1.632,0.235,1.101,0.102,0.475,0.05,0.233,,,,,,,,,,,,,,,,0.006,,,,,0.007,,,0.007,0,0,0,0,0.349,0.051,,
