country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Liberia,1850,LBR,330726,,,,,,,,,,,,,,,,,,,,,,,,,,,20.307,,,,,,,,,0.33,44.313,20.307,61.401,0.136,0.413,0.011,0.034,,,,,,,,,,,,,,,,0.77,,,,,0.77,,,,,,,,14.656,0.109,,
Liberia,1851,LBR,332476,,,,,,,,,,,,,,,,,,,,,,,,,,,44.997,,,,,,,,,0.335,51.919,24.69,74.26,0.139,0.418,0.012,0.035,,,,,,,,,,,,,,,,0.824,,,,,0.876,,,0.413,0,0,0,0,17.262,0.111,,
Liberia,1852,LBR,334452,,,,,,,,,,,,,,,,,,,,,,,,,,,73.683,,,,,,,,,0.341,57.857,28.686,85.771,0.141,0.423,0.012,0.035,,,,,,,,,,,,,,,,0.886,,,,,1.004,,,0.436,0,0,0,0,19.35,0.114,,
Liberia,1853,LBR,336657,,,,,,,,,,,,,,,,,,,,,,,,,,,102.84,,,,,,,,,0.347,57.452,29.158,86.609,0.144,0.428,0.012,0.035,,,,,,,,,,,,,,,,0.916,,,,,1.003,,,0.441,0,0,0,0,19.342,0.117,,
Liberia,1854,LBR,338877,,,,,,,,,,,,,,,,,,,,,,,,,,,135.419,,,,,,,,,0.353,62.815,32.579,96.138,0.147,0.433,0.012,0.036,,,,,,,,,,,,,,,,0.958,,,,,1.118,,,0.453,0,0,0,0,21.286,0.12,,
Liberia,1855,LBR,341110,,,,,,,,,,,,,,,,,,,,,,,,,,,171.583,,,,,,,,,0.359,69.186,36.163,106.017,0.15,0.439,0.012,0.036,,,,,,,,,,,,,,,,1.008,,,,,1.256,,,0.472,0,0,0,0,23.6,0.122,,
Liberia,1856,LBR,343357,,,,,,,,,,,,,,,,,,,,,,,,,,,205.377,,,,,,,,,0.365,64.199,33.794,98.423,0.153,0.445,0.012,0.036,,,,,,,,,,,,,,,,1.028,,,,,1.138,,,0.477,0,0,0,0,22.043,0.125,,
Liberia,1857,LBR,345617,,,,,,,,,,,,,,,,,,,,,,,,,,,240.969,,,,,,,,,0.372,65.39,35.592,102.98,0.156,0.451,0.013,0.036,,,,,,,,,,,,,,,,1.051,,,,,1.206,,,0.482,0,0,0,0,22.6,0.128,,
Liberia,1858,LBR,347892,,,,,,,,,,,,,,,,,,,,,,,,,,,276.052,,,,,,,,,0.378,65.531,35.083,100.845,0.159,0.457,0.013,0.036,,,,,,,,,,,,,,,,1.065,,,,,1.179,,,0.486,0,0,0,0,22.798,0.132,,
Liberia,1859,LBR,350251,,,,,,,,,,,,,,,,,,,,,,,,,,,312.916,,,,,,,,,0.385,71.287,36.864,105.252,0.162,0.463,0.013,0.036,,,,,,,,,,,,,,,,1.081,,,,,1.213,,,0.494,0,0,0,0,24.968,0.135,,
