country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Libya,1850,LBY,270585,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,0.43,1.203,0.054,0.2,0.292,1.079,0.038,0.142,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,,,,,,0.326,0.116,,
Libya,1851,LBY,272352,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,,,,,,,,,0.428,1.202,0.054,0.199,0.292,1.072,0.039,0.143,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.003,0,0,0,0,0.327,0.117,,
Libya,1852,LBY,274131,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,,,,,,,,,0.427,1.2,0.053,0.195,0.292,1.066,0.04,0.145,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.003,0,0,0,0,0.329,0.117,,
Libya,1853,LBY,277302,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,,,,,,,,,0.423,1.192,0.052,0.189,0.293,1.055,0.04,0.146,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.003,0,0,0,0,0.33,0.117,,
Libya,1854,LBY,280508,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265,,,,,,,,,0.419,1.183,0.051,0.182,0.293,1.044,0.041,0.146,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.003,0,0,0,0,0.332,0.118,,
Libya,1855,LBY,283751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315,,,,,,,,,0.416,1.174,0.05,0.176,0.293,1.033,0.042,0.146,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.003,0,0,0,0,0.333,0.118,,
Libya,1856,LBY,287031,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364,,,,,,,,,0.412,1.165,0.049,0.17,0.293,1.022,0.042,0.147,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.003,0,0,0,0,0.334,0.118,,
Libya,1857,LBY,290349,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412,,,,,,,,,0.408,1.153,0.048,0.164,0.293,1.011,0.043,0.146,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.003,0,0,0,0,0.335,0.118,,
Libya,1858,LBY,293703,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459,,,,,,,,,0.404,1.136,0.047,0.159,0.294,1,0.043,0.146,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.003,0,0,0,0,0.334,0.119,,
Libya,1859,LBY,297097,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504,,,,,,,,,0.401,1.117,0.046,0.154,0.294,0.989,0.043,0.145,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.003,0,0,0,0,0.332,0.119,,
