country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Lithuania,1830,LTU,901892,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Lithuania,1831,LTU,915221,,,,0,0,19.895,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Lithuania,1832,LTU,928747,,,,0,0,-33.188,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Lithuania,1833,LTU,942473,,,,0,0,24.837,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Lithuania,1850,LTU,1209445,,,,0.001,,,22.433,,,18.548,,,0.001,,,0.001,0.001,,,,,0.002,22.433,0.002,0,0,22.432,0,,,,0,0,0,0,0.471,14.151,22.432,18.547,2.904,2.401,0.648,0.536,0,0,,,,,0.001,0.791,0.001,,0,0.791,0,,,0.85,,,,,0.85,,,,,,,,17.115,0.57,,
Lithuania,1851,LTU,1227363,,,,,,,,,,,,,,,,,,,,,,,,,,,44.861,,,,,,,,,0.47,13.878,22.429,18.274,2.927,2.385,0.661,0.539,,,,,,,,,,,,,,,,0.822,,,,,0.795,,,0.391,0,0,0,0,17.034,0.577,,
Lithuania,1852,LTU,1245548,,,,,,,,,,,,,,,,,,,,,,,,,,,67.386,,,,,,,,,0.471,13.721,22.526,18.085,2.949,2.368,0.674,0.541,,,,,,,,,,,,,,,,0.81,,,,,0.788,,,0.39,0,0,0,0,17.09,0.586,,
Lithuania,1853,LTU,1264001,,,,,,,,,,,,,,,,,,,,,,,,,,,89.93,,,,,,,,,0.471,13.51,22.544,17.835,2.972,2.351,0.686,0.543,,,,,,,,,,,,,,,,0.801,,,,,0.776,,,0.388,0,0,0,0,17.077,0.595,,
Lithuania,1854,LTU,1282728,,,,,,,,,,,,,,,,,,,,,,,,,,,112.765,,,,,,,,,0.471,13.519,22.835,17.802,2.995,2.335,0.698,0.544,,,,,,,,,,,,,,,,0.798,,,,,0.783,,,0.387,0,0,0,0,17.341,0.604,,
Lithuania,1855,LTU,1301733,,,,0.004,,,22.95,,,17.63,,,0.003,,,0.004,0.003,,,,,0.006,45.383,0.006,0,0,135.711,0,,,,0,0,0,0,0.474,13.389,22.946,17.627,3.018,2.319,0.708,0.544,0,0,,,,,0.001,0.731,0.001,,0,0.247,0,,,0.798,0,,,,0.797,0,,0.387,0,0,0,0,17.429,0.617,,
Lithuania,1856,LTU,1321019,,,,,,,,,,,,,,,,,,,,,,,,,,,158.592,,,,,,,,,0.471,13.124,22.882,17.321,3.041,2.302,0.718,0.543,,,,,,,,,,,,,,,,0.794,,,,,0.771,,,0.386,0,0,0,0,17.337,0.622,,
Lithuania,1857,LTU,1340590,,,,,,,,,,,,,,,,,,,,,,,,,,,181.77,,,,,,,,,0.471,13.136,23.177,17.289,3.065,2.286,0.726,0.542,,,,,,,,,,,,,,,,0.793,,,,,0.785,,,0.386,0,0,0,0,17.609,0.632,,
Lithuania,1858,LTU,1360452,,,,0.005,,,23.224,,,17.071,,,0.004,,,0.005,0.004,,,,,0.011,68.607,0.011,0,0,204.989,0,,,,0,0,0,0,0.475,12.962,23.219,17.067,3.088,2.27,0.733,0.538,0,0,,,,,0.002,0.712,0.002,,0,0.244,0,,,0.791,0,,,,0.781,0,,0.386,0,0,0,0,17.635,0.646,,
Lithuania,1859,LTU,1380608,,,,0.005,0,6.056,23.532,0.308,1.326,17.045,,,0.004,,,0.005,0.004,,,,,0.016,92.14,0.016,0,0,228.516,0,,,,0,0,0,0,0.472,12.977,23.527,17.041,3.107,2.25,0.737,0.534,0,0,,,,,0.002,0.704,0.002,,0,0.293,0,,,0.789,0,,,,0.774,0,,0.385,0,0,0,0,17.916,0.651,,
Lithuania,1860,LTU,1401063,,,,0.007,0.002,32.148,22.346,-1.187,-5.042,15.949,,,0.005,,,0.006,0.004,,,,,0.023,114.485,0.022,0,0,250.855,0.001,,,,0,0,0,0,0.469,12.327,22.339,15.944,3.125,2.231,0.74,0.528,0.001,0.001,,,,,0.002,0.718,0.002,,0,0.331,0,,,0.791,0.17,,,,0.803,0.322,,0.386,0,0,0,0,17.271,0.657,,
Lithuania,1861,LTU,1421820,,,,0.009,0.002,27.019,22.054,-0.292,-1.305,15.511,,,0.006,,,0.008,0.006,,,,,0.032,136.54,0.03,0,0,272.9,0.002,,,,0,0,0,0,0.467,12.06,22.045,15.505,3.139,2.208,0.742,0.522,0.001,0.001,,,,,0.003,0.708,0.002,,0,0.363,0,,,0.791,0.122,,,,0.797,0.096,,0.385,0,0,0,0,17.147,0.664,,
Lithuania,1862,LTU,1442886,,,,0.008,-0.001,-9.782,21.811,-0.243,-1.1,15.117,,,0.006,,,0.007,0.005,,,,,0.04,158.351,0.037,0,0,294.704,0.003,,,,0,0,0,0,0.463,11.777,21.803,15.111,3.154,2.186,0.743,0.515,0.001,0.001,,,,,0.002,0.704,0.002,,0,0.389,0,,,0.791,0.094,,,,0.796,0.064,,0.385,0,0,0,0,16.992,0.668,,
Lithuania,1863,LTU,1464263,,,,0.008,0,4.711,21.806,-0.006,-0.027,14.892,,,0.006,,,0.007,0.005,,,,,0.048,180.157,0.044,0,0,316.501,0.004,,,,0,0,0,0,0.459,11.648,21.797,14.886,3.168,2.163,0.744,0.508,0.001,0.001,,,,,0.002,0.706,0.002,,0.001,0.411,0.001,,,0.792,0.098,,,,0.805,0.109,,0.385,0,0,0,0,17.056,0.672,,
Lithuania,1864,LTU,1485957,,,,0.009,0.001,12.162,21.727,-0.079,-0.361,14.621,,,0.006,,,0.008,0.005,,,,,0.058,201.883,0.052,0,0,338.218,0.006,,,,0,0,0,0,0.461,11.47,21.717,14.615,3.19,2.147,0.745,0.501,0.002,0.001,,,,,0.002,0.717,0.002,,0.001,0.431,0.001,,,0.795,0.114,,,,0.829,0.171,,0.385,0,0,0,0,17.044,0.686,,
Lithuania,1865,LTU,1507972,,,,0.009,0,-4.411,21.47,-0.257,-1.182,14.238,,,0.006,,,0.007,0.005,,,,,0.067,223.354,0.059,0,0,359.679,0.008,,,,0,0,0,0,0.463,11.171,21.461,14.232,3.212,2.13,0.746,0.495,0.002,0.001,,,,,0.002,0.714,0.002,,0.001,0.448,0.001,,,0.797,0.123,,,,0.835,0.159,,0.385,0,0,0,0,16.845,0.698,,
Lithuania,1866,LTU,1530314,,,,0.029,0.02,215.958,21.681,0.211,0.985,14.168,,,0.019,,,0.026,0.017,,,,,0.096,245.035,0.085,0,0,381.332,0.011,,,,0,0,0,0,0.477,11.181,21.653,14.149,3.234,2.113,0.747,0.488,0.003,0.002,,,,,0.006,0.709,0.006,,0.001,0.463,0.001,,,0.799,0.127,,,,0.83,0.14,,0.384,0,0,0,0,17.11,0.73,,
Lithuania,1867,LTU,1552986,,,,0.033,0.004,14.758,21.642,-0.039,-0.18,13.936,,,0.021,,,0.029,0.019,,,,,0.129,266.677,0.114,0,0,402.941,0.015,,,,0,0,0,0,0.481,11.024,21.609,13.915,3.257,2.097,0.748,0.482,0.004,0.002,,,,,0.007,0.709,0.006,,0.001,0.476,0.001,,,0.801,0.139,,,,0.841,0.194,,0.384,0,0,0,0,17.12,0.747,,
